"TABLE F-2. GROSS CONTAMINATION ACTION LEVELS FOR 1EXPOSED OR POTENTIALLY EXPOSED SOIL
(mg/kg)",,,,,,,,,
BENZO(a)ANTHRACENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.2E-08,-,-,-
BENZO(a)PYRENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,5.6E-09,-,-,-
BENZO(b)FLUORANTHENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,5.0E-07,-,-,-
"BENZO(g,h,i)PERYLENE",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.1E-10,-,-,-
BENZO(k)FLUORANTHENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,9.6E-11,-,-,-
BERYLLIUM,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
"BIPHENYL, 1,1-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,5.00E-03,6.00E+01,9.50E-03,5.26E-01
BIS(2-CHLOROETHYL)ETHER,5.0E+02,1.0E+03,5.0E+02,1.0E+03,5.0E+03,7.1E-01,2.87E+02,4.9E-02,1.45E+01
BIS(2-CHLORO-1-METHYLETHYL)ETHER,5.0E+02,7.9E+02,5.0E+02,1.0E+03,7.9E+02,8.5E-01,2.24E+03,3.20E-01,2.66E+00
BIS(2-ETHYLHEXYL)PHTHALATE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.2E-08,-,-,-
BORON,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
BROMODICHLOROMETHANE,9.3E+02,9.3E+02,1.0E+03,2.5E+03,9.3E+02,5.00E+01,1.10E+07,1.68E+03,2.98E-02
BROMOFORM,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,5.60E+00,1.35E+04,1.30E+00,4.31E+00
BROMOMETHANE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,3.6E+03,1.42E+03,8.00E+04,2.00E+01,7.10E+01
CADMIUM,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
CARBON TETRACHLORIDE,4.5E+02,4.5E+02,5.0E+02,1.0E+03,4.5E+02,1.13E+02,6.30E+04,1.00E+01,1.13E+01
CHLORDANE (TECHNICAL),1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,1.0E-05,8.40E+00,4.92E-04,2.03E-02
"CHLOROANILINE, p-",1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,1.0E-05,-,-,-
CHLOROBENZENE,5.0E+02,7.6E+02,5.0E+02,1.0E+03,7.6E+02,1.18E+01,1.00E+03,2.20E-01,5.36E+01
CHLOROETHANE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,2.1E+03,1.01E+03,3.80E+05,1.40E+02,7.20E+00
CHLOROFORM,5.0E+02,1.0E+03,5.0E+02,1.0E+03,2.5E+03,1.60E+02,4.22E+05,8.50E+01,1.88E+00
CHLOROMETHANE,1.0E+02,5.0E+02,1.0E+02,5.0E+02,1.3E+03,4.30E+03,-,-,-
"CHLOROPHENOL, 2-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,2.7E+04,1.42E+00,1.90E+01,3.60E-03,3.94E+02
CHROMIUM (Total),-,-,-,-,-,-,-,-,-
CHROMIUM III,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
CHROMIUM VI,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
CHRYSENE,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,6.3E-07,-,-,-
COBALT,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
COPPER,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
CYANIDE (Free),1.0E+02,5.0E+02,1.0E+02,5.0E+02,NA,6.20E+02,6.52E+02,5.80E-01,1.07E+03
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.10E-09,-,-,-
DALAPON,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.70E-01,-,-,-
"DIBENZO(a,h)ANTHTRACENE",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.0E-10,-,-,-
"DIBROMO-3-CHLOROPROPANE, 1,2-",5.0E+02,9.8E+02,5.0E+02,1.0E+03,9.8E+02,8.00E-01,-,-,-
DIBROMOCHLOROMETHANE,1.0E+02,5.0E+02,1.0E+02,5.0E+02,NA,7.60E+01,-,-,-
"DIBROMOETHANE, 1,2-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.20E+01,2.00E+05,2.60E+01,4.62E-01
"DICHLOROBENZENE, 1,2-",3.8E+02,3.8E+02,1.0E+03,2.5E+03,3.8E+02,1.50E+00,3.05E+05,5.00E+01,3.00E-02
"DICHLOROBENZENE, 1,3-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,6.0E+02,2.30E+00,-,-,-
"DICHLOROBENZENE, 1,4-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.80E+00,1.10E+03,1.80E-01,1.00E+01
"DICHLOROBENZIDINE, 3,3-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.5E-09,-,-,-
DICHLORODIPHENYLDICHLOROETHANE (DDD),5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.0E-06,-,-,-
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.5E-06,-,-,-
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,5.5E-06,-,-,-
"DICHLOROETHANE, 1,1-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.7E+03,2.34E+02,1.25E+05,3.00E+01,7.80E+00
"DICHLOROETHANE, 1,2-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,3.0E+03,7.90E+01,2.42E+03,5.90E-01,1.34E+02
"DICHLOROETHYLENE, 1,1-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.2E+03,5.91E+02,2.00E+06,5.00E+02,1.18E+00
"DICHLOROETHYLENE, Cis 1,2-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,2.4E+03,2.15E+02,-,-,-
"DICHLOROETHYLENE, Trans 1,2-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.9E+03,3.31E+02,6.73E+04,1.70E+01,1.95E+01
"DICHLOROPHENOL, 2,4-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.7E-02,1.40E+03,2.10E-01,3.19E-01
"DICHLOROPHENOXYACETIC ACID (2,4-D)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,8.25E-05,-,-,-
"DICHLOROPROPANE, 1,2-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,1.4E+03,4.20E+01,1.19E+03,2.50E-01,1.68E+02
"DICHLOROPROPENE, 1,3-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.6E+03,4.30E+01,4.16E+03,1.00E+00,4.30E+01
DIELDRIN,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,1.8E-08,-,-,-
DIETHYLPHTHALATE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,3.5E-04,-,-,-
"DIMETHYLPHENOL, 2,4-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,NA,9.8E-02,1.00E+00,1.97E-04,4.97E+02
DIMETHYLPHTHALATE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.7E-03,-,-,-
"DINITROBENZENE, 1,3-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,9.00E-04,-,-,-
"DINITROPHENOL, 2,4-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.5E-05,-,-,-
"DINITROTOLUENE, 2,4- (2,4-DNT)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.47E-04,-,-,-
"DINITROTOLUENE, 2,6- (2,6-DNT)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,5.67E-04,-,-,-
"DIOXANE, 1,4-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.2E+05,3.70E+01,6.12E+05,1.70E+02,2.18E-01
DIOXINS (TEQ),1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,1.50E-09,-,-,-
DIURON,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.90E-08,-,-,-
ENDOSULFAN,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.0E-05,-,-,-
ENDRIN,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.0E-07,-,-,-
ETHANOL,5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.0E+05,5.65E+01,1.92E+04,1.00E+01,5.65E+00
ETHYLBENZENE,4.8E+02,4.8E+02,5.0E+02,1.0E+03,4.8E+02,1.00E+01,2.00E+03,4.50E-01,2.22E+01
FLUORANTHENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,5.0E-06,-,-,-
FLUORENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,3.2E-04,-,-,-
GLYPHOSATE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.30E-10,-,-,-
HEPTACHLOR,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,3.0E-04,3.00E+02,2.00E-02,1.50E-02
HEPTACHLOR EPOXIDE,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,2.6E-06,3.00E+02,1.90E-02,1.37E-04
HEXACHLOROBENZENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.1E-05,-,-,-
HEXACHLOROBUTADIENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.50E-01,1.20E+04,1.10E+00,1.36E-01
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,9.4E-06,-,-,-
HEXACHLOROETHANE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.1E-01,-,-,-
HEXAZINONE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.25E-07,-,-,-
"INDENO(1,2,3-cd)PYRENE",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.0E-06,-,-,-
ISOPHORONE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.38E-01,-,-,-
LEAD,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
MERCURY,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.0E-03,-,-,-
METHOXYCHLOR,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.4E-06,-,-,-
METHYL ETHYL KETONE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,2.8E+04,1.00E+02,3.20E+04,1.10E+01,9.09E+00
METHYL ISOBUTYL KETONE,1.0E+02,5.0E+02,1.0E+02,5.0E+02,3.4E+03,1.00E+01,4.20E+02,1.00E-01,1.00E+02
METHYL MERCURY,1.0E+02,5.0E+02,1.0E+02,5.0E+02,NA,-,-,-,-
METHYL TERT BUTYL ETHER,1.0E+02,5.0E+02,1.0E+02,5.0E+02,8.9E+03,2.45E+02,5.30E+02,1.30E-01,1.88E+03
METHYLENE CHLORIDE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,3.3E+03,4.29E+02,5.60E+05,1.60E+02,2.68E+00
"METHYLNAPHTHALENE, 1-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.8E-02,6.80E+01,1.15E-02,5.91E+00
"METHYLNAPHTHALENE, 2-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.8E-02,6.80E+01,1.15E-02,5.91E+00
MOLYBDENUM,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
NAPHTHALENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,8.2E-02,4.40E+02,8.40E-02,9.76E-01
NICKEL,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
NITROBENZENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,3.0E+03,2.45E-01,-,-,-
NITROGLYCERIN,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.00E-02,-,-,-
"NITROTOLUENE, 2-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.09E-01,-,-,-
"NITROTOLUENE, 3-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.04E-01,-,-,-
"NITROTOLUENE, 4-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.90E-03,-,-,-
PENTACHLOROPHENOL,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.1E-04,-,-,-
PENTAERYTHRITOLTETRANITRATE (PETN),5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,8.38E-04,-,-,-
PERCHLORATE,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
PHENANTHRENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,9.6E-04,5.50E+01,7.42E-03,1.29E-01
PHENOL,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,3.50E-01,1.56E+02,4.00E-02,8.75E+00
POLYCHLORINATED BIPHENYLS (PCBs),5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.9E-04 to 6.7E-03,-,-,-
PROPICONAZOLE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.00E-06,-,-,-
PYRENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.5E-06,-,-,-
SELENIUM,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
SILVER,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
SIMAZINE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.21E-08,-,-,-
STYRENE,5.0E+02,8.7E+02,5.0E+02,1.0E+03,8.7E+02,5.00E+00,1.36E+03,3.00E-01,1.67E+01
TERBACIL,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.76E-07,-,-,-
tert-BUTYL ALCOHOL,1.0E+02,5.0E+02,1.0E+02,5.0E+02,3.2E+05,4.20E+01,-,-,-
"TETRACHLOROETHANE, 1,1,1,2-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,6.8E+02,1.20E+01,-,-,-
"TETRACHLOROETHANE, 1,1,2,2-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.9E+03,4.00E+00,1.05E+04,1.50E+00,2.67E+00
TETRACHLOROETHYLENE,1.7E+02,1.7E+02,5.0E+02,1.0E+03,1.7E+02,1.90E+01,3.17E+04,4.68E+00,4.06E+00
"TETRACHLOROPHENOL, 2,3,4,6-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.66E-04,-,-,-
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.41E-08,-,-,-
THALLIUM,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
TOLUENE,5.0E+02,8.2E+02,5.0E+02,1.0E+03,8.2E+02,2.80E+01,3.00E+04,8.00E+00,3.50E+00
TOXAPHENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,4.00E-01,-,-,-
TPH (gasolines),1.0E+02,5.0E+02,1.0E+02,5.0E+02,5.4E+03,3.00E+02,1.10E+03,2.50E-01,1.20E+03
TPH (middle distillates),5.0E+02,5.0E+02,5.0E+02,1.0E+03,5.0E+02,1.00E+00,5.00E+03,7.00E-01,1.43E+00
TPH (residual fuels),5.0E+02,2.5E+03,5.0E+02,2.5E+03,NA,-,-,-,-
"TRICHLOROBENZENE, 1,2,4-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.9E-01,2.20E+04,2.96E+00,9.80E-02
"TRICHLOROETHANE, 1,1,1-",5.0E+02,6.4E+02,5.0E+02,1.0E+03,6.4E+02,1.00E+02,6.51E+04,1.20E+01,8.33E+00
"TRICHLOROETHANE, 1,1,2-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,2.2E+03,2.25E+01,-,-,-
TRICHLOROETHYLENE,5.0E+02,6.9E+02,5.0E+02,2.5E+03,6.9E+02,7.70E+01,1.36E+06,2.49E+02,3.09E-01
"TRICHLOROPHENOL, 2,4,5-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,NA,-,-,-,-
"TRICHLOROPHENOL, 2,4,6-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.2E-02,3.00E-01,3.60E-05,3.33E+02
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,3.75E-05,-,-,-
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.58E-06,-,-,-
"TRICHLOROPROPANE, 1,2,3-",1.0E+02,5.0E+02,1.0E+02,5.0E+02,1.4E+03,3.69E+00,-,-,-
"TRICHLOROPROPENE, 1,2,3-",1.0E+02,3.1E+02,1.0E+02,5.0E+02,3.1E+02,4.40E+00,-,-,-
TRIFLURALIN,1.0E+02,5.0E+02,1.0E+02,5.0E+02,NA,4.58E-05,-,-,-
"TRINITROBENZENE, 1,3,5-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,6.40E-06,-,-,-
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.17E-07,-,-,-
"TRINITROTOLUENE, 2,4,6- (TNT)",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,8.02E-06,-,-,-
VANADIUM,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
VINYL CHLORIDE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,3.9E+03,2.58E+03,7.71E+05,2.94E+02,8.78E+00
XYLENES,2.6E+02,2.6E+02,5.0E+02,1.0E+03,2.6E+02,6.00E+00,4.41E+02,1.00E-01,6.00E+01
ZINC,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
,,,,,,,,,
Notes:,,,,,,,,,
1. Default 0-3m below ground surface for residential settings and 0-1m below ground surface for commercial/industrial settings.,,,,,,,,,
"2. Based on unrestricted current or future land use.  Considered adequate for residential housing, schools, medical facilities, day-care centers and other sensitive uses.",,,,,,,,,
"3. Referred to as ""ceiling levels"" in original MADEP guidance (MADEP 1994).",,,,,,,,,
,,,,,,,,,
Odor Index = VP/ORT in ppm-v,,,,,,,,,
Physio-chemical constants Ontario MOEE (MOEE 1996) except as noted.,,,,,,,,,
Physio-chemical constants for chloroethane and chloromethane from ATSDR Toxicological Profiles (ATSDR 2001).,,,,,,,,,
Odor Recognition Threshold in parts per million - volume (ppm-v = (concentration in mg/m3) x (24/molecular weight)).,,,,,,,,,
TPH -Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,,,,,
"Ceiling Level: Based on comparison of vapor pressure and odor index to Table F-1 or saturation limit, if lower. ",,,,,,,,,
Saturation limits calculated using equation in USEPA RSL guidance (USEPA 2011) for chemicals that are liquid at ambient temperatures and pressures (refer to Appendix 2).,,,,,,,,,
50% ORT of 0.13 ppm-v for MTBE from information in CaEPA Public Health Goal for MTBE (CalEPA 1999).,,,,,,,,,
"TPH VP values and ORTs from New Jersey Dept of Health (NJDPH 2008, 2010); ORTs for TPHg (0.25ppm) and TPHmd (0.7ppm) adjusted to ug/m3 based assumed MWs noted for TPHg and TPHd in Table H.",,,,,,,,,
"References for vapor pressure and odor threshold data (in order of use, see USEPA (1992) for additiona ORT values):",,,,,,,,,
1. Ontario Ministry of Environment and Energy (MOEE 1996).,,,,,,,,,
2. Massachusetts Department of Environmental Protection (MADEP 1994).,,,,,,,,,
3. Agency for Toxic Substances and Disease Registry (ATSDR 2001).,,,,,,,,,
"4. Vapor Pressure for 1,4 Dioxane from ""Solvent Stabilizers - White Paper"" (Mohr 2001).  Odor Threshold from US Department of Health and Human Services, National Toxicology",,,,,,,,,
"    Program (USDHHS, 2001).",,,,,,,,,
"5.  Military range Database (ARAMS), U.S. Army Corps of Engineers, Engineer Research and Development Center, http://el.erdc.usace.army.mil/arams/databases.html (used for explosive-related contaminants).",,,,,,,,,
,,,,,,,,,
