"TABLE D-4f. SURFACE WATER QUALITY STANDARDS FOR BIOACCUMULATION
AND HUMAN CONSUMPTION OF AQUATIC ORGANISMS",,,,,,,,
(ug/l),,,,,,,,
"DICHLOROETHYLENE, Trans 1,2-",140000,USEPA Aquatic Organism Consumption,,140000,,,,
"DICHLOROPHENOL, 2,4-",2.9E+02,USEPA Aquatic Organism Consumption,,2.9E+02,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",,,,,,,,
"DICHLOROPROPANE, 1,2-",1.5E+01,USEPA Aquatic Organism Consumption,,1.5E+01,,,,
"DICHLOROPROPENE, 1,3-",4.6E+00,HI DOH Fish Consumption,4.6E+00,1.7E+03,,,,
DIELDRIN,2.5E-05,HI DOH Fish Consumption,2.5E-05,5.4E-05,,,,
DIETHYLPHTHALATE,4.4E+04,USEPA Aquatic Organism Consumption,,4.4E+04,,,,
"DIMETHYLPHENOL, 2,4-",8.5E+02,USEPA Aquatic Organism Consumption,,8.5E+02,,,,
DIMETHYLPHTHALATE,1.1E+06,USEPA Aquatic Organism Consumption,,1.1E+06,,,,
"DINITROBENZENE, 1,3-",,,,,,,,
"DINITROPHENOL, 2,4-",5.3E+03,USEPA Aquatic Organism Consumption,,5.3E+03,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",3.0E+00,HI DOH Fish Consumption,3.0E+00,3.4E+00,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",,,,,,,,
"DIOXANE, 1,4-",,,,,,,,
DIOXINS (TEQ),5.0E-09,HI DOH Fish Consumption,5.0E-09,5.1E-09,,,,
DIURON,,,,,,,,
ENDOSULFAN,5.2E+01,HI DOH Fish Consumption,5.2E+01,8.9E+01,,,,
ENDRIN,8.1E-01,USEPA Aquatic Organism Consumption,,8.1E-01,,,,
ETHANOL,,,,,,,,
ETHYLBENZENE,1.1E+03,HI DOH Fish Consumption,1.1E+03,2.9E+04,,,,
FLUORANTHENE,1.8E+01,HI DOH Fish Consumption,1.8E+01,1.4E+02,,,,
FLUORENE,5.3E+03,USEPA Aquatic Organism Consumption,,5.3E+03,,,,
GLYPHOSATE,,,,,,,,
HEPTACHLOR,9.0E-05,HI DOH Fish Consumption,9.0E-05,7.9E-05,,,,
HEPTACHLOR EPOXIDE,3.9E-05,USEPA Aquatic Organism Consumption,,3.9E-05,,,,
HEXACHLOROBENZENE,2.4E-04,HI DOH Fish Consumption,2.4E-04,2.9E-04,,,,
HEXACHLOROBUTADIENE,1.6E+01,HI DOH Fish Consumption,1.6E+01,1.8E+01,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,2.0E-02,HI DOH Fish Consumption,2.0E-02,6.3E-02,,,,
HEXACHLOROETHANE,2.9E+00,HI DOH Fish Consumption,2.9E+00,3.3E+00,,,,
HEXAZINONE,,,,,,,,
"INDENO(1,2,3-cd)PYRENE",1.8E-02,USEPA Aquatic Organism Consumption,,1.8E-02,,,,
ISOPHORONE,1.7E+05,HI DOH Fish Consumption,1.70E+05,,,,,
LEAD,,,,,,,,
MERCURY,4.7E-02,HI DOH Fish Consumption,4.7E-02,3.0E-01,,,,
METHOXYCHLOR,,,,,,,,
METHYL ETHYL KETONE,,,,,,,,
METHYL ISOBUTYL KETONE,,,,,,,,
METHYL MERCURY,,,,,,,,
METHYL TERT BUTYL ETHER,,,,,,,,
METHYLENE CHLORIDE,5.9E+02,USEPA Aquatic Organism Consumption,,5.9E+02,,,,
"METHYLNAPHTHALENE, 1-",,,,,,,,
"METHYLNAPHTHALENE, 2-",,,,,,,,
MOLYBDENUM,,,,,,,,
NAPHTHALENE,,,,,,,,
NICKEL,3.3E+01,HI DOH Fish Consumption,3.3E+01,4.6E+03,,,,
NITROBENZENE,,,,,,,,
NITROGLYCERIN,,,,,,,,
"NITROTOLUENE, 2-",,,,,,,,
"NITROTOLUENE, 3-",,,,,,,,
"NITROTOLUENE, 4-",,,,,,,,
PENTACHLOROPHENOL,3.0E+00,USEPA Aquatic Organism Consumption,,3.0E+00,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),,,,,,,,
PERCHLORATE,,,,,,,,
PHENANTHRENE,,,,,,,,
PHENOL,1.7E+06,USEPA Aquatic Organism Consumption,,1.7E+06,,,,
POLYCHLORINATED BIPHENYLS (PCBs),7.9E-05,HI DOH Fish Consumption,7.9E-05,6.4E-05,,,,
PROPICONAZOLE,,,,,,,,
PYRENE,4.0E+03,USEPA Aquatic Organism Consumption,,4.0E+03,,,,
SELENIUM,,,,,,,,
SILVER,,,,,,,,
SIMAZINE,,,,,,,,
STYRENE,,,,,,,,
TERBACIL,,,,,,,,
tert-BUTYL ALCOHOL,,,,,,,,
"TETRACHLOROETHANE, 1,1,1,2-",,,,,,,,
"TETRACHLOROETHANE, 1,1,2,2-",3.5E+00,HI DOH Fish Consumption,3.5E+00,4.0E+00,,,,
TETRACHLOROETHYLENE,2.9E+00,HI DOH Fish Consumption,2.90E+00,3.3E+00,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",,,,,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",,,,,,,,
THALLIUM,1.6E+01,HI DOH Fish Consumption,1.6E+01,6.3E+00,,,,
TOLUENE,1.4E+05,HI DOH Fish Consumption,1.4E+05,2.0E+05,,,,
TOXAPHENE,2.4E-04,HI DOH Fish Consumption,2.4E-04,2.8E-04,,,,
TPH (gasolines),,,,,,,,
TPH (middle distillates),,,,,,,,
TPH (residual fuels),,,,,,,,
"TRICHLOROBENZENE, 1,2,4-",,,,,,,,
"TRICHLOROETHANE, 1,1,1-",3.4E+05,HI DOH Fish Consumption,3.4E+05,,,,,
"TRICHLOROETHANE, 1,1,2-",1.4E+01,HI DOH Fish Consumption,1.4E+01,1.6E+01,,,,
TRICHLOROETHYLENE,2.6E+01,HI DOH Fish Consumption,2.6E+01,3.0E+01,,,,
"TRICHLOROPHENOL, 2,4,5-",3.6E+03,USEPA Aquatic Organism Consumption,,3.6E+03,,,,
"TRICHLOROPHENOL, 2,4,6-",1.2E+00,HI DOH Fish Consumption,1.2E+00,,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",,,,,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",,,,,,,,
"TRICHLOROPROPANE, 1,2,3-",,,,,,,,
"TRICHLOROPROPENE, 1,2,3-",,,,,,,,
TRIFLURALIN,,,,,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",,,,,,,,
"TRINITROTOLUENE, 1,3,5-",,,,,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",,,,,,,,
VANADIUM,,,,,,,,
VINYL CHLORIDE,1.7E+02,HI DOH Fish Consumption,1.70E+02,5.30E+02,,,,
XYLENES,,,,,,,,
ZINC,,,,,,,,
,,,,,,,,
References:,,,,,,,,
"1. Hawai'I Administrative Rules, Title 11, Chapter 54, Section 11-54-04: Basic Water Quality Criteria, August 2009.",,,,,,,,
2. USEPA National Recommended Water Quality Criteria (USEPA 2006).,,,,,,,,
Notes:,,,,,,,,
Hawai'I Surface Water Quality Standards for fish consumption considered if available.,,,,,,,,
Addresses potential accumulation of chemical in aquatic organisms and subsequent consumption by humans.,,,,,,,,
,,,,,,,,
