"TABLE I-2. DIRECT-EXPOSURE ACTION LEVELS
COMMERCIAL/INDUSTRIAL  LAND USE SCENARIO",,,,,,,,,,
BENZO(a)PYRENE,2.9E+00,carcinogenic effects,2.9E+00,,,NA,,,,
BENZO(b)FLUORANTHENE,2.9E+01,carcinogenic effects,2.9E+01,,,NA,,,,
"BENZO(g,h,i)PERYLENE",6.0E+03,noncarcinogenic effects,,6.0E+03,3.0E+04,NA,,,,
BENZO(k)FLUORANTHENE,2.9E+02,carcinogenic effects,2.9E+02,,,NA,,,,
BERYLLIUM,1.5E+02,trench/construction worker,6.9E+03,4.6E+02,2.3E+03,NA,,,,
"BIPHENYL, 1,1-",4.3E+01,noncarcinogenic effects,2.6E+02,4.3E+01,2.1E+02,NA,,,,
BIS(2-CHLOROETHYL)ETHER,1.1E+00,carcinogenic effects,1.1E+00,,,5.0E+03,,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,1.7E+01,carcinogenic effects,1.7E+01,2.1E+03,1.0E+04,7.9E+02,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,1.6E+02,carcinogenic effects,1.6E+02,3.3E+03,1.6E+04,NA,,,,
BORON,4.7E+04,noncarcinogenic effects,,4.7E+04,2.3E+05,NA,,,,
BROMODICHLOROMETHANE,1.4E+00,carcinogenic effects,1.4E+00,2.8E+02,1.4E+03,9.3E+02,,,,
BROMOFORM,9.1E+01,carcinogenic effects,9.1E+01,4.7E+03,2.3E+04,NA,,,,
BROMOMETHANE,6.5E+00,noncarcinogenic effects,,6.5E+00,3.3E+01,3.6E+03,,,,
CADMIUM,7.4E+01,trench/construction worker,9.3E+03,2.0E+02,9.8E+02,NA,,,,
CARBON TETRACHLORIDE,3.1E+00,carcinogenic effects,3.1E+00,1.2E+02,6.2E+02,4.5E+02,,,,
CHLORDANE (TECHNICAL),7.7E+01,carcinogenic effects,7.7E+01,,4.6E+02,NA,,,,
"CHLOROANILINE, p-",1.1E+01,carcinogenic effects,1.1E+01,6.6E+02,3.3E+03,NA,,,,
CHLOROBENZENE,2.9E+02,noncarcinogenic effects,,2.9E+02,1.4E+03,7.6E+02,,,,
CHLOROETHANE,2.1E+03,saturation limit,,1.3E+04,6.3E+04,2.1E+03,,,,
CHLOROFORM,1.5E+00,carcinogenic effects,1.5E+00,2.2E+02,1.1E+03,2.5E+03,,,,
CHLOROMETHANE,1.0E+02,noncarcinogenic effects,,1.0E+02,5.1E+02,1.3E+03,,,,
"CHLOROPHENOL, 2-",8.1E+02,noncarcinogenic effects,,8.1E+02,4.0E+03,2.7E+04,,,,
CHROMIUM (Total),,not available,,,,,,,,
CHROMIUM III,3.5E+05,noncarcinogenic effects,,3.5E+05,1.8E+06,NA,,,,
CHROMIUM VI,4.8E+02,trench/construction worker,6.3E+02,7.0E+02,3.5E+03,NA,,,,
CHRYSENE,2.9E+03,carcinogenic effects,2.9E+03,,,NA,,,,
COBALT,4.0E+01,trench/construction worker,1.9E+03,6.9E+01,3.5E+02,NA,,,,
COPPER,9.3E+03,noncarcinogenic effects,,9.3E+03,4.7E+04,NA,,,,
CYANIDE (Free),3.1E+01,noncarcinogenic effects,,3.1E+01,1.6E+02,NA,,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",2.8E+01,carcinogenic effects,2.8E+01,6.6E+02,3.3E+03,NA,,,,
DALAPON,4.9E+03,noncarcinogenic effects,,4.9E+03,2.5E+04,NA,,,,
"DIBENZO(a,h)ANTHTRACENE",2.9E+00,carcinogenic effects,2.9E+00,,,NA,,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",7.0E-02,carcinogenic effects,7.0E-02,5.4E+00,2.7E+01,9.8E+02,,,,
DIBROMOCHLOROMETHANE,4.4E+00,carcinogenic effects,4.4E+00,5.3E+02,2.7E+03,NA,,,,
"DIBROMOETHANE, 1,2-",1.7E-01,carcinogenic effects,1.7E-01,7.1E+01,3.5E+02,NA,,,,
"DICHLOROBENZENE, 1,2-",3.8E+02,saturation limit,,2.0E+03,1.0E+04,3.8E+02,,,,
"DICHLOROBENZENE, 1,3-",6.0E+02,saturation limit,,1.2E+03,6.2E+03,6.0E+02,,,,
"DICHLOROBENZENE, 1,4-",1.2E+01,carcinogenic effects,1.2E+01,5.3E+03,2.7E+04,NA,,,,
"DICHLOROBENZIDINE, 3,3-",5.1E+00,carcinogenic effects,5.1E+00,,,NA,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),9.6E+00,carcinogenic effects,9.6E+00,,,NA,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),9.3E+00,carcinogenic effects,9.3E+00,,,NA,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),8.5E+00,carcinogenic effects,8.5E+00,1.0E+02,5.2E+02,NA,,,,
"DICHLOROETHANE, 1,1-",1.7E+01,carcinogenic effects,1.7E+01,1.5E+03,7.7E+03,1.7E+03,,,,
"DICHLOROETHANE, 1,2-",2.2E+00,carcinogenic effects,2.2E+00,3.0E+01,1.5E+02,3.0E+03,,,,
"DICHLOROETHYLENE, 1,1-",2.1E+02,noncarcinogenic effects,,2.1E+02,1.1E+03,1.2E+03,,,,
"DICHLOROETHYLENE, Cis 1,2-",1.8E+01,noncarcinogenic effects,,1.8E+01,9.1E+01,2.4E+03,,,,
"DICHLOROETHYLENE, Trans 1,2-",1.3E+02,noncarcinogenic effects,,1.3E+02,6.5E+02,1.9E+03,,,,
"DICHLOROPHENOL, 2,4-",4.9E+02,noncarcinogenic effects,,4.9E+02,2.5E+03,NA,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",1.9E+03,noncarcinogenic effects,,1.9E+03,9.6E+03,NA,,,,
"DICHLOROPROPANE, 1,2-",4.7E+00,carcinogenic effects,4.7E+00,1.4E+01,7.1E+01,1.4E+03,,,,
"DICHLOROPROPENE, 1,3-",8.6E+00,carcinogenic effects,8.6E+00,6.6E+01,3.3E+02,1.6E+03,,,,
DIELDRIN,3.3E+01,carcinogenic effects,3.3E+01,3.3E+01,6.6E+01,NA,,,,
DIETHYLPHTHALATE,1.3E+05,noncarcinogenic effects,,1.3E+05,6.6E+05,NA,,,,
"DIMETHYLPHENOL, 2,4-",3.3E+03,noncarcinogenic effects,,3.3E+03,1.6E+04,NA,,,,
DIMETHYLPHTHALATE,1.0E+06,maximum,,1.6E+06,8.2E+06,NA,,,,
"DINITROBENZENE, 1,3-",1.6E+01,noncarcinogenic effects,,1.6E+01,8.2E+01,NA,,,,
"DINITROPHENOL, 2,4-",3.3E+02,noncarcinogenic effects,,3.3E+02,1.6E+03,NA,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",7.4E+00,carcinogenic effects,7.4E+00,3.3E+02,1.6E+03,NA,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",1.5E+00,carcinogenic effects,1.5E+00,4.9E+01,2.5E+02,NA,,,,
"DIOXANE, 1,4-",2.5E+01,carcinogenic effects,2.5E+01,9.7E+02,4.8E+03,1.2E+05,,,,
DIOXINS (TEQ),1.5E-03,HDOH 2010a,,,,,,,,
DIURON,3.3E+02,noncarcinogenic effects,,3.3E+02,1.6E+03,NA,,,,
ENDOSULFAN,1.4E+03,noncarcinogenic effects,,1.4E+03,7.0E+03,NA,,,,
ENDRIN,4.9E+01,noncarcinogenic effects,,4.9E+01,2.5E+02,NA,,,,
ETHANOL,,not available,,,,,,,,
ETHYLBENZENE,1.5E+02,trench/construction worker,2.8E+02,4.4E+03,2.2E+04,4.8E+02,,,,
FLUORANTHENE,6.0E+03,noncarcinogenic effects,,6.0E+03,3.0E+04,NA,,,,
FLUORENE,5.3E+03,noncarcinogenic effects,,5.3E+03,2.6E+04,NA,,,,
GLYPHOSATE,1.6E+04,noncarcinogenic effects,,1.6E+04,8.2E+04,NA,,,,
HEPTACHLOR,6.3E-01,carcinogenic effects,6.3E-01,1.2E+02,5.8E+02,NA,,,,
HEPTACHLOR EPOXIDE,3.3E-01,carcinogenic effects,3.3E-01,3.0E+00,1.5E+01,NA,,,,
HEXACHLOROBENZENE,1.0E+00,carcinogenic effects,1.0E+00,1.9E+02,9.3E+02,NA,,,,
HEXACHLOROBUTADIENE,5.6E+00,carcinogenic effects,5.6E+00,2.3E+02,1.2E+03,NA,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,2.5E+00,carcinogenic effects,2.5E+00,6.0E+01,3.0E+02,NA,,,,
HEXACHLOROETHANE,8.7E+00,carcinogenic effects,8.7E+00,9.5E+01,4.8E+02,NA,,,,
HEXAZINONE,5.4E+03,noncarcinogenic effects,,5.4E+03,2.7E+04,NA,,,,
"INDENO(1,2,3-cd)PYRENE",2.9E+01,carcinogenic effects,2.9E+01,,,NA,,,,
ISOPHORONE,2.4E+03,carcinogenic effects,2.4E+03,3.3E+04,1.6E+05,NA,,,,
LEAD,8.0E+02,commercial/industrial exposure,,8.0E+02,,NA,,,,
MERCURY,7.0E+01,noncarcinogenic effects,,7.0E+01,3.5E+02,NA,,,,
METHOXYCHLOR,8.2E+02,noncarcinogenic effects,,8.2E+02,4.1E+03,NA,,,,
METHYL ETHYL KETONE,2.8E+04,saturation limit,,4.1E+04,2.1E+05,2.8E+04,,,,
METHYL ISOBUTYL KETONE,3.4E+03,saturation limit,,3.0E+04,1.5E+05,3.4E+03,,,,
METHYL MERCURY,2.3E+01,noncarcinogenic effects,,2.3E+01,1.2E+02,NA,,,,
METHYL TERT BUTYL ETHER,2.2E+02,carcinogenic effects,2.2E+02,1.4E+04,7.0E+04,8.9E+03,,,,
METHYLENE CHLORIDE,6.6E+02,noncarcinogenic effects,1.1E+03,6.6E+02,3.3E+03,3.3E+03,,,,
"METHYLNAPHTHALENE, 1-",2.7E+02,trench/construction worker,4.3E+02,6.3E+03,3.1E+04,NA,,,,
"METHYLNAPHTHALENE, 2-",3.6E+02,noncarcinogenic effects,,3.6E+02,1.8E+03,NA,,,,
MOLYBDENUM,1.2E+03,noncarcinogenic effects,,1.2E+03,5.8E+03,NA,,,,
NAPHTHALENE,9.6E+01,trench/construction worker,1.8E+02,1.3E+02,6.4E+02,NA,,,,
NICKEL,7.5E+02,trench/construction worker,,4.5E+03,2.2E+04,NA,,,,
NITROBENZENE,2.4E+01,carcinogenic effects,2.4E+01,2.7E+02,1.3E+03,3.0E+03,,,,
NITROGLYCERIN,1.6E+01,noncarcinogenic effects,1.4E+02,1.6E+01,8.2E+01,NA,,,,
"NITROTOLUENE, 2-",1.0E+01,carcinogenic effects,1.0E+01,1.5E+02,7.3E+02,NA,,,,
"NITROTOLUENE, 3-",1.6E+01,noncarcinogenic effects,,1.6E+01,8.2E+01,NA,,,,
"NITROTOLUENE, 4-",1.4E+02,carcinogenic effects,1.4E+02,6.6E+02,3.3E+03,NA,,,,
PENTACHLOROPHENOL,4.0E+00,carcinogenic effects,4.0E+00,5.7E+02,2.8E+03,NA,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),3.3E+02,noncarcinogenic effects,5.7E+02,3.3E+02,1.6E+03,NA,,,,
PERCHLORATE,1.6E+02,noncarcinogenic effects,,1.6E+02,8.2E+02,NA,,,,
PHENANTHRENE,5.6E+03,noncarcinogenic effects,,5.6E+03,2.8E+04,NA,,,,
PHENOL,4.9E+04,noncarcinogenic effects,,4.9E+04,2.5E+05,NA,,,,
POLYCHLORINATED BIPHENYLS (PCBs),9.8E+00,carcinogenic effects,9.8E+00,1.5E+01,1.5E+01,NA,,,,
PROPICONAZOLE,2.1E+03,noncarcinogenic effects,,2.1E+03,1.1E+04,NA,,,,
PYRENE,4.4E+03,noncarcinogenic effects,,4.4E+03,2.2E+04,NA,,,,
SELENIUM,1.2E+03,noncarcinogenic effects,,1.2E+03,5.8E+03,NA,,,,
SILVER,1.2E+03,noncarcinogenic effects,,1.2E+03,5.8E+03,NA,,,,
SIMAZINE,1.9E+01,carcinogenic effects,1.9E+01,8.2E+02,4.1E+03,NA,,,,
STYRENE,8.7E+02,saturation limit,,7.5E+03,3.8E+04,8.7E+02,,,,
TERBACIL,2.1E+03,noncarcinogenic effects,,2.1E+03,1.1E+04,NA,,,,
tert-BUTYL ALCOHOL,4.5E+02,carcinogenic effects,4.5E+02,,,3.2E+05,,,,
"TETRACHLOROETHANE, 1,1,1,2-",9.6E+00,carcinogenic effects,9.6E+00,6.0E+02,3.0E+03,6.8E+02,,,,
"TETRACHLOROETHANE, 1,1,2,2-",2.9E+00,carcinogenic effects,2.9E+00,4.7E+03,2.3E+04,1.9E+03,,,,
TETRACHLOROETHYLENE,5.0E+00,carcinogenic effects,5.0E+00,8.5E+01,4.2E+02,1.7E+02,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",4.9E+03,noncarcinogenic effects,,4.9E+03,2.5E+04,NA,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",1.1E+04,noncarcinogenic effects,,1.1E+04,5.7E+04,NA,,,,
THALLIUM,1.2E+01,noncarcinogenic effects,,1.2E+01,1.2E+01,NA,,,,
TOLUENE,8.2E+02,saturation limit,,9.8E+03,4.9E+04,8.2E+02,,,,
TOXAPHENE,2.1E+00,carcinogenic effects,2.1E+00,,,NA,,,,
TPH (gasolines),2.4E+03,noncarcinogenic effects,,2.4E+03,2.4E+03,5.4E+03,,,,
TPH (middle distillates),5.0E+02,saturation limit,,1.3E+03,1.3E+03,5.0E+02,,,,
TPH (residual fuels),1.4E+05,noncarcinogenic effects,,1.4E+05,1.4E+05,NA,,,,
"TRICHLOROBENZENE, 1,2,4-",3.7E+01,carcinogenic effects,3.7E+01,5.5E+01,2.8E+02,NA,,,,
"TRICHLOROETHANE, 1,1,1-",6.4E+02,saturation limit,,7.7E+03,3.9E+04,6.4E+02,,,,
"TRICHLOROETHANE, 1,1,2-",1.4E+00,noncarcinogenic effects,5.4E+00,1.4E+00,6.8E+00,2.2E+03,,,,
TRICHLOROETHYLENE,4.1E+00,noncarcinogenic effects,6.5E+00,4.1E+00,2.0E+01,6.9E+02,,,,
"TRICHLOROPHENOL, 2,4,5-",1.6E+04,noncarcinogenic effects,,1.6E+04,8.2E+04,NA,,,,
"TRICHLOROPHENOL, 2,4,6-",1.6E+02,noncarcinogenic effects,2.1E+02,1.6E+02,8.2E+02,NA,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",1.6E+03,noncarcinogenic effects,,1.6E+03,8.2E+03,NA,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",1.3E+03,noncarcinogenic effects,,1.3E+03,6.6E+03,NA,,,,
"TRICHLOROPROPANE, 1,2,3-",2.2E-02,carcinogenic effects,2.2E-02,4.5E+00,2.2E+01,1.4E+03,,,,
"TRICHLOROPROPENE, 1,2,3-",6.7E-01,noncarcinogenic effects,,6.7E-01,3.3E+00,3.1E+02,,,,
TRIFLURALIN,4.2E+02,carcinogenic effects,4.2E+02,1.8E+03,8.8E+03,NA,,,,
"TRINITROBENZENE, 1,3,5-",6.5E+03,noncarcinogenic effects,,6.5E+03,3.2E+04,NA,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.7E+02,noncarcinogenic effects,,4.7E+02,2.3E+03,NA,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",9.6E+01,carcinogenic effects,9.6E+01,1.0E+02,5.1E+02,NA,,,,
VANADIUM,6.6E+02,trench/construction worker,,1.2E+03,5.8E+03,NA,,,,
VINYL CHLORIDE,1.8E+00,carcinogenic effects,1.8E+00,8.0E+01,4.0E+02,3.9E+03,,,,
XYLENES,2.6E+02,saturation limit,,5.4E+02,2.7E+03,2.6E+02,,,,
ZINC,7.0E+04,noncarcinogenic effects,,7.0E+04,3.5E+05,NA,,,,
"Primary source: USEPA Regional Screening Levels (USEPA 2016), modified as noted below and described in Appendix 1, Section 3.2.",,,,,,,,,,
Notes:,,,,,,,,,,
"1. Carcinogens: Default target excess cancer risk = 10-6 unless otherwise noted (see Section 3).  Target ECR of 10-5 used for Technical Chlordane, PCBs and carcinogenic PAHs (see Section 3).  Target risk of  10-4 applied to aldrin, dieldrin, TEQ dioxins and hexavalent chromium action levels to reflect on higher confidence in noncancer toxicity factors and/or background and other factors.",,,,,,,,,,
2. Noncarcinogens: Final action level based on default target hazard quotient = 0.2 unless noted.  TPH action levels based on HQ of 1.0 (see Section 3.2 in text).  Action levels for Technical Chlordane based on HQ of 1.0.  Action levels for aldrin and dieldrin (breakdown product of aldrin) based on HQ of 0.5.  Screening levels based on hazard quotient of 1.0 provided for reference.,,,,,,,,,,
"3. Arsenic direct exposure soil action levels: refer to Update to Soil Action Levels for Inorganic Arsenic and Recommended Soil Management Practices, HEER office Technical Memorandum, October 2010 (HDOH 2010a).",,,,,,,,,,
"4. TEQ dioxin action levels: Refer to Update to Soil Action Levels for TEQ Dioxins and Recommended Soil Management Practices, HEER office Technical Memorandum, June 2010 (HDOH 2010b). ",,,,,,,,,,
,,,,,,,,,,
See text for equations and assumptions used in models.,,,,,,,,,,
Final action level is lowest of individual screening levels for carcinogenic effects and noncarcinogenic effects or action level for construction/trench workers if lower (see Table I-3).  Saturation limit used as upper limit for volatile organic compounds that are liquid at ambient conditions (see text).,,,,,,,,,,
Saturation: Theoretical soil saturation level in the absence of free product; calculated for volatile organic compounds that are liquids under ambient conditions (refer to Table H).,,,,,,,,,,
TPH:Total Petroleum Hydrocarbons.  See Chapter 6 of Appendix 1for discussion of different TPH categories and development of action levels.,,,,,,,,,,
"TPHmd saturation level set to 500 mg/kg vs model-derived 150 mg/kg to address low confidence in direct exposure, vapor emission model (see Chapter 6)",,,,,,,,,,
Ethanol: Human health toxicity data not available.  Environmental concerns driven by gross contamination/nuisance concerns.,,,,,,,,,,
Direct-exposure screening level for lead from USEPA Regional Screening Levels (USEPA 2011).,,,,,,,,,,
,,,,,,,,,,
