TABLE D-4a.  SUMMARY OF AQUATIC HABITAT GOALS,,,,,,,
,,,,,,,
,Estuarine,,Freshwater,,Marine,,
"DICHLOROBENZENE, 1,2-",1.4E+01,3.7E+02,2.3E+01,3.7E+02,1.4E+01,6.6E+02,
"DICHLOROBENZENE, 1,3-",2.2E+01,3.7E+02,2.2E+01,3.7E+02,7.1E+01,6.6E+02,
"DICHLOROBENZENE, 1,4-",9.4E+00,3.7E+02,9.4E+00,3.7E+02,1.5E+01,6.6E+02,
"DICHLOROBENZIDINE, 3,3-",4.5E+00,4.1E+01,4.5E+00,4.1E+01,4.5E+00,4.1E+01,
DICHLORODIPHENYLDICHLOROETHANE (DDD),1.1E-02,1.9E-01,1.1E-02,1.9E-01,1.1E-02,1.9E-01,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),4.1E-01,7.0E+00,4.1E-01,7.0E+00,4.1E-01,7.0E+00,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.0E-03,1.3E-02,1.0E-03,1.1E+00,1.0E-03,1.3E-02,
"DICHLOROETHANE, 1,1-",4.7E+01,8.3E+02,4.1E+02,3.7E+03,4.7E+01,8.3E+02,
"DICHLOROETHANE, 1,2-",9.1E+02,3.8E+04,2.0E+03,3.9E+04,9.1E+02,3.8E+04,
"DICHLOROETHYLENE, 1,1-",2.5E+01,3.9E+03,1.3E+02,3.9E+03,2.5E+01,7.5E+04,
"DICHLOROETHYLENE, Cis 1,2-",6.2E+02,5.5E+03,6.2E+02,5.5E+03,6.2E+02,5.5E+03,
"DICHLOROETHYLENE, Trans 1,2-",5.6E+02,1.0E+04,5.6E+02,1.0E+04,5.6E+02,1.0E+04,
"DICHLOROPHENOL, 2,4-",1.1E+01,6.7E+02,1.1E+01,6.7E+02,7.9E+02,7.9E+02,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",7.0E+01,1.3E+02,7.9E+01,1.3E+02,7.0E+01,1.3E+02,
"DICHLOROPROPANE, 1,2-",5.2E+02,3.4E+03,5.2E+02,7.7E+03,5.2E+02,3.4E+03,
"DICHLOROPROPENE, 1,3-",6.0E-02,2.6E+02,1.7E+00,2.0E+03,6.0E-02,2.6E+02,
DIELDRIN,1.9E-03,7.1E-01,1.9E-03,2.5E+00,1.9E-03,7.1E-01,
DIETHYLPHTHALATE,2.1E+02,9.8E+02,2.2E+02,9.8E+02,2.1E+02,1.8E+03,
"DIMETHYLPHENOL, 2,4-",1.2E+02,7.0E+02,1.2E+02,7.0E+02,1.2E+02,1.1E+03,
DIMETHYLPHTHALATE,1.1E+03,3.2E+03,1.1E+03,3.2E+03,2.9E+03,3.2E+03,
"DINITROBENZENE, 1,3-",1.0E+01,1.0E+02,2.2E+01,1.0E+02,1.0E+01,1.1E+02,
"DINITROPHENOL, 2,4-",1.4E+01,3.8E+02,7.1E+01,3.8E+02,1.4E+01,3.8E+02,
"DINITROTOLUENE, 2,4- (2,4-DNT)",9.1E+00,1.1E+02,4.4E+01,1.1E+02,9.1E+00,2.0E+02,
"DINITROTOLUENE, 2,6- (2,6-DNT)",8.1E+01,1.1E+02,8.1E+01,1.1E+02,8.1E+01,2.0E+02,
"DIOXANE, 1,4-",3.4E+05,3.4E+06,3.4E+05,3.4E+06,5.0E+05,5.0E+06,
DIOXINS (TEQ),3.1E-09,3.0E-03,3.1E-09,3.0E-03,3.1E-09,3.0E-03,
DIURON,6.0E+01,2.0E+02,6.0E+01,2.0E+02,6.0E+01,5.5E+02,
ENDOSULFAN,8.7E-03,3.4E-02,5.6E-02,2.2E-01,8.7E-03,3.4E-02,
ENDRIN,2.3E-03,3.7E-02,2.3E-03,1.8E-01,2.3E-03,3.7E-02,
ETHANOL,,,,,,,
ETHYLBENZENE,7.3E+00,1.4E+02,6.1E+01,1.1E+04,7.3E+00,1.4E+02,
FLUORANTHENE,8.0E-01,1.3E+01,8.0E-01,1.3E+03,7.1E+00,1.3E+01,
FLUORENE,3.9E+00,3.0E+02,1.9E+01,3.0E+02,3.9E+00,3.0E+02,
GLYPHOSATE,1.8E+03,2.2E+04,1.8E+03,2.2E+04,1.8E+03,2.2E+04,
HEPTACHLOR,3.6E-03,5.3E-02,3.8E-03,5.2E-01,3.6E-03,5.3E-02,
HEPTACHLOR EPOXIDE,3.6E-03,5.3E-02,3.8E-03,5.2E-01,3.6E-03,5.3E-02,
HEXACHLOROBENZENE,3.0E-04,3.0E-04,3.0E-04,3.0E-04,3.0E-04,3.0E-04,
HEXACHLOROBUTADIENE,3.0E-01,1.1E+01,1.0E+00,3.0E+01,3.0E-01,1.1E+01,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,6.3E-02,1.6E-01,8.0E-02,2.0E+00,6.3E-02,1.6E-01,
HEXACHLOROETHANE,1.2E+01,3.1E+02,1.2E+01,3.3E+02,1.2E+01,3.1E+02,
HEXAZINONE,1.7E+04,1.4E+05,1.7E+04,1.4E+05,1.7E+04,1.4E+05,
"INDENO(1,2,3-cd)PYRENE",2.8E-01,3.0E+02,2.8E-01,3.0E+02,2.8E-01,3.0E+02,
ISOPHORONE,9.2E+02,4.3E+03,9.2E+02,3.9E+04,9.2E+02,4.3E+03,
LEAD,5.6E+00,2.9E+01,2.9E+01,2.9E+01,5.6E+00,1.4E+02,
MERCURY,2.5E-02,2.1E+00,5.5E-01,2.4E+00,2.5E-02,2.1E+00,
METHOXYCHLOR,3.0E-02,7.0E-01,3.0E-02,7.0E-01,3.0E-02,7.0E-01,
METHYL ETHYL KETONE,1.4E+04,2.0E+05,2.2E+04,2.0E+05,1.4E+04,2.4E+05,
METHYL ISOBUTYL KETONE,1.7E+02,2.2E+03,1.7E+02,2.2E+03,1.7E+02,2.2E+03,
METHYL MERCURY,2.8E-03,9.9E-02,2.8E-03,9.9E-02,2.8E-03,9.9E-02,
METHYL TERT BUTYL ETHER,7.3E+02,6.5E+03,7.3E+02,6.5E+03,1.8E+04,5.3E+04,
METHYLENE CHLORIDE,1.5E+03,8.5E+03,1.5E+03,8.5E+03,2.2E+03,2.6E+04,
"METHYLNAPHTHALENE, 1-",2.1E+00,3.7E+01,2.1E+00,3.7E+01,2.1E+00,3.7E+01,
"METHYLNAPHTHALENE, 2-",4.7E+00,4.2E+01,4.7E+00,4.2E+01,7.2E+01,8.6E+01,
MOLYBDENUM,3.7E+02,7.2E+03,8.0E+02,7.2E+03,3.7E+02,1.6E+04,
NAPHTHALENE,1.2E+01,7.7E+02,2.1E+01,7.7E+02,1.2E+01,7.8E+02,
NICKEL,5.0E+00,5.0E+00,5.0E+00,5.0E+00,8.3E+00,7.5E+01,
NITROBENZENE,3.8E+02,2.0E+03,3.8E+02,9.0E+03,3.8E+02,2.0E+03,
NITROGLYCERIN,1.8E+01,1.6E+02,1.8E+01,1.6E+02,1.8E+01,1.6E+02,
"NITROTOLUENE, 2-",7.1E+01,6.4E+02,7.1E+01,6.4E+02,7.1E+01,6.4E+02,
"NITROTOLUENE, 3-",4.2E+01,3.8E+02,4.2E+01,3.8E+02,4.2E+01,3.8E+02,
"NITROTOLUENE, 4-",4.6E+01,4.1E+02,4.6E+01,4.1E+02,4.6E+01,4.1E+02,
PENTACHLOROPHENOL,7.9E+00,1.3E+01,1.3E+01,2.0E+01,7.9E+00,1.3E+01,
PENTAERYTHRITOLTETRANITRATE (PETN),8.5E+05,8.5E+05,8.5E+05,8.5E+05,8.5E+05,8.5E+05,
PERCHLORATE,6.0E+02,5.0E+03,6.0E+02,5.0E+03,6.0E+02,5.0E+03,
PHENANTHRENE,2.3E+00,3.0E+02,2.3E+00,3.0E+02,4.6E+00,3.0E+02,
PHENOL,5.8E+01,3.0E+02,1.6E+02,4.7E+03,5.8E+01,3.0E+02,
POLYCHLORINATED BIPHENYLS (PCBs),1.4E-02,2.0E+00,1.4E-02,2.0E+00,3.0E-02,1.0E+01,
PROPICONAZOLE,9.5E+01,4.3E+02,9.5E+01,4.3E+02,9.5E+01,4.3E+02,
PYRENE,4.6E+00,3.0E+02,4.6E+00,3.0E+02,1.0E+01,3.0E+02,
SELENIUM,5.0E+00,2.0E+01,5.0E+00,2.0E+01,7.1E+01,3.0E+02,
SILVER,1.0E-01,1.0E+00,1.0E+00,1.0E+00,1.0E-01,2.3E+00,
SIMAZINE,9.0E+00,8.0E+01,9.0E+00,8.0E+01,9.0E+00,8.0E+01,
STYRENE,3.2E+01,2.9E+02,3.2E+01,2.9E+02,3.2E+01,2.9E+02,
TERBACIL,2.6E+02,2.6E+02,1.2E+03,2.3E+04,2.6E+02,2.6E+02,
tert-BUTYL ALCOHOL,1.8E+04,1.8E+05,1.8E+04,1.8E+05,1.8E+04,1.8E+05,
"TETRACHLOROETHANE, 1,1,1,2-",1.1E+01,7.7E+02,8.5E+01,3.1E+03,1.1E+01,7.7E+02,
"TETRACHLOROETHANE, 1,1,2,2-",2.0E+02,9.1E+02,2.0E+02,9.1E+02,6.1E+02,3.0E+03,
TETRACHLOROETHYLENE,5.3E+01,1.8E+03,5.3E+01,1.8E+03,1.5E+02,3.4E+03,
"TETRACHLOROPHENOL, 2,3,4,6-",1.2E+00,1.1E+01,1.2E+00,1.1E+01,1.2E+00,1.1E+01,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",2.2E+02,1.2E+03,2.2E+02,1.2E+03,3.3E+02,1.9E+03,
THALLIUM,6.0E+00,4.7E+02,6.0E+00,4.7E+02,1.2E+01,7.1E+02,
TOLUENE,9.8E+00,2.1E+03,6.2E+01,5.8E+03,9.8E+00,2.1E+03,
TOXAPHENE,2.0E-04,2.1E-01,2.0E-04,7.3E-01,2.0E-04,2.1E-01,
TPH (gasolines),5.0E+02,5.0E+03,5.0E+02,5.0E+03,3.7E+03,5.0E+03,
TPH (middle distillates),6.4E+02,2.5E+03,6.4E+02,2.5E+03,6.4E+02,2.5E+03,
TPH (residual fuels),6.4E+02,2.5E+03,6.4E+02,2.5E+03,6.4E+02,2.5E+03,
"TRICHLOROBENZENE, 1,2,4-",1.1E+02,4.2E+02,1.3E+02,4.2E+02,1.1E+02,7.0E+02,
"TRICHLOROETHANE, 1,1,1-",1.1E+01,6.0E+03,7.6E+01,6.0E+03,1.1E+01,1.0E+04,
"TRICHLOROETHANE, 1,1,2-",7.3E+02,5.2E+03,7.3E+02,6.0E+03,1.2E+03,5.2E+03,
TRICHLOROETHYLENE,4.7E+01,7.0E+02,2.0E+02,1.5E+04,4.7E+01,7.0E+02,
"TRICHLOROPHENOL, 2,4,5-",1.9E+00,1.7E+01,1.9E+00,1.7E+01,1.2E+01,2.6E+02,
"TRICHLOROPHENOL, 2,4,6-",4.9E+00,3.9E+01,4.9E+00,3.9E+01,6.5E+00,3.9E+01,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",6.9E+02,6.9E+02,6.9E+02,6.9E+02,6.9E+02,6.9E+02,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",3.0E+01,2.7E+02,3.0E+01,2.7E+02,5.0E+01,2.7E+02,
"TRICHLOROPROPANE, 1,2,3-",1.4E+01,1.4E+02,1.4E+01,1.4E+02,1.4E+01,1.4E+02,
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,6.2E-01,6.2E-01,6.2E-01,6.2E-01,6.2E-01,
TRIFLURALIN,1.1E+00,2.1E+01,1.1E+00,2.1E+01,1.1E+00,2.1E+01,
"TRINITROBENZENE, 1,3,5-",1.0E+01,2.7E+01,1.1E+01,2.7E+01,1.0E+01,3.0E+01,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,4.0E+01,4.0E+01,4.0E+01,4.0E+01,4.0E+01,
"TRINITROTOLUENE, 2,4,6- (TNT)",1.3E+01,2.1E+02,1.3E+01,2.1E+02,9.0E+01,5.7E+02,
VANADIUM,2.7E+01,9.0E+01,2.7E+01,1.2E+02,8.1E+01,9.0E+01,
VINYL CHLORIDE,9.3E+02,8.4E+03,9.3E+02,8.4E+03,9.3E+02,8.4E+03,
XYLENES,1.3E+01,2.3E+02,2.7E+01,2.4E+02,1.3E+01,2.3E+02,
ZINC,2.2E+01,2.2E+01,2.2E+01,2.2E+01,8.6E+01,9.5E+01,
Notes:,,,,,,,
"Reference: Appendix 1, Table D-4b (chronic) and D-4c (acute).",,,,,,,
Aquatic goals for estuarine environments based on lowest of lowest of freshwater and marine goals.,,,,,,,
,,,,,,,
