"TABLE I-1. DIRECT-EXPOSURE ACTION LEVELS
1UNRESTRICTED LAND USE SCENARIO",,,,,,,,,,,
"DICHLOROBENZENE, 1,4-",2.8E+00,carcinogenic effects,2.8E+00,,6.9E+02,3.5E+03,NA,,,,
"DICHLOROBENZIDINE, 3,3-",1.2E+00,carcinogenic effects,1.2E+00,,,,NA,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),2.3E+00,carcinogenic effects,2.3E+00,,,,NA,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.0E+00,carcinogenic effects,2.0E+00,,,,NA,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.9E+00,carcinogenic effects,1.9E+00,,7.3E+00,3.7E+01,NA,,,,
"DICHLOROETHANE, 1,1-",3.8E+00,carcinogenic effects,3.8E+00,,3.4E+02,1.7E+03,1.7E+03,,,,
"DICHLOROETHANE, 1,2-",5.0E-01,carcinogenic effects,5.0E-01,,6.7E+00,3.4E+01,3.0E+03,,,,
"DICHLOROETHYLENE, 1,1-",4.9E+01,noncarcinogenic effects,,,4.9E+01,2.4E+02,1.2E+03,,,,
"DICHLOROETHYLENE, Cis 1,2-",3.9E+00,noncarcinogenic effects,,,3.9E+00,2.0E+01,2.4E+03,,,,
"DICHLOROETHYLENE, Trans 1,2-",2.9E+01,noncarcinogenic effects,,,2.9E+01,1.4E+02,1.9E+03,,,,
"DICHLOROPHENOL, 2,4-",3.8E+01,noncarcinogenic effects,,,3.8E+01,1.9E+02,NA,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",1.4E+02,noncarcinogenic effects,,,1.4E+02,7.0E+02,NA,,,,
"DICHLOROPROPANE, 1,2-",1.1E+00,carcinogenic effects,1.1E+00,,3.4E+00,1.7E+01,1.4E+03,,,,
"DICHLOROPROPENE, 1,3-",1.9E+00,carcinogenic effects,1.9E+00,,1.5E+01,7.7E+01,1.6E+03,,,,
DIELDRIN,2.5E+00,noncarcinogenic effects,7.8E+00,,2.5E+00,5.1E+00,NA,,,,
DIETHYLPHTHALATE,1.0E+04,noncarcinogenic effects,,,1.0E+04,5.1E+04,NA,,,,
"DIMETHYLPHENOL, 2,4-",2.5E+02,noncarcinogenic effects,,,2.5E+02,1.3E+03,NA,,,,
DIMETHYLPHTHALATE,1.3E+05,noncarcinogenic effects,,,1.3E+05,6.3E+05,NA,,,,
"DINITROBENZENE, 1,3-",1.3E+00,noncarcinogenic effects,,,1.3E+00,6.3E+00,NA,,,,
"DINITROPHENOL, 2,4-",2.5E+01,noncarcinogenic effects,,,2.5E+01,1.3E+02,NA,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",1.7E+00,carcinogenic effects,1.7E+00,,2.5E+01,1.3E+02,NA,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",3.6E-01,carcinogenic effects,3.6E-01,,3.8E+00,1.9E+01,NA,,,,
"DIOXANE, 1,4-",5.4E+00,carcinogenic effects,5.4E+00,,1.7E+02,8.5E+02,1.2E+05,,,,
DIOXINS (TEQ),2.4E-04,HDOH 2010a,,,,,,,,,
DIURON,2.5E+01,noncarcinogenic effects,,,2.5E+01,1.3E+02,NA,,,,
ENDOSULFAN,9.4E+01,noncarcinogenic effects,,,9.4E+01,4.7E+02,NA,,,,
ENDRIN,3.8E+00,noncarcinogenic effects,,,3.8E+00,1.9E+01,NA,,,,
ETHANOL,,not available,,,,,,,,,
ETHYLBENZENE,6.3E+01,carcinogenic effects,6.3E+01,,7.1E+02,3.5E+03,4.8E+02,,,,
FLUORANTHENE,4.8E+02,noncarcinogenic effects,,,4.8E+02,2.4E+03,NA,,,,
FLUORENE,4.6E+02,noncarcinogenic effects,,,4.6E+02,2.3E+03,NA,,,,
GLYPHOSATE,1.3E+03,noncarcinogenic effects,,,1.3E+03,6.3E+03,NA,,,,
HEPTACHLOR,1.4E-01,carcinogenic effects,1.4E-01,,7.8E+00,3.9E+01,NA,,,,
HEPTACHLOR EPOXIDE,7.1E-02,carcinogenic effects,7.1E-02,,2.0E-01,1.0E+00,NA,,,,
HEXACHLOROBENZENE,2.2E-01,carcinogenic effects,2.2E-01,,1.3E+01,6.3E+01,NA,,,,
HEXACHLOROBUTADIENE,1.3E+00,carcinogenic effects,1.3E+00,,1.6E+01,7.8E+01,NA,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,5.7E-01,carcinogenic effects,5.7E-01,,4.3E+00,2.1E+01,NA,,,,
HEXACHLOROETHANE,2.0E+00,carcinogenic effects,2.0E+00,,9.1E+00,4.6E+01,NA,,,,
HEXAZINONE,4.2E+02,noncarcinogenic effects,,,4.2E+02,2.1E+03,NA,,,,
"INDENO(1,2,3-cd)PYRENE",1.6E+01,mutagenic effects,7.0E+01,1.6E+01,,,NA,,,,
ISOPHORONE,5.7E+02,carcinogenic effects,5.7E+02,,2.5E+03,1.3E+04,NA,,,,
LEAD,2.0E+02,noncarcinogenic effects,,,2.0E+02,,NA,,,,
MERCURY,4.7E+00,noncarcinogenic effects,,,4.7E+00,2.3E+01,NA,,,,
METHOXYCHLOR,6.3E+01,noncarcinogenic effects,,,6.3E+01,3.2E+02,NA,,,,
METHYL ETHYL KETONE,5.6E+03,noncarcinogenic effects,,,5.6E+03,2.8E+04,2.8E+04,,,,
METHYL ISOBUTYL KETONE,3.4E+03,saturation limit,,,7.2E+03,3.6E+04,3.4E+03,,,,
METHYL MERCURY,1.6E+00,noncarcinogenic effects,,,1.6E+00,7.8E+00,NA,,,,
METHYL TERT BUTYL ETHER,5.0E+01,carcinogenic effects,5.0E+01,,3.3E+03,1.7E+04,8.9E+03,,,,
METHYLENE CHLORIDE,5.8E+01,mutagenic effects,2.3E+02,5.8E+01,7.2E+01,3.6E+02,3.3E+03,,,,
"METHYLNAPHTHALENE, 1-",1.0E+02,carcinogenic effects,1.0E+02,,6.8E+02,3.4E+03,NA,,,,
"METHYLNAPHTHALENE, 2-",3.9E+01,noncarcinogenic effects,,,3.9E+01,2.0E+02,NA,,,,
MOLYBDENUM,7.8E+01,noncarcinogenic effects,,,7.8E+01,3.9E+02,NA,,,,
NAPHTHALENE,2.8E+01,noncarcinogenic effects,4.2E+01,,2.8E+01,1.4E+02,NA,,,,
NICKEL,3.1E+02,noncarcinogenic effects,,,3.1E+02,1.5E+03,NA,,,,
NITROBENZENE,5.6E+00,carcinogenic effects,5.6E+00,,2.6E+01,1.3E+02,3.0E+03,,,,
NITROGLYCERIN,1.3E+00,noncarcinogenic effects,3.2E+01,,1.3E+00,6.3E+00,NA,,,,
"NITROTOLUENE, 2-",2.2E+00,carcinogenic effects,2.2E+00,,1.2E+01,6.2E+01,NA,,,,
"NITROTOLUENE, 3-",1.3E+00,noncarcinogenic effects,,,1.3E+00,6.3E+00,NA,,,,
"NITROTOLUENE, 4-",3.4E+01,carcinogenic effects,3.4E+01,,5.1E+01,2.5E+02,NA,,,,
PENTACHLOROPHENOL,1.0E+00,carcinogenic effects,1.0E+00,,4.9E+01,2.5E+02,NA,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),2.5E+01,noncarcinogenic effects,1.4E+02,,2.5E+01,1.3E+02,NA,,,,
PERCHLORATE,1.1E+01,noncarcinogenic effects,,,1.1E+01,5.5E+01,NA,,,,
PHENANTHRENE,4.6E+02,noncarcinogenic effects,,,4.6E+02,2.3E+03,NA,,,,
PHENOL,3.8E+03,noncarcinogenic effects,,,3.8E+03,1.9E+04,NA,,,,
POLYCHLORINATED BIPHENYLS (PCBs),1.2E+00,noncarcinogenic effects,2.4E+00,,1.2E+00,1.2E+00,NA,,,,
PROPICONAZOLE,1.6E+02,noncarcinogenic effects,,,1.6E+02,8.2E+02,NA,,,,
PYRENE,3.6E+02,noncarcinogenic effects,,,3.6E+02,1.8E+03,NA,,,,
SELENIUM,7.8E+01,noncarcinogenic effects,,,7.8E+01,3.9E+02,NA,,,,
SILVER,7.8E+01,noncarcinogenic effects,,,7.8E+01,3.9E+02,NA,,,,
SIMAZINE,4.5E+00,carcinogenic effects,4.5E+00,,6.3E+01,3.2E+02,NA,,,,
STYRENE,8.7E+02,saturation limit,,,1.3E+03,6.4E+03,8.7E+02,,,,
TERBACIL,1.6E+02,noncarcinogenic effects,,,1.6E+02,8.2E+02,NA,,,,
tert-BUTYL ALCOHOL,9.9E+01,carcinogenic effects,9.9E+01,,,,3.2E+05,,,,
"TETRACHLOROETHANE, 1,1,1,2-",2.2E+00,carcinogenic effects,2.2E+00,,1.2E+02,5.9E+02,6.8E+02,,,,
"TETRACHLOROETHANE, 1,1,2,2-",6.5E-01,carcinogenic effects,6.5E-01,,3.1E+02,1.6E+03,1.9E+03,,,,
TETRACHLOROETHYLENE,1.1E+00,carcinogenic effects,1.1E+00,,1.7E+01,8.7E+01,1.7E+02,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",3.8E+02,noncarcinogenic effects,,,3.8E+02,1.9E+03,NA,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",7.7E+02,noncarcinogenic effects,,,7.7E+02,3.9E+03,NA,,,,
THALLIUM,7.8E-01,noncarcinogenic effects,,,7.8E-01,7.8E-01,NA,,,,
TOLUENE,8.2E+02,saturation limit,,,1.0E+03,5.0E+03,8.2E+02,,,,
TOXAPHENE,4.9E-01,carcinogenic effects,4.9E-01,,,,NA,,,,
TPH (gasolines),4.8E+02,noncarcinogenic effects,,,4.8E+02,4.8E+02,5.4E+03,,,,
TPH (middle distillates),2.6E+02,noncarcinogenic effects,,,2.6E+02,2.6E+02,5.0E+02,,,,
TPH (residual fuels),9.4E+03,noncarcinogenic effects,,,9.4E+03,9.4E+03,NA,,,,
"TRICHLOROBENZENE, 1,2,4-",8.2E+00,carcinogenic effects,8.2E+00,,1.2E+01,6.2E+01,NA,,,,
"TRICHLOROETHANE, 1,1,1-",6.4E+02,saturation limit,,,1.8E+03,8.8E+03,6.4E+02,,,,
"TRICHLOROETHANE, 1,1,2-",3.2E-01,noncarcinogenic effects,1.2E+00,,3.2E-01,1.6E+00,2.2E+03,,,,
TRICHLOROETHYLENE,8.9E-01,noncarcinogenic effects,-,9.4E-01,8.9E-01,4.4E+00,6.9E+02,,,,
"TRICHLOROPHENOL, 2,4,5-",1.3E+03,noncarcinogenic effects,,,1.3E+03,6.3E+03,NA,,,,
"TRICHLOROPHENOL, 2,4,6-",1.3E+01,noncarcinogenic effects,4.9E+01,,1.3E+01,6.3E+01,NA,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",1.3E+02,noncarcinogenic effects,,,1.3E+02,6.3E+02,NA,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",1.0E+02,noncarcinogenic effects,,,1.0E+02,5.1E+02,NA,,,,
"TRICHLOROPROPANE, 1,2,3-",1.6E-03,mutagenic effects,5.0E-03,1.6E-03,1.1E+00,5.3E+00,1.4E+03,,,,
"TRICHLOROPROPENE, 1,2,3-",1.6E-01,noncarcinogenic effects,,,1.6E-01,7.9E-01,3.1E+02,,,,
TRIFLURALIN,9.0E+01,carcinogenic effects,9.0E+01,,1.2E+02,5.9E+02,NA,,,,
"TRINITROBENZENE, 1,3,5-",4.5E+02,noncarcinogenic effects,,,4.5E+02,2.2E+03,NA,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",3.1E+01,noncarcinogenic effects,,,3.1E+01,1.6E+02,NA,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",7.3E+00,noncarcinogenic effects,2.1E+01,,7.3E+00,3.6E+01,NA,,,,
VANADIUM,7.8E+01,noncarcinogenic effects,,,7.8E+01,3.9E+02,NA,,,,
VINYL CHLORIDE,5.9E-02,mutagenic effects,-,5.9E-02,1.5E+01,7.4E+01,3.9E+03,,,,
XYLENES,1.2E+02,noncarcinogenic effects,,,1.2E+02,6.2E+02,2.6E+02,,,,
ZINC,4.7E+03,noncarcinogenic effects,,,4.7E+03,2.3E+04,NA,,,,
"Primary source: USEPA Regional Screening Levels (USEPA 2016), modified as noted below and described in Appendix 1, Section 3.2.",,,,,,,,,,,
Notes:,,,,,,,,,,,
"1. Based on assumed residential exposure scenario.  Considered adequate for residential housing, schools, medical facilities, day-care centers, parks and other sensitive uses.",,,,,,,,,,,
"2. Carcinogens: Default target excess cancer risk = 10-6 unless otherwise noted (see Section 3). Target ECR of 10-5 used for Technical Chlordane and PCBs.  Target risk of  10-4 applied to aldrin,  dieldrin, TEQ dioxins, hexavalent chromium and nonvolatile, carcinogenic PAHs action levels to reflect on higher confidence in noncancer toxicity factors and/or background and other factors.",,,,,,,,,,,
3. Noncarcinogens: Final action level based on default target hazard quotient = 0.2 unless otherwise noted.    TPH action levels based on HQ of 1.0 (see below footnote and Sections 3.2 and 6.0 in text).  Action levels for Technical Chlordane based on HQ of 1.0.  Action levels for aldrin and dieldrin (breakdown product of aldrin) based on HQ of 0.5. All chemicals - Action levels based on hazard quotient of 1.0 provided for reference.,,,,,,,,,,,
"4. Arsenic direct exposure soil action levels: refer to Update to Soil Action Levels for Inorganic Arsenic and Recommended Soil Management Practices, HEER office Technical Memorandum, October 2010 (HDOH 2010a).",,,,,,,,,,,
"5. TEQ dioxin action levels: Refer to Update to Soil Action Levels for TEQ Dioxins and Recommended Soil Management Practices, HEER office Technical Memorandum, June 2010 (HDOH 2010b). ",,,,,,,,,,,
,,,,,,,,,,,
See text for equations and assumptions used in models.,,,,,,,,,,,
Final action level is lowest of individual screening levels for carcinogenic effects and noncarcinogenic effects or action level for construction/trench workers if lower (see Table I-3).  Saturation limit used as upper limit for volatile organic compounds that are liquid at ambient conditions (see text).,,,,,,,,,,,
Saturation: Theoretical soil saturation level in the absence of free product; calculated for volatile organic compounds that are liquids under ambient conditions (refer to Table H).,,,,,,,,,,,
TPH:Total Petroleum Hydrocarbons.  See Chapter 6 of Appendix 1for discussion of different TPH categories and development of action levels.,,,,,,,,,,,
"TPHmd saturation level set to 500 mg/kg vs model-derived 150 mg/kg to address low confidence in direct exposure, vapor emission model (see Chapter 6). Direct-exposure action levels for both TPHg and TPHmd set at 500 mg/kg to consider biodegradation.",,,,,,,,,,,
Ethanol: Human health toxicity data not available.  Environmental concerns driven by gross contamination/nuisance concerns.,,,,,,,,,,,
"Direct-exposure screening level for lead based on 50% of 2011 USEPA RSL of 400 mg/kg (see text, assumes target blood level of 5 ug/dl).",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
