TABLE D-4e. SUMMARY OF USEPA AND OTHER PUBLISHED AQUATIC HABITAT GOALS,,,,,,,,,,,,,,,,
(ug/l),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Freshwater,,,,,,Marine,,,,,,,,,
"TRICHLOROPHENOL, 2,4,5-",1.9E+00,1.7E+01,,,,,1.2E+01,2.6E+02,,,,,,,,
"TRICHLOROPHENOL, 2,4,6-",4.9E+00,3.9E+01,,,,,6.5E+00,,,,3.9E+01,USEPA Reg IV (FW),,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",,,6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic,,,6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",3.0E+01,2.7E+02,,,,,5.0E+01,,,,2.7E+02,USEPA Reg IV (FW),,,,
"TRICHLOROPROPANE, 1,2,3-",,,1.4E+01,USEPA AQUIRE (50% FW EC50),1.4E+02,USEPA AQUIRE (5xFW EC50),,,1.4E+01,USEPA AQUIRE (50% FW EC50),1.4E+02,USEPA AQUIRE (5xFW EC50),,,,
"TRICHLOROPROPENE, 1,2,3-",,,,,,,,,,,,,,,,
TRIFLURALIN,1.1E+00,2.1E+01,,,,,,,1.1E+00,USEPA Reg IV (FW),2.1E+01,USEPA Reg IV (FW),,,,
"TRINITROBENZENE, 1,3,5-",1.1E+01,2.7E+01,,,,,1.0E+01,3.0E+01,,,,,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",,,,,,,,,,,,,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",1.3E+01,2.1E+02,,,,,9.0E+01,5.7E+02,,,,,,,,
VANADIUM,2.7E+01,1.2E+02,,,,,8.1E+01,9.0E+01,,,,,,,,
VINYL CHLORIDE,9.3E+02,8.4E+03,,,,,,,9.3E+02,USEPA Reg. IV SW Chronic,8.4E+03,USEPA Reg IV SW Acute,,,,
XYLENES,2.7E+01,2.4E+02,,,,,1.3E+01,2.3E+02,1.0E+02,5% Acute SW LC 50,1.0E+03,50% SW LC50,,,,
ZINC,1.2E+02,1.2E+02,,,,,8.1E+01,9.0E+01,,,,,,,,
References:,,,,,,,,,,,,,,,,
"Primary sources USEPA Region IV (2015) and USEPA Office of Pesticides Aquatic Life Benchmarks database (USEPA 2016b; accessed July 2016). See also USDOE (1997), MOEE (1996), USEPA (2002), USEPA Reg 5 (2003), Pascoe et al. (2010). USEPA AQUIRE ecotox database refered to for pesticides that lacked published, aquatic toxicity screening levels (USEPA 2008b).",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
Used for development of groundwater and soil action levels.,,,,,,,,,,,,,,,,
See text for prioritization and selection of surface water quality action levels.,,,,,,,,,,,,,,,,
Red: Screening level based on bioaccumulation.,,,,,,,,,,,,,,,,
"1,4 Dioxane: LC 50 values for presented in ""Solvent Stabilizers  White Paper"" (Mohr 2001).",,,,,,,,,,,,,,,,
"Perchlorate: Chronic and acute goals from ""Perchlorate Environmental Contamination"" (USEPA 2002).",,,,,,,,,,,,,,,,
tert Buytl Alcohol (TBA): Chronic aquatic goal based on in-house review of USEPA ECOTOX database for TBA (USEPA 2008b).  Ten percent of LC0 concentration for Lepomis macrochirus (Bluegill) selected as most conservative goal of data presented.,,,,,,,,,,,,,,,,
AWQC: Aquatic Water Quality Criteria,,,,,,,,,,,,,,,,
EC50: 50% Effects Concentration,,,,,,,,,,,,,,,,
LC0: 0% Lethal Concentration,,,,,,,,,,,,,,,,
LC50: 50% Lethal Concentration,,,,,,,,,,,,,,,,
FW: Freshwater,,,,,,,,,,,,,,,,
SW: Saltwater,,,,,,,,,,,,,,,,
TPH Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,,,,,,,,,,,,
USDOE: US Dept of Energy (Oak Ridge National Laboratories),,,,,,,,,,,,,,,,
USDOE: US Dept of Energy (Oak Ridge National Laboratories),,,,,,,,,,,,,,,,
USEPA: U.S. Environmental Protection Agency,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
