TABLE D-4c. SUMMARY OF SELECTED ACUTE AQUATIC HABITAT GOALS,,,,,,
,,,,,,
BENZENE,1.7E+03,Hawaii Acute SW WQS,1.8E+03,Hawaii Acute FW WQS,1.7E+03,Hawaii Acute SW WQS
BENZO(a)ANTHRACENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
BENZO(a)PYRENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
BENZO(b)FLUORANTHENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
"BENZO(g,h,i)PERYLENE",3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
BENZO(k)FLUORANTHENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
BERYLLIUM,3.5E+01,USEPA Acute SW,4.3E+01,Hawaii Acute FW WQS,3.5E+01,USEPA Acute SW
"BIPHENYL, 1,1-",2.6E+01,USEPA Reg IV (FW),2.6E+01,USEPA Acute FW,2.6E+01,USEPA Reg IV (FW)
BIS(2-CHLOROETHYL)ETHER,2.4E+04,USDOE Acute (FW),2.4E+04,USDOE Acute,2.4E+04,USDOE Acute (FW)
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,=Drinking Water Toxicity,3.7E-01,=Drinking Water Toxicity,3.7E-01,=Drinking Water Toxicity
BIS(2-ETHYLHEXYL)PHTHALATE,2.7E+01,USEPA Acute SW,2.7E+01,USEPA Acute FW,2.7E+01,USEPA Acute SW
BORON,3.4E+04,USEPA Reg IV (FW),3.4E+04,USEPA Acute FW,3.4E+04,USEPA Reg IV (FW)
BROMODICHLOROMETHANE,3.1E+03,USEPA Reg IV (FW),3.1E+03,USEPA Acute FW,3.1E+03,USEPA Reg IV (FW)
BROMOFORM,1.1E+03,USEPA Acute FW,1.1E+03,USEPA Acute FW,2.3E+03,USEPA Acute SW
BROMOMETHANE,3.8E+01,USEPA Reg IV (FW),3.8E+01,USEPA Acute FW,3.8E+01,USEPA Reg IV (FW)
CADMIUM,3.0E+00,Hawaii Acute FW WQS,3.0E+00,Hawaii Acute FW WQS,4.3E+01,Hawaii Acute SW WQS
CARBON TETRACHLORIDE,1.2E+04,Hawaii Acute FW WQS,1.2E+04,Hawaii Acute FW WQS,1.6E+04,Hawaii Acute SW WQS
CHLORDANE (TECHNICAL),9.0E-02,Hawaii Acute SW WQS,2.4E+00,Hawaii Acute FW WQS,9.0E-02,Hawaii Acute SW WQS
"CHLOROANILINE, p-",4.6E+02,USEPA Reg IV (FW),4.6E+02,USEPA Acute FW,4.6E+02,USEPA Reg IV (FW)
CHLOROBENZENE,2.2E+02,USEPA Acute FW,2.2E+02,USEPA Acute FW,1.1E+03,USEPA Acute SW
CHLOROETHANE,2.1E+04,=Drinking Water Toxicity,2.1E+04,=Drinking Water Toxicity,2.1E+04,=Drinking Water Toxicity
CHLOROFORM,4.9E+02,USEPA Acute SW,9.6E+03,Hawaii Acute FW WQS,4.9E+02,USEPA Acute SW
CHLOROMETHANE,1.9E+02,=Drinking Water Toxicity,1.9E+02,=Drinking Water Toxicity,1.9E+02,=Drinking Water Toxicity
"CHLOROPHENOL, 2-",4.0E+02,USEPA Reg IV (SW chronic),1.4E+03,Hawaii Acute FW WQS,4.0E+02,USEPA Reg IV (SW chronic)
CHROMIUM (Total),1.6E+01,Reg IV Cr VI,1.6E+01,Reg IV Cr VI,1.0E+03,Reg IV Cr VI
CHROMIUM III,5.7E+02,USEPA Reg IV (FW),5.7E+02,USEPA Acute FW,5.7E+02,USEPA Reg IV (FW)
CHROMIUM VI,1.6E+01,Hawaii Acute FW WQS,1.6E+01,Hawaii Acute FW WQS,1.1E+03,Hawaii Acute SW WQS
CHRYSENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
COBALT,1.2E+02,USEPA Acute FW,1.2E+02,USEPA Acute FW,1.5E+03,USEPA Acute SW
COPPER,2.9E+00,Hawaii Acute SW WQS,6.0E+00,Hawaii Acute FW WQS,2.9E+00,Hawaii Acute SW WQS
CYANIDE (Free),1.0E+00,Hawaii Acute SW WQS,2.2E+01,Hawaii Acute FW WQS,1.0E+00,Hawaii Acute SW WQS
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",5.2E+02,USEPA Acute FW,5.2E+02,USEPA Acute FW,7.0E+02,USEPA Acute SW
DALAPON,3.0E+03, USEPA AQUIRE (50% FW LC50),3.0E+03, USEPA AQUIRE (50% FW LC50),3.0E+03, USEPA AQUIRE (50% FW LC50)
"DIBENZO(a,h)ANTHTRACENE",3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
"DIBROMO-3-CHLOROPROPANE, 1,2-",4.0E-02,=Drinking Water Toxicity,4.0E-02,=Drinking Water Toxicity,4.0E-02,=Drinking Water Toxicity
DIBROMOCHLOROMETHANE,2.9E+03,USEPA Reg IV (FW),2.9E+03,USEPA Acute FW,2.9E+03,USEPA Reg IV (FW)
"DIBROMOETHANE, 1,2-",1.4E+03,50% MOEE FW Chronic AWQC,1.4E+03,50% MOEE FW Chronic AWQC,1.4E+03,50% MOEE FW Chronic AWQC
"DICHLOROBENZENE, 1,2-",3.7E+02,Hawaii Acute FW WQS,3.7E+02,Hawaii Acute FW WQS,6.6E+02,Hawaii Acute SW WQS
"DICHLOROBENZENE, 1,3-",3.7E+02,Hawaii Acute FW WQS,3.7E+02,Hawaii Acute FW WQS,6.6E+02,Hawaii Acute SW WQS
"DICHLOROBENZENE, 1,4-",3.7E+02,Hawaii Acute FW WQS,3.7E+02,Hawaii Acute FW WQS,6.6E+02,Hawaii Acute SW WQS
"DICHLOROBENZIDINE, 3,3-",4.1E+01,USEPA Reg IV (FW),4.1E+01,USEPA Acute FW,4.1E+01,USEPA Reg IV (FW)
DICHLORODIPHENYLDICHLOROETHANE (DDD),1.9E-01,USEPA Acute SW,1.9E-01,USEPA Acute FW,1.9E-01,USEPA Acute SW
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),7.0E+00,USEPA Reg IV (FW),7.0E+00,USEPA Acute FW,7.0E+00,USEPA Reg IV (FW)
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.3E-02,Hawaii Acute SW WQS,1.1E+00,Hawaii Acute FW WQS,1.3E-02,Hawaii Acute SW WQS
"DICHLOROETHANE, 1,1-",8.3E+02,USEPA Acute SW,3.7E+03,USEPA Acute FW,8.3E+02,USEPA Acute SW
"DICHLOROETHANE, 1,2-",3.8E+04,Hawaii Acute SW WQS,3.9E+04,Hawaii Acute FW WQS,3.8E+04,Hawaii Acute SW WQS
"DICHLOROETHYLENE, 1,1-",3.9E+03,Hawaii Acute FW WQS,3.9E+03,Hawaii Acute FW WQS,7.5E+04,Hawaii Acute SW WQS
"DICHLOROETHYLENE, Cis 1,2-",5.5E+03,USEPA Reg IV (FW),5.5E+03,USEPA Acute FW,5.5E+03,USEPA Reg IV (FW)
"DICHLOROETHYLENE, Trans 1,2-",1.0E+04,USEPA Reg IV (FW),1.0E+04,USEPA Acute FW,1.0E+04,USEPA Reg IV (FW)
"DICHLOROPHENOL, 2,4-",6.7E+02,Hawaii Acute FW WQS,6.7E+02,Hawaii Acute FW WQS,7.9E+02,USEPA Reg IV (SW chronic)
"DICHLOROPHENOXYACETIC ACID (2,4-D)",1.3E+02,USEPA Reg IV (FW),1.3E+02,USEPA Acute FW,1.3E+02,USEPA Reg IV (FW)
"DICHLOROPROPANE, 1,2-",3.4E+03,Hawaii Acute SW WQS,7.7E+03,Hawaii Acute FW WQS,3.4E+03,Hawaii Acute SW WQS
"DICHLOROPROPENE, 1,3-",2.6E+02,Hawaii Acute SW WQS,2.0E+03,Hawaii Acute FW WQS,2.6E+02,Hawaii Acute SW WQS
DIELDRIN,7.1E-01,Hawaii Acute SW WQS,2.5E+00,Hawaii Acute FW WQS,7.1E-01,Hawaii Acute SW WQS
DIETHYLPHTHALATE,9.8E+02,USEPA Acute FW,9.8E+02,USEPA Acute FW,1.8E+03,USEPA Acute SW
"DIMETHYLPHENOL, 2,4-",7.0E+02,Hawaii Acute FW WQS,7.0E+02,Hawaii Acute FW WQS,1.1E+03,USEPA Reg IV (FW)
DIMETHYLPHTHALATE,3.2E+03,USEPA Reg IV (FW),3.2E+03,USEPA Acute FW,3.2E+03,USEPA Reg IV (FW)
"DINITROBENZENE, 1,3-",1.0E+02,USEPA Acute FW,1.0E+02,USEPA Acute FW,1.1E+02,USEPA Acute SW
"DINITROPHENOL, 2,4-",3.8E+02,0.0E+00,3.8E+02,USEPA Acute FW,3.8E+02,0.0E+00
"DINITROTOLUENE, 2,4- (2,4-DNT)",1.1E+02,Hawaii Acute FW WQS,1.1E+02,Hawaii Acute FW WQS,2.0E+02,Hawaii Acute SW WQS
"DINITROTOLUENE, 2,6- (2,6-DNT)",1.1E+02,Hawaii Acute FW WQS,1.1E+02,Hawaii Acute FW WQS,2.0E+02,Hawaii Acute SW WQS
"DIOXANE, 1,4-",3.4E+06,Mohr (50% FW LC50),3.4E+06,Mohr (50% FW LC50),5.0E+06,Mohr (50% SW LC50)
DIOXINS (TEQ),3.0E-03,USEPA Reg IV (FW),3.0E-03,Hawaii Acute FW WQS,3.0E-03,USEPA Reg IV (FW)
DIURON,2.0E+02,USEPA AQUIRE (50% FW LC50),2.0E+02,USEPA AQUIRE (50% FW LC50),5.5E+02,USEPA AQUIRE (50% SW LC50)
ENDOSULFAN,3.4E-02,Hawaii Acute SW WQS,2.2E-01,Hawaii Acute FW WQS,3.4E-02,Hawaii Acute SW WQS
ENDRIN,3.7E-02,Hawaii Acute SW WQS,1.8E-01,Hawaii Acute FW WQS,3.7E-02,Hawaii Acute SW WQS
ETHANOL,,not available,,not available,,
ETHYLBENZENE,1.4E+02,Hawaii Acute SW WQS,1.1E+04,Hawaii Acute FW WQS,1.4E+02,Hawaii Acute SW WQS
FLUORANTHENE,1.3E+01,Hawaii Acute SW WQS,1.3E+03,Hawaii Acute FW WQS,1.3E+01,Hawaii Acute SW WQS
FLUORENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
GLYPHOSATE,2.2E+04,USEPA Off Pesticides (FW),2.2E+04,USEPA Off Pesticides,2.2E+04,USEPA Off Pesticides (FW)
HEPTACHLOR,5.3E-02,Hawaii Acute SW WQS,5.2E-01,Hawaii Acute FW WQS,5.3E-02,Hawaii Acute SW WQS
HEPTACHLOR EPOXIDE,5.3E-02,USEPA Acute SW,5.2E-01,USEPA Acute FW,5.3E-02,USEPA Acute SW
HEXACHLOROBENZENE,3.0E-04,USEPA Reg IV (FW chronic),3.0E-04,USEPA Reg IV (FW chronic),3.0E-04,USEPA Reg IV (FW chronic)
HEXACHLOROBUTADIENE,1.1E+01,Hawaii Acute SW WQS,3.0E+01,Hawaii Acute FW WQS,1.1E+01,Hawaii Acute SW WQS
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,1.6E-01,Hawaii Acute SW WQS,2.0E+00,Hawaii Acute FW WQS,1.6E-01,Hawaii Acute SW WQS
HEXACHLOROETHANE,3.1E+02,Hawaii Acute SW WQS,3.3E+02,Hawaii Acute FW WQS,3.1E+02,Hawaii Acute SW WQS
HEXAZINONE,1.4E+05,USEPA Off Pesticides (FW),1.4E+05,USEPA Off Pesticides,1.4E+05,USEPA Off Pesticides (FW)
"INDENO(1,2,3-cd)PYRENE",3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
ISOPHORONE,4.3E+03,Hawaii Acute SW WQS,3.9E+04,Hawaii Acute FW WQS,4.3E+03,Hawaii Acute SW WQS
LEAD,2.9E+01,Hawaii Acute FW WQS,2.9E+01,Hawaii Acute FW WQS,1.4E+02,Hawaii Acute SW WQS
MERCURY,2.1E+00,Hawaii Acute SW WQS,2.4E+00,Hawaii Acute FW WQS,2.1E+00,Hawaii Acute SW WQS
METHOXYCHLOR,7.0E-01,USEPA Reg IV (FW),7.0E-01,USEPA Acute FW,7.0E-01,USEPA Reg IV (FW)
METHYL ETHYL KETONE,2.0E+05,USEPA Acute FW,2.0E+05,USEPA Acute FW,2.4E+05,USEPA Acute SW
METHYL ISOBUTYL KETONE,2.2E+03,USEPA Acute SW,2.2E+03,USEPA Acute FW,2.2E+03,USEPA Acute SW
METHYL MERCURY,9.9E-02,USEPA Acute SW,9.9E-02,USEPA Acute FW,9.9E-02,USEPA Acute SW
METHYL TERT BUTYL ETHER,6.5E+03,USEPA Acute FW,6.5E+03,USEPA Acute FW,5.3E+04,USEPA Acute SW
METHYLENE CHLORIDE,8.5E+03,USEPA Acute FW,8.5E+03,USEPA Acute FW,2.6E+04,USEPA Acute SW
"METHYLNAPHTHALENE, 1-",3.7E+01,USEPA Acute SW,3.7E+01,USEPA Acute FW,3.7E+01,USEPA Acute SW
"METHYLNAPHTHALENE, 2-",4.2E+01,USEPA Acute FW,4.2E+01,USEPA Acute FW,8.6E+01,USEPA Acute SW
MOLYBDENUM,7.2E+03,USEPA Acute FW,7.2E+03,USEPA Acute FW,1.6E+04,USEPA Acute SW
NAPHTHALENE,7.7E+02,Hawaii Acute FW WQS,7.7E+02,Hawaii Acute FW WQS,7.8E+02,Hawaii Acute SW WQS
NICKEL,5.0E+00,Hawaii Acute FW WQS,5.0E+00,Hawaii Acute FW WQS,7.5E+01,Hawaii Acute SW WQS
NITROBENZENE,2.0E+03,Hawaii Acute SW WQS,9.0E+03,Hawaii Acute FW WQS,2.0E+03,Hawaii Acute SW WQS
NITROGLYCERIN,1.6E+02,USEPA Reg IV (FW),1.6E+02,USEPA Acute FW,1.6E+02,USEPA Reg IV (FW)
"NITROTOLUENE, 2-",6.4E+02,USEPA Reg IV (FW),6.4E+02,USEPA Acute FW,6.4E+02,USEPA Reg IV (FW)
"NITROTOLUENE, 3-",3.8E+02,USEPA Reg IV (FW),3.8E+02,USEPA Acute FW,3.8E+02,USEPA Reg IV (FW)
"NITROTOLUENE, 4-",4.1E+02,USEPA Reg IV (FW),4.1E+02,USEPA Acute FW,4.1E+02,USEPA Reg IV (FW)
PENTACHLOROPHENOL,1.3E+01,Hawaii Acute SW WQS,2.0E+01,Hawaii Acute FW WQS,1.3E+01,Hawaii Acute SW WQS
PENTAERYTHRITOLTETRANITRATE (PETN),8.5E+05,Pascoe et al. (chronic FW),8.5E+05,Pascoe et al. (chronic FW),8.5E+05,Pascoe et al. (chronic FW)
PERCHLORATE,5.0E+03,USEPA 2002,5.0E+03,USEPA 2002,5.0E+03,USEPA 2002
PHENANTHRENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
PHENOL,3.0E+02,USEPA Acute SW,4.7E+03,Hawaii Acute FW WQS,3.0E+02,USEPA Acute SW
POLYCHLORINATED BIPHENYLS (PCBs),2.0E+00,Hawaii Acute FW WQS,2.0E+00,Hawaii Acute FW WQS,1.0E+01,Hawaii Acute SW WQS
PROPICONAZOLE,4.3E+02,USEPA Off Pesticides (FW),4.3E+02,USEPA Off Pesticides,4.3E+02,USEPA Off Pesticides (FW)
PYRENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
SELENIUM,2.0E+01,Hawaii Acute FW WQS,2.0E+01,Hawaii Acute FW WQS,3.0E+02,Hawaii Acute SW WQS
SILVER,1.0E+00,Hawaii Acute FW WQS,1.0E+00,Hawaii Acute FW WQS,2.3E+00,Hawaii Acute SW WQS
SIMAZINE,8.0E+01,USEPA Reg IV (FW),8.0E+01,USEPA Acute FW,8.0E+01,USEPA Reg IV (FW)
STYRENE,2.9E+02,USEPA Reg IV (FW),2.9E+02,USEPA Acute FW,2.9E+02,USEPA Reg IV (FW)
TERBACIL,2.6E+02,=Drinking Water Toxicity,2.3E+04,USEPA Off Pesticides,2.6E+02,=Drinking Water Toxicity
tert-BUTYL ALCOHOL,1.8E+05,USEPA AQUIRE (FW LC0),1.8E+05,USEPA AQUIRE (FW LC0),1.8E+05,USEPA AQUIRE (FW LC0)
"TETRACHLOROETHANE, 1,1,1,2-",7.7E+02,USEPA Reg IV (FW),3.1E+03,Hawaii Acute FW WQS,7.7E+02,USEPA Reg IV (FW)
"TETRACHLOROETHANE, 1,1,2,2-",9.1E+02,USEPA Acute FW,9.1E+02,USEPA Acute FW,3.0E+03,Hawaii Acute SW WQS
TETRACHLOROETHYLENE,1.8E+03,Hawaii Acute FW WQS,1.8E+03,Hawaii Acute FW WQS,3.4E+03,Hawaii Acute SW WQS
"TETRACHLOROPHENOL, 2,3,4,6-",1.1E+01,USEPA Reg IV (FW),1.1E+01,USEPA Acute FW,1.1E+01,USEPA Reg IV (FW)
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",1.2E+03,USEPA Acute FW,1.2E+03,USEPA Acute FW,1.9E+03,USEPA Acute SW
THALLIUM,4.7E+02,Hawaii Acute FW WQS,4.7E+02,Hawaii Acute FW WQS,7.1E+02,Hawaii Acute SW WQS
TOLUENE,2.1E+03,Hawaii Acute SW WQS,5.8E+03,Hawaii Acute FW WQS,2.1E+03,Hawaii Acute SW WQS
TOXAPHENE,2.1E-01,Hawaii Acute SW WQS,7.3E-01,Hawaii Acute FW WQS,2.1E-01,Hawaii Acute SW WQS
TPH (gasolines),5.0E+03,Ceiling Level,5.0E+03,Ceiling Level,5.0E+03,Ceiling Level
TPH (middle distillates),2.5E+03,Ceiling Level,2.5E+03,Ceiling Level,2.5E+03,Ceiling Level
TPH (residual fuels),2.5E+03,Ceiling Level,2.5E+03,Ceiling Level,2.5E+03,Ceiling Level
"TRICHLOROBENZENE, 1,2,4-",4.2E+02,USEPA Acute FW,4.2E+02,USEPA Acute FW,7.0E+02,USEPA Acute SW
"TRICHLOROETHANE, 1,1,1-",6.0E+03,Hawaii Acute FW WQS,6.0E+03,Hawaii Acute FW WQS,1.0E+04,Hawaii Acute SW WQS
"TRICHLOROETHANE, 1,1,2-",5.2E+03,USEPA Acute SW,6.0E+03,Hawaii Acute FW WQS,5.2E+03,USEPA Acute SW
TRICHLOROETHYLENE,7.0E+02,Hawaii Acute SW WQS,1.5E+04,Hawaii Acute FW WQS,7.0E+02,Hawaii Acute SW WQS
"TRICHLOROPHENOL, 2,4,5-",1.7E+01,USEPA Acute FW,1.7E+01,USEPA Acute FW,2.6E+02,USEPA Acute SW
"TRICHLOROPHENOL, 2,4,6-",3.9E+01,USEPA Reg IV (FW),3.9E+01,USEPA Acute FW,3.9E+01,USEPA Reg IV (FW)
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",2.7E+02,USEPA Reg IV (FW),2.7E+02,USEPA Acute FW,2.7E+02,USEPA Reg IV (FW)
"TRICHLOROPROPANE, 1,2,3-",1.4E+02,USEPA AQUIRE (5xFW EC50),1.4E+02,USEPA AQUIRE (5xFW EC50),1.4E+02,USEPA AQUIRE (5xFW EC50)
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,=Drinking Water Toxicity,6.2E-01,=Drinking Water Toxicity,6.2E-01,=Drinking Water Toxicity
TRIFLURALIN,2.1E+01,USEPA Reg IV (FW),2.1E+01,USEPA Acute FW,2.1E+01,USEPA Reg IV (FW)
"TRINITROBENZENE, 1,3,5-",2.7E+01,USEPA Acute FW,2.7E+01,USEPA Acute FW,3.0E+01,USEPA Acute SW
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,=Drinking Water Toxicity,4.0E+01,=Drinking Water Toxicity,4.0E+01,=Drinking Water Toxicity
"TRINITROTOLUENE, 2,4,6- (TNT)",2.1E+02,USEPA Acute FW,2.1E+02,USEPA Acute FW,5.7E+02,USEPA Acute SW
VANADIUM,9.0E+01,USEPA Acute SW,1.2E+02,USEPA Acute FW,9.0E+01,USEPA Acute SW
VINYL CHLORIDE,8.4E+03,USEPA Reg IV SW Acute,8.4E+03,USEPA Acute FW,8.4E+03,USEPA Reg IV SW Acute
XYLENES,2.3E+02,USEPA Acute SW,2.4E+02,USEPA Acute FW,2.3E+02,USEPA Acute SW
ZINC,2.2E+01,Hawaii Acute FW WQS,2.2E+01,Hawaii Acute FW WQS,9.5E+01,Hawaii Acute SW WQS
Notes:,,,,,,
1. Refer to Table D-4d and D-4e for summary of aquatic habitat goal sources.  Used for selection of groundwater action levels.,,,,,,
2. Estuarine Goal = Lowest of Freshwater vs Saltwater chronic goals.,,,,,,
3. Drinking water goal substituted as aquatic habitat goal if latter was not available (see text).,,,,,,
,,,,,,
