"TABLE L. SOIL ECOTOXICITY ACTION LEVELS
(Discontinued as of Fall 2011 due to low confidence in use of published
METHYL TERT BUTYL ETHER,site-specific,site-specific,,,
METHYLENE CHLORIDE,site-specific,site-specific,,,
"METHYLNAPHTHALENE, 1-",site-specific,site-specific,,,
"METHYLNAPHTHALENE, 2-",site-specific,site-specific,,,
MOLYBDENUM,site-specific,site-specific,,,
NAPHTHALENE,site-specific,site-specific,,,
NICKEL,site-specific,site-specific,,,
NITROBENZENE,site-specific,site-specific,,,
NITROGLYCERIN,site-specific,site-specific,,,
"NITROTOLUENE, 2-",site-specific,site-specific,,,
"NITROTOLUENE, 3-",site-specific,site-specific,,,
"NITROTOLUENE, 4-",site-specific,site-specific,,,
PENTACHLOROPHENOL,site-specific,site-specific,,,
PENTAERYTHRITOLTETRANITRATE (PETN),site-specific,site-specific,,,
PERCHLORATE,site-specific,site-specific,,,
PHENANTHRENE,site-specific,site-specific,,,
PHENOL,site-specific,site-specific,,,
POLYCHLORINATED BIPHENYLS (PCBs),site-specific,site-specific,,,
PROPICONAZOLE,site-specific,site-specific,,,
PYRENE,site-specific,site-specific,,,
SELENIUM,site-specific,site-specific,,,
SILVER,site-specific,site-specific,,,
SIMAZINE,site-specific,site-specific,,,
STYRENE,site-specific,site-specific,,,
TERBACIL,site-specific,site-specific,,,
tert-BUTYL ALCOHOL,site-specific,site-specific,,,
"TETRACHLOROETHANE, 1,1,1,2-",site-specific,site-specific,,,
"TETRACHLOROETHANE, 1,1,2,2-",site-specific,site-specific,,,
TETRACHLOROETHYLENE,site-specific,site-specific,,,
"TETRACHLOROPHENOL, 2,3,4,6-",site-specific,site-specific,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",site-specific,site-specific,,,
THALLIUM,site-specific,site-specific,,,
TOLUENE,site-specific,site-specific,,,
TOXAPHENE,site-specific,site-specific,,,
TPH (gasolines),site-specific,site-specific,,,
TPH (middle distillates),site-specific,site-specific,,,
TPH (residual fuels),site-specific,site-specific,,,
"TRICHLOROBENZENE, 1,2,4-",site-specific,site-specific,,,
"TRICHLOROETHANE, 1,1,1-",site-specific,site-specific,,,
"TRICHLOROETHANE, 1,1,2-",site-specific,site-specific,,,
TRICHLOROETHYLENE,site-specific,site-specific,,,
"TRICHLOROPHENOL, 2,4,5-",site-specific,site-specific,,,
"TRICHLOROPHENOL, 2,4,6-",site-specific,site-specific,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",site-specific,site-specific,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",site-specific,site-specific,,,
"TRICHLOROPROPANE, 1,2,3-",site-specific,site-specific,,,
"TRICHLOROPROPENE, 1,2,3-",site-specific,site-specific,,,
TRIFLURALIN,site-specific,site-specific,,,
"TRINITROBENZENE, 1,3,5-",site-specific,site-specific,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",site-specific,site-specific,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",site-specific,site-specific,,,
VANADIUM,site-specific,site-specific,,,
VINYL CHLORIDE,site-specific,site-specific,,,
XYLENES,site-specific,site-specific,,,
ZINC,site-specific,site-specific,,,
"Electrical Conductivity
(mS/cm, USEPA Method 120.1 MOD)",-,-,,,
Sodium Adsorption Ratio,-,-,,,
,,,,,
"Discontinued in Fall 2011. Site specific, ecological risk assessment recommended at sites where anthropogenic contamination identified and sensitive, terrestrial ecological habitats could be threatened.",,,,,
,,,,,
