"TABLE D-2a. SURFACE WATER ACTION LEVELS
Fresh Water Habitats",,,,,,
(ug/l),,,,,,
DIBROMOCHLOROMETHANE,2.1E-01,Drinking Water Toxicity,5.0E+04,2.1E-01,3.2E+02,1.3E+01
"DIBROMOETHANE, 1,2-",4.0E-02,Drinking Water Toxicity,5.0E+04,4.0E-02,1.4E+03,
"DICHLOROBENZENE, 1,2-",1.0E+01,Ceiling Value,1.0E+01,6.0E+02,2.3E+01,8.5E+02
"DICHLOROBENZENE, 1,3-",2.2E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.8E+02,2.2E+01,8.5E+02
"DICHLOROBENZENE, 1,4-",5.0E+00,Ceiling Value,5.0E+00,7.5E+01,9.4E+00,8.5E+02
"DICHLOROBENZIDINE, 3,3-",7.0E-03,Bioaccumulation/Human Consumption,1.6E+03,1.7E-01,4.5E+00,7.0E-03
DICHLORODIPHENYLDICHLOROETHANE (DDD),3.1E-04,Bioaccumulation/Human Consumption,4.5E+01,3.2E-01,1.1E-02,3.1E-04
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.2E-04,Bioaccumulation/Human Consumption,2.0E+01,4.6E-02,4.1E-01,2.2E-04
DICHLORODIPHENYLTRICHLOROETHANE (DDT),8.0E-06,Bioaccumulation/Human Consumption,2.8E+00,2.3E-01,1.0E-03,8.0E-06
"DICHLOROETHANE, 1,1-",2.8E+00,Drinking Water Toxicity,5.0E+04,2.8E+00,4.1E+02,
"DICHLOROETHANE, 1,2-",5.0E+00,Drinking Water Toxicity,7.0E+03,5.0E+00,2.0E+03,7.9E+01
"DICHLOROETHYLENE, 1,1-",6.0E-01,Bioaccumulation/Human Consumption,1.5E+03,7.0E+00,1.3E+02,6.0E-01
"DICHLOROETHYLENE, Cis 1,2-",7.0E+01,Drinking Water Toxicity,5.0E+04,7.0E+01,6.2E+02,
"DICHLOROETHYLENE, Trans 1,2-",1.0E+02,Drinking Water Toxicity,2.6E+02,1.0E+02,5.6E+02,140000
"DICHLOROPHENOL, 2,4-",3.0E-01,Ceiling Value,3.0E-01,6.0E+01,1.1E+01,2.9E+02
"DICHLOROPHENOXYACETIC ACID (2,4-D)",7.0E+01,Drinking Water Toxicity,5.0E+04,7.0E+01,7.9E+01,
"DICHLOROPROPANE, 1,2-",5.0E+00,Drinking Water Toxicity,1.0E+01,5.0E+00,5.2E+02,1.5E+01
"DICHLOROPROPENE, 1,3-",5.0E-01,Drinking Water Toxicity,5.0E+04,5.0E-01,1.7E+00,4.6E+00
DIELDRIN,2.5E-05,Bioaccumulation/Human Consumption,4.1E+01,1.1E-02,1.9E-03,2.5E-05
DIETHYLPHTHALATE,2.2E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,1.6E+04,2.2E+02,4.4E+04
"DIMETHYLPHENOL, 2,4-",1.2E+02,Aquatic Habitat Chronic Toxicity,4.0E+02,4.0E+02,1.2E+02,8.5E+02
DIMETHYLPHTHALATE,1.1E+03,Aquatic Habitat Chronic Toxicity,5.0E+04,2.0E+05,1.1E+03,1.1E+06
"DINITROBENZENE, 1,3-",2.0E+00,Drinking Water Toxicity,5.0E+04,2.0E+00,2.2E+01,
"DINITROPHENOL, 2,4-",4.0E+01,Drinking Water Toxicity,5.0E+04,4.0E+01,7.1E+01,5.3E+03
"DINITROTOLUENE, 2,4- (2,4-DNT)",2.5E-01,Drinking Water Toxicity,5.0E+04,2.5E-01,4.4E+01,3.0E+00
"DINITROTOLUENE, 2,6- (2,6-DNT)",5.2E-02,Drinking Water Toxicity,5.0E+04,5.2E-02,8.1E+01,
"DIOXANE, 1,4-",4.6E-01,Drinking Water Toxicity,5.0E+04,4.6E-01,3.4E+05,
DIOXINS (TEQ),3.1E-09,Aquatic Habitat Chronic Toxicity,1.0E-01,3.0E-05,3.1E-09,5.0E-09
DIURON,4.0E+01,Drinking Water Toxicity,2.1E+04,4.0E+01,6.0E+01,
ENDOSULFAN,5.6E-02,Aquatic Habitat Chronic Toxicity,1.6E+02,1.2E+02,5.6E-02,5.2E+01
ENDRIN,2.3E-03,Aquatic Habitat Chronic Toxicity,4.1E+01,2.0E+00,2.3E-03,8.1E-01
ETHANOL,5.0E+04,Ceiling Value,5.0E+04,,,
ETHYLBENZENE,3.0E+01,Ceiling Value,3.0E+01,7.0E+02,6.1E+01,1.1E+03
FLUORANTHENE,8.0E-01,Aquatic Habitat Chronic Toxicity,1.3E+02,8.0E+02,8.0E-01,1.8E+01
FLUORENE,1.9E+01,Aquatic Habitat Chronic Toxicity,8.5E+02,2.4E+02,1.9E+01,5.3E+03
GLYPHOSATE,7.0E+02,Drinking Water Toxicity,5.0E+04,7.0E+02,1.8E+03,
HEPTACHLOR,9.0E-05,Bioaccumulation/Human Consumption,2.0E+01,4.0E-01,3.8E-03,9.0E-05
HEPTACHLOR EPOXIDE,3.9E-05,Bioaccumulation/Human Consumption,1.0E+02,2.0E-01,3.8E-03,3.9E-05
HEXACHLOROBENZENE,2.4E-04,Bioaccumulation/Human Consumption,3.1E+00,1.0E+00,3.0E-04,2.4E-04
HEXACHLOROBUTADIENE,2.0E-01,Drinking Water Toxicity,6.0E+00,2.0E-01,1.0E+00,1.6E+01
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,2.0E-02,Bioaccumulation/Human Consumption,3.7E+03,2.0E-01,8.0E-02,2.0E-02
HEXACHLOROETHANE,4.0E-01,Drinking Water Toxicity,1.0E+01,4.0E-01,1.2E+01,2.9E+00
HEXAZINONE,6.6E+02,Drinking Water Toxicity,5.0E+04,6.6E+02,1.7E+04,
"INDENO(1,2,3-cd)PYRENE",1.8E-02,Bioaccumulation/Human Consumption,9.5E-02,2.9E-02,2.8E-01,1.8E-02
ISOPHORONE,8.2E+01,Drinking Water Toxicity,5.0E+04,8.2E+01,9.2E+02,1.7E+05
LEAD,1.5E+01,Drinking Water Toxicity,5.0E+04,1.5E+01,2.9E+01,
MERCURY,4.7E-02,Bioaccumulation/Human Consumption,5.0E+04,2.0E+00,5.5E-01,4.7E-02
METHOXYCHLOR,3.0E-02,Aquatic Habitat Chronic Toxicity,5.0E+01,4.0E+01,3.0E-02,
METHYL ETHYL KETONE,5.6E+03,Drinking Water Toxicity,8.4E+03,5.6E+03,2.2E+04,
METHYL ISOBUTYL KETONE,1.7E+02,Aquatic Habitat Chronic Toxicity,1.3E+03,6.3E+03,1.7E+02,
METHYL MERCURY,2.8E-03,Aquatic Habitat Chronic Toxicity,5.0E+04,2.0E+00,2.8E-03,
METHYL TERT BUTYL ETHER,5.0E+00,Ceiling Value,5.0E+00,1.4E+01,7.3E+02,
METHYLENE CHLORIDE,5.0E+00,Drinking Water Toxicity,9.1E+03,5.0E+00,1.5E+03,5.9E+02
"METHYLNAPHTHALENE, 1-",2.1E+00,Aquatic Habitat Chronic Toxicity,1.0E+01,6.0E+00,2.1E+00,
"METHYLNAPHTHALENE, 2-",4.7E+00,Aquatic Habitat Chronic Toxicity,1.0E+01,2.4E+01,4.7E+00,
MOLYBDENUM,1.0E+02,Drinking Water Toxicity,5.0E+04,1.0E+02,8.0E+02,
NAPHTHALENE,1.7E+01,Drinking Water Toxicity,2.1E+01,1.7E+01,2.1E+01,
NICKEL,5.0E+00,Aquatic Habitat Chronic Toxicity,5.0E+04,4.0E+02,5.0E+00,3.3E+01
NITROBENZENE,1.4E-01,Drinking Water Toxicity,5.0E+04,1.4E-01,3.8E+02,
NITROGLYCERIN,2.0E+00,Drinking Water Toxicity,5.0E+04,2.0E+00,1.8E+01,
"NITROTOLUENE, 2-",7.9E-02,Drinking Water Toxicity,5.0E+04,7.9E-02,7.1E+01,
"NITROTOLUENE, 3-",2.0E+00,Drinking Water Toxicity,5.0E+04,2.0E+00,4.2E+01,
"NITROTOLUENE, 4-",4.9E+00,Drinking Water Toxicity,5.0E+04,4.9E+00,4.6E+01,
PENTACHLOROPHENOL,1.0E+00,Drinking Water Toxicity,3.0E+01,1.0E+00,1.3E+01,3.0E+00
PENTAERYTHRITOLTETRANITRATE (PETN),1.9E+01,Drinking Water Toxicity,2.2E+04,1.9E+01,8.5E+05,
PERCHLORATE,1.5E+01,Drinking Water Toxicity,5.0E+04,1.5E+01,6.0E+02,
PHENANTHRENE,2.3E+00,Aquatic Habitat Chronic Toxicity,4.1E+02,2.4E+02,2.3E+00,
PHENOL,1.6E+02,Aquatic Habitat Chronic Toxicity,7.9E+03,6.0E+03,1.6E+02,1.7E+06
POLYCHLORINATED BIPHENYLS (PCBs),7.9E-05,Bioaccumulation/Human Consumption,2.2E+01,5.0E-01,1.4E-02,7.9E-05
PROPICONAZOLE,9.5E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,2.6E+02,9.5E+01,
PYRENE,4.6E+00,Aquatic Habitat Chronic Toxicity,6.8E+01,1.8E+02,4.6E+00,4.0E+03
SELENIUM,5.0E+00,Aquatic Habitat Chronic Toxicity,5.0E+04,5.0E+01,5.0E+00,
SILVER,1.0E+00,Aquatic Habitat Chronic Toxicity,1.0E+02,1.0E+02,1.0E+00,
SIMAZINE,4.0E+00,Drinking Water Toxicity,3.1E+03,4.0E+00,9.0E+00,
STYRENE,1.0E+01,Ceiling Value,1.0E+01,1.0E+02,3.2E+01,
TERBACIL,2.6E+02,Drinking Water Toxicity,5.0E+04,2.6E+02,1.2E+03,
tert-BUTYL ALCOHOL,5.8E+00,Drinking Water Toxicity,5.0E+04,5.8E+00,1.8E+04,
"TETRACHLOROETHANE, 1,1,1,2-",6.1E-01,Drinking Water Toxicity,5.0E+04,6.1E-01,8.5E+01,
"TETRACHLOROETHANE, 1,1,2,2-",7.8E-02,Drinking Water Toxicity,5.0E+02,7.8E-02,2.0E+02,3.5E+00
TETRACHLOROETHYLENE,2.9E+00,Bioaccumulation/Human Consumption,1.7E+02,5.0E+00,5.3E+01,2.9E+00
"TETRACHLOROPHENOL, 2,3,4,6-",1.2E+00,Aquatic Habitat Chronic Toxicity,1.2E+04,6.0E+02,1.2E+00,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",2.2E+02,Aquatic Habitat Chronic Toxicity,2.5E+03,1.0E+03,2.2E+02,
THALLIUM,2.0E+00,Drinking Water Toxicity,5.0E+04,2.0E+00,6.0E+00,1.6E+01
TOLUENE,4.0E+01,Ceiling Value,4.0E+01,1.0E+03,6.2E+01,1.4E+05
TOXAPHENE,2.0E-04,Aquatic Habitat Chronic Toxicity,1.4E+02,3.0E+00,2.0E-04,2.4E-04
TPH (gasolines),1.0E+02,Ceiling Value,1.0E+02,3.0E+02,5.0E+02,
TPH (middle distillates),1.0E+02,Ceiling Value,1.0E+02,1.6E+02,6.4E+02,
TPH (residual fuels),1.0E+02,Ceiling Value,1.0E+02,2.4E+03,6.4E+02,
"TRICHLOROBENZENE, 1,2,4-",7.0E+01,Drinking Water Toxicity,3.0E+03,7.0E+01,1.3E+02,
"TRICHLOROETHANE, 1,1,1-",7.6E+01,Aquatic Habitat Chronic Toxicity,9.7E+02,2.0E+02,7.6E+01,3.4E+05
"TRICHLOROETHANE, 1,1,2-",5.0E+00,Drinking Water Toxicity,5.0E+04,5.0E+00,7.3E+02,1.4E+01
TRICHLOROETHYLENE,5.0E+00,Drinking Water Toxicity,3.1E+02,5.0E+00,2.0E+02,2.6E+01
"TRICHLOROPHENOL, 2,4,5-",1.9E+00,Aquatic Habitat Chronic Toxicity,2.0E+02,2.0E+03,1.9E+00,3.6E+03
"TRICHLOROPHENOL, 2,4,6-",1.2E+00,Bioaccumulation/Human Consumption,1.0E+02,7.1E+00,4.9E+00,1.2E+00
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",2.0E+02,Drinking Water Toxicity,5.0E+04,2.0E+02,6.9E+02,-
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",3.0E+01,Aquatic Habitat Chronic Toxicity,3.6E+04,5.0E+01,3.0E+01,
"TRICHLOROPROPANE, 1,2,3-",6.0E-01,Drinking Water Toxicity,5.0E+04,6.0E-01,1.4E+01,
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,Drinking Water Toxicity,5.0E+04,6.2E-01,6.2E-01,
TRIFLURALIN,1.1E+00,Aquatic Habitat Chronic Toxicity,9.0E+01,1.0E+01,1.1E+00,
"TRINITROBENZENE, 1,3,5-",1.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,6.0E+02,1.1E+01,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,Drinking Water Toxicity,3.7E+04,4.0E+01,4.0E+01,
"TRINITROTOLUENE, 2,4,6- (TNT)",2.6E+00,Drinking Water Toxicity,5.0E+04,2.6E+00,1.3E+01,
VANADIUM,2.7E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.0E+02,2.7E+01,
VINYL CHLORIDE,2.0E+00,Drinking Water Toxicity,3.4E+03,2.0E+00,9.3E+02,1.7E+02
XYLENES,2.0E+01,Ceiling Value,2.0E+01,1.0E+04,2.7E+01,
ZINC,2.2E+01,Aquatic Habitat Chronic Toxicity,5.0E+03,6.0E+03,2.2E+01,
Notes:,,,,,,
"1.  Lowest of gross contamination, drinking water toxicity, aquatic habitat and bioaccumulation action levels.",,,,,,
,,,,,,
TPH -Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,,
"Gross Contamination: Odor threshold, 1/2 solubility or 50000 ug/L maximum, whichever is lower. Intended to limit nuisances and general resource degradation.",,,,,,
"Review of aquatic ecotoxicity data for ethanol underway.  Based on preliminary review of available data, chronic toxicity screening levels likely to be",,,,,,
"significantly greater than ceiling level of 50,000 ug/L (refer to USEPA 2003b, ECOTOX database).",,,,,,
Method reporting limits and background concentrations replace final screening level as appropriate.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
