"TABLE C-3. INDOOR AIR ACTION LEVELS
(volatile chemicals only)",,,,,,,,,,,,,,
HEXACHLOROBUTADIENE,SV,S,2.2E-05,,1.3E-01,1.3E-01,,5.6E-01,5.6E-01,,1.20E+04,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,NV,S,,,,,,,,,-,,,
HEXACHLOROETHANE,SV,S,1.1E-05,3.0E+01,2.6E-01,2.6E-01,6.3E+00,1.1E+00,1.1E+00,2.6E+01,-,,,
HEXAZINONE,NV,S,,,,,,,,,-,,,
"INDENO(1,2,3-cd)PYRENE",NV,S,,,,,,,,,-,,,
ISOPHORONE,NV,L,,,,,,,,,-,,,
LEAD,NV,S,,,,,,,,,-,,,
MERCURY,NV,S,,,,,,,,,-,,,
METHOXYCHLOR,NV,S,,,,,,,,,-,,,
METHYL ETHYL KETONE,V,L,,5.0E+03,1.0E+03,,1.0E+03,4.4E+03,,4.4E+03,3.20E+04,,,
METHYL ISOBUTYL KETONE,V,L,,3.0E+03,6.3E+02,,6.3E+02,2.6E+03,,2.6E+03,4.20E+02,,,
METHYL MERCURY,NV,S,,,,,,,,,-,,,
METHYL TERT BUTYL ETHER,V,L,2.6E-07,3.0E+03,1.1E+01,1.1E+01,6.3E+02,4.7E+01,4.7E+01,2.6E+03,5.30E+02,,,
METHYLENE CHLORIDE,V,L,1.0E-08,6.0E+02,1.0E+02,1.0E+02,1.3E+02,5.3E+02,1.2E+03,5.3E+02,5.60E+05,,,
"METHYLNAPHTHALENE, 1-",V,S,7.3E-06,2.8E+02,3.9E+00,3.9E+00,5.8E+01,1.7E+01,1.7E+01,2.5E+02,6.80E+01,,,
"METHYLNAPHTHALENE, 2-",V,S,,1.6E+01,3.3E+00,,3.3E+00,1.4E+01,,1.4E+01,6.80E+01,,,
MOLYBDENUM,NV,S,,,,,,,,,-,,,
NAPHTHALENE,V,S,3.4E-05,3.0E+00,6.3E-01,8.3E-01,6.3E-01,2.6E+00,3.6E+00,2.6E+00,4.40E+02,,,
NICKEL,NV,S,,,,,,,,,-,,,
NITROBENZENE,V,L,4.0E-05,9.0E+00,7.0E-02,7.0E-02,1.9E+00,3.1E-01,3.1E-01,7.9E+00,-,,,
NITROGLYCERIN,NV,L,,,,,,,,,-,,,
"NITROTOLUENE, 2-",V,S,5.5E-05,3.6E+00,5.1E-02,5.1E-02,7.5E-01,2.2E-01,2.2E-01,3.2E+00,-,,,
"NITROTOLUENE, 3-",NV,S,,,,,,,,,-,,,
"NITROTOLUENE, 4-",NV,S,,,,,,,,,-,,,
PENTACHLOROPHENOL,NV,S,,,,,,,,,-,,,
PENTAERYTHRITOLTETRANITRATE (PETN),NV,S,,,,,,,,,-,,,
PERCHLORATE,NV,S,,,,,,,,,-,,,
PHENANTHRENE,V,S,,1.6E+02,3.3E+01,,3.3E+01,1.4E+02,,1.4E+02,5.50E+01,,,
PHENOL,NV,S,,,,,,,,,1.56E+02,,,
POLYCHLORINATED BIPHENYLS (PCBs),SV,S,5.7E-04,,4.9E-02,4.9E-02,,2.2E-01,2.2E-01,,-,,,
PROPICONAZOLE,NV,L,,,,,,,,,-,,,
PYRENE,V,S,,1.2E+02,2.5E+01,,2.5E+01,1.1E+02,,1.1E+02,-,,,
SELENIUM,NV,S,,,,,,,,,-,,,
SILVER,NV,S,,,,,,,,,-,,,
SIMAZINE,NV,S,,,,,,,,,-,,,
STYRENE,V,L,,1.0E+03,2.1E+02,,2.1E+02,8.8E+02,,8.8E+02,1.36E+03,,,
TERBACIL,NV,S,,,,,,,,,-,,,
tert-BUTYL ALCOHOL,V,L,7.5E-07,,3.7E+00,3.7E+00,,1.6E+01,1.6E+01,,-,,,
"TETRACHLOROETHANE, 1,1,1,2-",V,L,7.4E-06,1.2E+02,3.8E-01,3.8E-01,2.5E+01,1.7E+00,1.7E+00,1.1E+02,-,,,
"TETRACHLOROETHANE, 1,1,2,2-",V,L,5.8E-05,,4.8E-02,4.8E-02,,2.1E-01,2.1E-01,,1.05E+04,,,
TETRACHLOROETHYLENE,V,L,6.1E-06,4.0E+01,4.6E-01,4.6E-01,8.3E+00,2.0E+00,2.0E+00,3.5E+01,3.17E+04,,,
"TETRACHLOROPHENOL, 2,3,4,6-",NV,S,,,,,,,,,-,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",NV,S,,,,,,,,,-,,,
THALLIUM,NV,S,,,,,,,,,-,,,
TOLUENE,V,L,,5.0E+03,1.0E+03,,1.0E+03,4.4E+03,,4.4E+03,3.00E+04,,,
TOXAPHENE,NV,S,,,,,,,,,-,,,
TPH (gasolines),V,L,,2.8E+02,2.9E+02,,2.9E+02,1.2E+03,,1.2E+03,1.10E+03,,,
TPH (middle distillates),V,L,,1.3E+02,1.3E+02,,1.3E+02,5.5E+02,,5.5E+02,5.00E+03,,,
TPH (residual fuels),NV,L,,,,,,,,,-,,,
"TRICHLOROBENZENE, 1,2,4-",V,S,7.3E-06,2.0E+00,3.9E-01,3.9E-01,4.2E-01,1.7E+00,1.7E+00,1.8E+00,2.20E+04,,,
"TRICHLOROETHANE, 1,1,1-",V,L,,5.0E+03,1.0E+03,,1.0E+03,4.4E+03,,4.4E+03,6.51E+04,,,
"TRICHLOROETHANE, 1,1,2-",V,L,1.6E-05,2.0E-01,4.2E-02,1.8E-01,4.2E-02,1.8E-01,7.7E-01,1.8E-01,-,,,
TRICHLOROETHYLENE,V,L,4.1E-06,2.0E+00,4.2E-01,4.8E-01,4.2E-01,1.8E+00,3.0E+00,1.8E+00,1.36E+06,,,
"TRICHLOROPHENOL, 2,4,5-",NV,S,,,,,,,,,-,,,
"TRICHLOROPHENOL, 2,4,6-",NV,S,,,,,,,,,3.00E-01,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",NV,S,,,,,,,,,-,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",NV,S,,,,,,,,,-,,,
"TRICHLOROPROPANE, 1,2,3-",V,L,7.5E-03,3.0E-01,1.4E-04,1.4E-04,6.3E-02,1.6E-03,1.6E-03,2.6E-01,-,,,
"TRICHLOROPROPENE, 1,2,3-",V,L,,3.0E-01,6.3E-02,,6.3E-02,2.6E-01,,2.6E-01,-,,,
TRIFLURALIN,SV,S,,,,,,,,,-,,,
"TRINITROBENZENE, 1,3,5-",NV,S,,,,,,,,,-,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",NV,S,,,,,,,,,-,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",NV,S,,,,,,,,,-,,,
VANADIUM,NV,S,,,,,,,,,-,,,
VINYL CHLORIDE,V,G,4.4E-06,1.0E+02,1.7E-01,1.7E-01,2.1E+01,2.8E+00,2.8E+00,8.8E+01,7.71E+05,,,
XYLENES,V,L,,1.0E+02,2.1E+01,,2.1E+01,8.8E+01,,8.8E+01,4.41E+02,,,
ZINC,NV,S,,,,,,,,,-,,,
Notes:,,,,,,,,,,,,,,
"1. Based on unrestricted current or future land use.  Considered adequate for residential housing, schools, medical facilities, day-care centers and other sensitive uses.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Target cancer risk = 1E-06, Target Hazard Quotient = 0.2 for all chemicals except as noted.",,,,,,,,,,,,,,
Target Hazard Quotient = 1.0 for TPH (see Appendix 1 and Appendix 9 Fall 2011 EAL update memo).,,,,,,,,,,,,,,
"Physical state of chemical at ambient conditions (V - volatile, NV - nonvolatile, S - solid, L - liquid, G - gas).",,,,,,,,,,,,,,
"Chemical considered to be ""volatile"" if Henry's number (atm m3/mole) >0.00001 and molecular weight <200.",,,,,,,,,,,,,,
"Dibromochloromethane, dibromochloropropane and pyrene considered volatile for purposes of modeling (USEPA 2004, 2011).",,,,,,,,,,,,,,
"Action levels calculated using spreadhseet provided with User's Guide for the USEPA vapor intrusion guidance (USEPA 2004, refer to Appendix 2 for equations and default input parameter values).",,,,,,,,,,,,,,
Indoor air action levels listed only for volatile chemicals included in database of referenced model spreadsheet (plus MTBE).,,,,,,,,,,,,,,
"RfC and indoor air action levels for TPHgasolines based on RfC for TPHmiddle distillates due to potential for mixture of fuel types at release sites (see Table H and Appendix 6).  Action levels may exceed ambient, background TPH in indoor and outdoor air from petroleum-based cleaners, auto exhaust, etc.",,,,,,,,,,,,,,
Indoor air action level for ethanol based on potential odor concerns (refer to Chapter 4 and Table F series).  Human health risk toxicity data not available but likely to exceed odor thresholds.,,,,,,,,,,,,,,
"50% Odor Recognition Thresholds from Massachusetts Department of Environmental Protection (MADEP, 1994) and ATSDR; included for reference (potential nuisance concerns, see Table F series).",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
