TABLE D-3a. FINAL DRINKING WATER ACTION LEVELS FOR HUMAN TOXICITY.,,,,,,,,,,,,,
(ug/L),,,,,,,,,,,,,
,,,,,,,,,,,,,
CHEMICAL PARAMETER,"Final
Action
Level",Basis,"HDOH
Primary MCL","Other 
Criteria",Reference,"Risk-Based Action Level
(Table D-3b)",Basis,,,,,,
CHROMIUM (Total),1.0E+02,HDOH Primary MCL,1.0E+02,,,,not applicable,,,,,,
CHROMIUM III,3.0E+04,noncarcinogenic effects,,,,3.0E+04,noncarcinogenic effects,,,,,,
CHROMIUM VI,4.3E+00,mutagenic effects,,,,4.3E+00,mutagenic effects,,,,,,
CHRYSENE,2.9E+00,mutagenic effects,,,,2.9E+00,mutagenic effects,,,,,,
COBALT,6.0E+00,noncarcinogenic effects,,,,6.0E+00,noncarcinogenic effects,,,,,,
COPPER,1.3E+03,HDOH Primary MCL,1.3E+03,,,8.0E+02,noncarcinogenic effects,,,,,,
CYANIDE (Free),2.0E+02,HDOH Primary MCL,2.0E+02,,,1.5E+00,noncarcinogenic effects,,,,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.1E-01,carcinogenic effects,,,,7.1E-01,carcinogenic effects,,,,,,
DALAPON,2.0E+02,HDOH Primary MCL,2.0E+02,,,6.0E+02,noncarcinogenic effects,,,,,,
"DIBENZO(a,h)ANTHTRACENE",2.9E-03,mutagenic effects,,,,2.9E-03,mutagenic effects,,,,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",4.0E-02,HDOH Primary MCL,4.0E-02,,,3.3E-04,mutagenic effects,,,,,,
DIBROMOCHLOROMETHANE,2.1E-01,carcinogenic effects,,,,2.1E-01,carcinogenic effects,,,,,,
"DIBROMOETHANE, 1,2-",4.0E-02,HDOH Primary MCL,4.0E-02,,,7.5E-03,carcinogenic effects,,,,,,
"DICHLOROBENZENE, 1,2-",6.0E+02,HDOH Primary MCL,6.0E+02,,,3.4E+02,noncarcinogenic effects,,,,,,
"DICHLOROBENZENE, 1,3-",1.8E+02,noncarcinogenic effects,,,,1.8E+02,noncarcinogenic effects,,,,,,
"DICHLOROBENZENE, 1,4-",7.5E+01,HDOH Primary MCL,7.5E+01,,,4.9E-01,carcinogenic effects,,,,,,
"DICHLOROBENZIDINE, 3,3-",1.7E-01,carcinogenic effects,,,,1.7E-01,carcinogenic effects,,,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),3.2E-01,carcinogenic effects,,,,3.2E-01,carcinogenic effects,,,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),4.6E-02,carcinogenic effects,,,,4.6E-02,carcinogenic effects,,,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),2.3E-01,carcinogenic effects,,,,2.3E-01,carcinogenic effects,,,,,,
"DICHLOROETHANE, 1,1-",2.8E+00,carcinogenic effects,,,,2.8E+00,carcinogenic effects,,,,,,
"DICHLOROETHANE, 1,2-",5.0E+00,USEPA MCL,,5.0E+00,USEPA MCL,1.7E-01,carcinogenic effects,,,,,,
"DICHLOROETHYLENE, 1,1-",7.0E+00,HDOH Primary MCL,7.0E+00,,,2.9E+02,noncarcinogenic effects,,,,,,
"DICHLOROETHYLENE, Cis 1,2-",7.0E+01,HDOH Primary MCL,7.0E+01,,,1.2E+01,noncarcinogenic effects,,,,,,
"DICHLOROETHYLENE, Trans 1,2-",1.0E+02,HDOH Primary MCL,1.0E+02,,,1.2E+02,noncarcinogenic effects,,,,,,
"DICHLOROPHENOL, 2,4-",6.0E+01,noncarcinogenic effects,,,,6.0E+01,noncarcinogenic effects,,,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",7.0E+01,HDOH Primary MCL,7.0E+01,,,2.0E+02,noncarcinogenic effects,,,,,,
"DICHLOROPROPANE, 1,2-",5.0E+00,HDOH Primary MCL,5.0E+00,,,4.5E-01,carcinogenic effects,,,,,,
"DICHLOROPROPENE, 1,3-",5.0E-01,carcinogenic effects,,,,5.0E-01,carcinogenic effects,,,,,,
DIELDRIN,1.1E-02,carcinogenic effects,,,,1.1E-02,carcinogenic effects,,,,,,
DIETHYLPHTHALATE,1.6E+04,noncarcinogenic effects,,,,1.6E+04,noncarcinogenic effects,,,,,,
"DIMETHYLPHENOL, 2,4-",4.0E+02,noncarcinogenic effects,,,,4.0E+02,noncarcinogenic effects,,,,,,
DIMETHYLPHTHALATE,2.0E+05,noncarcinogenic effects,,,,2.0E+05,noncarcinogenic effects,,,,,,
"DINITROBENZENE, 1,3-",2.0E+00,noncarcinogenic effects,,,,2.0E+00,noncarcinogenic effects,,,,,,
"DINITROPHENOL, 2,4-",4.0E+01,noncarcinogenic effects,,,,4.0E+01,noncarcinogenic effects,,,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",2.5E-01,carcinogenic effects,,,,2.5E-01,carcinogenic effects,,,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",5.2E-02,carcinogenic effects,,,,5.2E-02,carcinogenic effects,,,,,,
"DIOXANE, 1,4-",4.6E-01,carcinogenic effects,,,,4.6E-01,carcinogenic effects,,,,,,
DIOXINS (TEQ),3.0E-05,HDOH Primary MCL,3.0E-05,,,1.2E-07,carcinogenic effects,,,,,,
DIURON,4.0E+01,noncarcinogenic effects,,,,4.0E+01,noncarcinogenic effects,,,,,,
ENDOSULFAN,1.2E+02,noncarcinogenic effects,,,,1.2E+02,noncarcinogenic effects,,,,,,
ENDRIN,2.0E+00,HDOH Primary MCL,2.0E+00,,,6.0E+00,noncarcinogenic effects,,,,,,
ETHANOL,,not available,,,,,,,,,,,
ETHYLBENZENE,7.0E+02,HDOH Primary MCL,7.0E+02,,,1.7E+00,carcinogenic effects,,,,,,
FLUORANTHENE,8.0E+02,noncarcinogenic effects,,,,8.0E+02,noncarcinogenic effects,,,,,,
FLUORENE,2.4E+02,noncarcinogenic effects,,,,2.4E+02,noncarcinogenic effects,,,,,,
GLYPHOSATE,7.0E+02,HDOH Primary MCL,7.0E+02,,,2.0E+03,noncarcinogenic effects,,,,,,
HEPTACHLOR,4.0E-01,HDOH Primary MCL,4.0E-01,,,3.5E-03,carcinogenic effects,,,,,,
HEPTACHLOR EPOXIDE,2.0E-01,HDOH Primary MCL,2.0E-01,,,1.7E-03,carcinogenic effects,,,,,,
HEXACHLOROBENZENE,1.0E+00,HDOH Primary MCL,1.0E+00,,,9.8E-03,carcinogenic effects,,,,,,
HEXACHLOROBUTADIENE,2.0E-01,carcinogenic effects,,,,2.0E-01,carcinogenic effects,,,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,2.0E-01,HDOH Primary MCL,2.0E-01,,,7.1E-02,carcinogenic effects,,,,,,
HEXACHLOROETHANE,4.0E-01,carcinogenic effects,,,,4.0E-01,carcinogenic effects,,,,,,
HEXAZINONE,6.6E+02,noncarcinogenic effects,,,,6.6E+02,noncarcinogenic effects,,,,,,
"INDENO(1,2,3-cd)PYRENE",2.9E-02,mutagenic effects,,,,2.9E-02,mutagenic effects,,,,,,
ISOPHORONE,8.2E+01,carcinogenic effects,,,,8.2E+01,carcinogenic effects,,,,,,
LEAD,1.5E+01,HDOH Primary MCL,1.5E+01,,,,,,,,,,
MERCURY,2.0E+00,HDOH Primary MCL,2.0E+00,,,6.0E+00,noncarcinogenic effects,,,,,,
METHOXYCHLOR,4.0E+01,HDOH Primary MCL,4.0E+01,,,1.0E+02,noncarcinogenic effects,,,,,,
METHYL ETHYL KETONE,5.6E+03,noncarcinogenic effects,,,,5.6E+03,noncarcinogenic effects,,,,,,
METHYL ISOBUTYL KETONE,6.3E+03,noncarcinogenic effects,,,,6.3E+03,noncarcinogenic effects,,,,,,
METHYL MERCURY,2.0E+00,noncarcinogenic effects,,,,2.0E+00,noncarcinogenic effects,,,,,,
METHYL TERT BUTYL ETHER,1.4E+01,carcinogenic effects,,,,1.4E+01,carcinogenic effects,,,,,,
METHYLENE CHLORIDE,5.0E+00,USEPA MCL,,5.0E+00,USEPA MCL,1.0E+01,mutagenic effects,,,,,,
"METHYLNAPHTHALENE, 1-",6.0E+00,carcinogenic effects,,,,6.0E+00,carcinogenic effects,,,,,,
"METHYLNAPHTHALENE, 2-",2.4E+01,noncarcinogenic effects,,,,2.4E+01,noncarcinogenic effects,,,,,,
MOLYBDENUM,1.0E+02,noncarcinogenic effects,,,,1.0E+02,noncarcinogenic effects,,,,,,
NAPHTHALENE,1.7E+01,CDPH notification level,,1.7E+01,CDPH notification level,1.7E-01,carcinogenic effects,,,,,,
NICKEL,4.0E+02,noncarcinogenic effects,,,,4.0E+02,noncarcinogenic effects,,,,,,
NITROBENZENE,1.4E-01,carcinogenic effects,,,,1.4E-01,carcinogenic effects,,,,,,
NITROGLYCERIN,2.0E+00,noncarcinogenic effects,,,,2.0E+00,noncarcinogenic effects,,,,,,
"NITROTOLUENE, 2-",7.9E-02,carcinogenic effects,,,,7.9E-02,carcinogenic effects,,,,,,
"NITROTOLUENE, 3-",2.0E+00,noncarcinogenic effects,,,,2.0E+00,noncarcinogenic effects,,,,,,
"NITROTOLUENE, 4-",4.9E+00,carcinogenic effects,,,,4.9E+00,carcinogenic effects,,,,,,
PENTACHLOROPHENOL,1.0E+00,HDOH Primary MCL,1.0E+00,,,1.9E-01,carcinogenic effects,,,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),1.9E+01,carcinogenic effects,,,,1.9E+01,carcinogenic effects,,,,,,
PERCHLORATE,1.5E+01,USEPA MCL,,1.5E+01,USEPA MCL,1.4E+01,noncarcinogenic effects,,,,,,
PHENANTHRENE,2.4E+02,noncarcinogenic effects,,,,2.4E+02,noncarcinogenic effects,,,,,,
PHENOL,6.0E+03,noncarcinogenic effects,,,,6.0E+03,noncarcinogenic effects,,,,,,
POLYCHLORINATED BIPHENYLS (PCBs),5.0E-01,HDOH Primary MCL,5.0E-01,,,7.9E-03,carcinogenic effects,,,,,,
PROPICONAZOLE,2.6E+02,noncarcinogenic effects,,,,2.6E+02,noncarcinogenic effects,,,,,,
PYRENE,1.8E+02,noncarcinogenic effects,,,,1.8E+02,noncarcinogenic effects,,,,,,
SELENIUM,5.0E+01,HDOH Primary MCL,5.0E+01,,,1.0E+02,noncarcinogenic effects,,,,,,
SILVER,1.0E+02,noncarcinogenic effects,,,,1.0E+02,noncarcinogenic effects,,,,,,
SIMAZINE,4.0E+00,HDOH Primary MCL,4.0E+00,,,6.5E-01,carcinogenic effects,,,,,,
STYRENE,1.0E+02,HDOH Primary MCL,1.0E+02,,,1.4E+03,noncarcinogenic effects,,,,,,
TERBACIL,2.6E+02,noncarcinogenic effects,,,,2.6E+02,noncarcinogenic effects,,,,,,
tert-BUTYL ALCOHOL,5.8E+00,carcinogenic effects,,,,5.8E+00,carcinogenic effects,,,,,,
"TETRACHLOROETHANE, 1,1,1,2-",6.1E-01,carcinogenic effects,,,,6.1E-01,carcinogenic effects,,,,,,
"TETRACHLOROETHANE, 1,1,2,2-",7.8E-02,carcinogenic effects,,,,7.8E-02,carcinogenic effects,,,,,,
TETRACHLOROETHYLENE,5.0E+00,HDOH Primary MCL,5.0E+00,,,7.4E-01,carcinogenic effects,,,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",6.0E+02,noncarcinogenic effects,,,,6.0E+02,noncarcinogenic effects,,,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",1.0E+03,noncarcinogenic effects,,,,1.0E+03,noncarcinogenic effects,,,,,,
THALLIUM,2.0E+00,HDOH Primary MCL,2.0E+00,,,2.0E-01,noncarcinogenic effects,,,,,,
TOLUENE,1.0E+03,HDOH Primary MCL,1.0E+03,,,1.4E+03,noncarcinogenic effects,,,,,,
TOXAPHENE,3.0E+00,HDOH Primary MCL,3.0E+00,,,7.1E-02,carcinogenic effects,,,,,,
TPH (gasolines),3.0E+02,noncarcinogenic effects,,,,3.0E+02,noncarcinogenic effects,,,,,,
TPH (middle distillates),1.6E+02,noncarcinogenic effects,,,,1.6E+02,noncarcinogenic effects,,,,,,
TPH (residual fuels),2.4E+03,noncarcinogenic effects,,,,2.4E+03,noncarcinogenic effects,,,,,,
"TRICHLOROBENZENE, 1,2,4-",7.0E+01,HDOH Primary MCL,7.0E+01,,,6.0E-01,carcinogenic effects,,,,,,
"TRICHLOROETHANE, 1,1,1-",2.0E+02,HDOH Primary MCL,2.0E+02,,,8.3E+03,noncarcinogenic effects,,,,,,
"TRICHLOROETHANE, 1,1,2-",5.0E+00,HDOH Primary MCL,5.0E+00,,,2.8E-01,carcinogenic effects,,,,,,
TRICHLOROETHYLENE,5.0E+00,HDOH Primary MCL,5.0E+00,,,2.4E-01,mutagenic effects,,,,,,
"TRICHLOROPHENOL, 2,4,5-",2.0E+03,noncarcinogenic effects,,,,2.0E+03,noncarcinogenic effects,,,,,,
"TRICHLOROPHENOL, 2,4,6-",7.1E+00,carcinogenic effects,,,,7.1E+00,carcinogenic effects,,,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",2.0E+02,noncarcinogenic effects,,,,2.0E+02,noncarcinogenic effects,,,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",5.0E+01,HDOH Primary MCL,5.0E+01,,,1.6E+02,noncarcinogenic effects,,,,,,
"TRICHLOROPROPANE, 1,2,3-",6.0E-01,HDOH Primary MCL,6.0E-01,,,2.0E-04,mutagenic effects,,,,,,
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,noncarcinogenic effects,,,,6.2E-01,noncarcinogenic effects,,,,,,
TRIFLURALIN,1.0E+01,carcinogenic effects,,,,1.0E+01,carcinogenic effects,,,,,,
"TRINITROBENZENE, 1,3,5-",6.0E+02,noncarcinogenic effects,,,,6.0E+02,noncarcinogenic effects,,,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,noncarcinogenic effects,,,,4.0E+01,noncarcinogenic effects,,,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",2.6E+00,carcinogenic effects,,,,2.6E+00,carcinogenic effects,,,,,,
VANADIUM,1.0E+02,noncarcinogenic effects,,,,1.0E+02,noncarcinogenic effects,,,,,,
VINYL CHLORIDE,2.0E+00,HDOH Primary MCL,2.0E+00,,,2.0E-02,carcinogenic effects,,,,,,
XYLENES,1.0E+04,HDOH Primary MCL,1.0E+04,,,2.0E+02,noncarcinogenic effects,,,,,,
ZINC,6.0E+03,noncarcinogenic effects,,,,6.0E+03,noncarcinogenic effects,,,,,,
Source (unless otherwise noted):,,,,,,,,,,,,,
Hawai'I Department of Health Primary Maximum Concentration Level. (HDOH 2009).,,,,,,,,,,,,,
"CDPH: California Department of Public Health, Drinking Water Notification Level (December 2007), http://ww2.cdph.ca.gov/certlic/drinkingwater/Pages/NotificationLevels.aspx",,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
Used for development of groundwater and soil screening levels.,,,,,,,,,,,,,
"Final health-based screening level for drinking water: HDOH Primary MCLs or, in order of preference and availability, USEPA Primary MCL and risk-based Tapwater Goal (Table D-3b)",,,,,,,,,,,,,
TPH -Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,,,,,,,,,
,,,,,,,,,,,,,
