"TABLE J. TARGET ORGANS AND CHRONIC HEALTH EFFECTS
(For general reference only.  May not be adequately comprehensive for some chemicals.
Some noted effects may be insignificant.  Refer to original documents for additional information.)",,,,,,,,,,,,,,,,
"DICHLOROETHYLENE, 1,1-",C/D,,"1,2,3,4,5",,,,,,,2,3,,3,,,
"DICHLOROETHYLENE, Cis 1,2-",D,,3,,,,,"3,4,6",,,,,,,,
"DICHLOROETHYLENE, Trans 1,2-",D,,3,,,,,"4,5",,,,,3,,,
"DICHLOROPHENOL, 2,4-",E,,,,,,,,4,,,,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",D,,"5,7",,,7,,5,,"5,7",,,,,,
"DICHLOROPROPANE, 1,2-",B2,,2,,,,,2,,,,,4,,,
"DICHLOROPROPENE, 1,3-",B2,,5,,,,,,,,,,3,,,
DIELDRIN,B2,,5,,,,,,,,2,,,,,
DIETHYLPHTHALATE,D,,,,5,,,,,,,3,,,,
"DIMETHYLPHENOL, 2,4-",?,,,,,,,"4,5",,,"4,5",,,,,
DIMETHYLPHTHALATE,D,,,,,,,,,,,,,,Information not available,
"DINITROBENZENE, 1,3-",D,,2,,2,,2,2,5,,2,2,,,,
"DINITROPHENOL, 2,4-",?,,,,,,"2,5",,,,2,,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",D,,"5,6",3,,,,"2,3,5,6",,,"3,5,6","4,6",,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",D,,6,3,2,,,"2,3,6",,,3,"2,6",,,,
"DIOXANE, 1,4-",B2,,1,1,,,,,,1,,,,,,
"DIOXIN (2,3,7,8-TCDD)",B1?,,"1,3",,"1,3","1,3",,1,3,,,"1,3","1,3",3,No chronic toxicity factors.,
DIURON,D,,,,,,,5,,,,,,,,
ENDOSULFAN,?,,3,,"3,5",,,5,3,"3,4,5","3,5",3,,,,
ENDRIN,D,,"4,5",,3,,,,,5,4,,,,,
ETHANOL,D,,,,,,,,,,,,,,,
ETHYLBENZENE,D,,"1,4,5",,"1,3,5",1,,,,"1,4,5",2,2,,2,,
FLUORANTHENE,D,,"4,5",,,,,"4,5",3,"4,5",,,,3,,
FLUORENE,D,,,,,,,"4,5",3,,,,,3,,
GLYPHOSATE,D,,,,,,,,,"5,7",,7,,,,
HEPTACHLOR,B2,,5,,,,,,,,6,,,,,
HEPTACHLOR EPOXIDE,B2,,5,,,,,,,,6,,,,,
HEXACHLOROBENZENE,B2,,"1,2,3,5",,,3,,3,3,3,"2,3",2,,,bones (3),
HEXACHLOROBUTADIENE,C,,3,,,,,,,3,,,,2,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,B2,,1,,,,,,,"1,2,5",,,,,,
HEXACHLOROETHANE,C,,"2,3",,,,,,,"2,3,5",,,,,,
HEXAZINONE,D,,,,5,,,,,,,,,,,
"INDENO(1,2,3-cd)PYRENE",B2,M,,,,,,,3,,,,,3,No chronic toxicity factors.,
ISOPHORONE,C,,1,,1,,,,,,,,,,,
LEAD,B2,,"2,6",6,"2,6",,,"2,6","2,6","2,6","2,6",6,,,,
MERCURY,D,,,,3,,,,1,"1,2","1,2,4,5",,,,,
METHOXYCHLOR,D,,2,,5,,,,,2,2,"2,4,5",,,,
METHYL ETHYL KETONE,D,,,,5,,,,,,,"1,2",,,,
METHYL ISOBUTYL KETONE,D,,,,,,,,,,6,,,,,
METHYL MERCURY,C,,,,5,,,,,,"1,5",,,,,
METHYL TERT BUTYL ETHER,?,,"1,5",,,,1,,,"1,5",,,,,,
METHYLENE CHLORIDE,B2,M,"2,5",1,,,,,,2,1,,,,,
"METHYLNAPHTHALENE, 1-",C,,,,,,,"4,5",3,,,,,3,= Fluorene,
"METHYLNAPHTHALENE, 2-",D,,,,,,,"4,5",3,,,,,3,= Fluorene,
MOLYBDENUM,D,,,,,,,5,,,,,,,,
NAPHTHALENE,C,,,,,,2,2,3,,,,"1,5",3,,
NICKEL,A/D,,"1,5",,,,,1,,5,,,"1,2",2,,
NITROBENZENE,D,,"1,2,3,4,5,6",,2,"4,5,6",,"2,3,4,5,6",,"4,5,6","1,6",,2,6,,
NITROGLYCERIN,?,,,,,,,,,,,,,,Information not available,
"NITROTOLUENE, 2-",?,,2,,,,,2,,,,2,,,,
"NITROTOLUENE, 3-",D,,,,,,,2,,,,,,,,
"NITROTOLUENE, 4-",?,,2,,,,,2,,,,2,,,,
PENTACHLOROPHENOL,B2,,"1,2,3,5",,"1,3",,,3,3,"2,5","2,3",1,"2,3",,,
PENTAERYTHRITOLTETRANITRATE (PETN),?,,,,,,,,,,,,,,Information not available,
PERCHLORATE,D,,,,,7,,2,,,,,,,,
PHENANTHRENE,D,,,,,,,"4,5",3,,,,,3,= Fluorene,
PHENOL,D,,"1,2",,"3,5",,,1,,"1,2",1,4,1,,,
POLYCHLORINATED BIPHENYLS (PCBs),B2,,"1,2,3",,"1,3",3,5,3,"1,3,5",,,"1,2,3",,3,,
PROPICONAZOLE,D,,5,,,,,,,,,,,,,
PYRENE,D,,,,,,,,3,"4,5",,,,,,
SELENIUM,D,,"1,2,5",1,,,,5,,,1,,"1,2","2,3,5","Selenosis (3,5)",
SILVER,D,,,,,,,,,,,,,"2,3,5",,
SIMAZINE,?,,,,"4,5",,,"5,7",,,,,,2,,
STYRENE,C,,"3,4,5",,,,,"4,5",,,"1,2,4,5",,2,2,,
TERBACIL,D,,5,,,5,,,,,,,,,,
tert-BUTYL ALCOHOL,?,,,,,,,,,,,,,,No chronic toxicity factors.,
"TETRACHLOROETHANE, 1,1,1,2-",C,,5,,,,,,,5,,,,,,
"TETRACHLOROETHANE, 1,1,2,2-",C,,"2,3",,,,,,,,"2,3",,,,,
TETRACHLOROETHYLENE,C,,"1,2,5",,,,,,,"1,2",,,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",D,,1,,1,,,,,,,1,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",D,,,,,,,,,,,,,,,
THALLIUM,D,,2,2,,,2,5,,,"2,3","2,3",,2,,
TOLUENE,D,,"4,5",,"1,3",,,,,"4,5","1,2,5",2,"1,5",,,
TOXAPHENE,B2,,3,,,3,,,3,3,,,,,,
TPH (gasolines),D,,8,,,,,8,,8,8,,,,Decreased body weight,
TPH (middle distillates),D,,8,,,,,8,,8,8,,,,Decreased body weight,
TPH (residual fuels),D,,8,,,,,8,,8,8,,,,Decreased body weight,
"TRICHLOROBENZENE, 1,2,4-",D,,,,,"4,5",,,,,,,,,,
"TRICHLOROETHANE, 1,1,1-",D,,"2,6",7,,,,,,,1,,,,,
"TRICHLOROETHANE, 1,1,2-",C,,5,,,,,6,7,,,,,2,,
TRICHLOROETHYLENE,B2,M,"2,3,6",,"3,6",,1,3,6,"2,3,6","1,2,3",,,,,
"TRICHLOROPHENOL, 2,4,5-",D,,"1,2,4,5",,1,,,,,"2,4,5",,1,,,,
"TRICHLOROPHENOL, 2,4,6-",B2,,2,,,,,,,,,,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",D,,,,2,,,,,5,,"2,5",,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",D,,"4,5,7",,,,,,,,,,,,,
"TRICHLOROPROPANE, 1,2,3-",A2,M,3,,,,,"3,5",,3,,,3,,,
"TRICHLOROPROPENE, 1,2,3-",D,,,,,,,,,,,,,,Information not available,
TRIFLURALIN,C,,5,,,,,5,,,,,,2,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",D,,2,,,,,2,,2,,,2,2,,
"TRINITROTOLUENE, 1,3,5-",?,,,,,,,,,,,,,,Information not available,
"TRINITROTOLUENE, 2,4,6- (TNT)",C,,"2,5,6",,,,"2,3","2,6",,,,6,,"2,3",,
VANADIUM,D,,3,,,,,,,3,,,"2,3",,,
VINYL CHLORIDE,A,M,"1,2,3,5",,"1,3",,,"2,3",3,,3,"1,3",,2,No chronic toxicity factors.,
XYLENES,D,,,,,,,,,,"1,2,3,4,5",,1,,,
ZINC,D,,,1,,3,,"1,3,4,5",,,,,1,,,
Notes:,,,,,,,,,,,,,,,,
a. Carcinogen type from RWQCBCV 2007; ORNL 2001 (see classification below). ,,,,,,,,,,,,,,,,
b. Chemicals classified as mutagenic (M) in USEPA Regional Screening Levels guidance (USEPA 2011).,,,,,,,,,,,,,,,,
"c. Includes gastro-intestinal tract, liver, spleen, gall bladder, etc.",,,,,,,,,,,,,,,,
d. Includes skin sensitization but not general dermatitis or defatting of skin.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Carcinogen Classification,,,,,,,,,,,,,,,,
A: Human carcinogen,,,,,,,,,,,,,,,,
B: Probable human carcinogen (B1: limited human evidence; B2 Sufficient evidence in animals and inadequate or no evidence in humans),,,,,,,,,,,,,,,,
C: Possible human carcinogen,,,,,,,,,,,,,,,,
D: Not classifiable as to human carcinogenicity,,,,,,,,,,,,,,,,
E: Evidence of noncarcinogenicity for humans,,,,,,,,,,,,,,,,
NA: Carcinogen classification information not available,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,
"1. CalEPA, 2005, Consolidated Table of Chronic Reference Exposure Levels: California Environmental Protection Agency, Office of Environmental Health Hazard Assessment/Air Resources Board, April 2005,",,,,,,,,,,,,,,,,
http://www.arb.ca.gov/toxics/healthval/healthval.htm,,,,,,,,,,,,,,,,
"2. CDC, 2007, International Chemical Safety Cards: International Programme on Chemical Safety: United Nations Environment Program, International Labour Office",,,,,,,,,,,,,,,,
"and World Health Organization (accessed December 2007); published through US Department of Health and Human Services, Centers for Disease Control and Prevention,",,,,,,,,,,,,,,,,
http://www.cdc.gov/niosh/ipcs/icstart.html,,,,,,,,,,,,,,,,
"3. ATSDR, 2007, ToxFAQs™: Agency for Toxic Substances and Disease Registry (accessed December 2007), http://www.atsdr.cdc.gov/toxfaq.html",,,,,,,,,,,,,,,,
"4. Illinois, 2001, Tiered Approach to Corrective Action Objectives (TACO): Illinois Environmental Protection Agency, Title 35, Subtitle G, Chapter I, Subchapter f, Part 742, Appendix A, Table E, Similar-Acting Noncarcinogenic Chemicals (accessed December 2007), http://www.ipcb.state.il.us/SLR/IPCBandIEPAEnvironmentalRegulations-Title35.asp",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"5. USEPA, 2007, IRIS: U.S. Environmental Protection Agency, IRIS Database (accessed December 2007); (Critical effect used for derivation of USEPA RfD as presented in IRIS database; may not be inclusive",,,,,,,,,,,,,,,,
"of all potentially significant health effects),  http://www.epa.gov/iris/subst/index.html",,,,,,,,,,,,,,,,
"6. ORNL, 2007, Risk Assessment Information System (RAIS), Toxicity Profiles: Oak Ridge National Laboratory/U.S. Department of Energy (accessed December 2007), RAGs A Format, especially Critical",,,,,,,,,,,,,,,,
"Effect used for derivation of RfDs, http://risk.lsd.ornl.gov/tox/rap_toxp.shtml",,,,,,,,,,,,,,,,
"7. USEPA National Primary Drinking Water Standards (March 2001): U.S. Environmental Protection Agency, Office of Water, EPA 816-F-01-007, http://www.epa.gov/safewater/consumer/pdf/mcl.pdf  (selectively used) ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"8. TPH whole product toxicity based review of TPH Working Group petroleum carbon fraction guidance (TPHWG 1998, Volume 4) and Massachusetts DEP VPH/EPH guidance (MADEP 2002a).",,,,,,,,,,,,,,,,
"For additional online references, see also: Hazardous Substances (On-line) Database: U.S. National Library of Medicine, Toxicology Data Network, http://toxnet.nlm.nih.gov.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
