,,"Target Cancer Risk
(Residential)","Target Cancer Risk
(C/I)","Target Cancer Risk
(Const. Workers)",,,,,,,
541-73-1,"DICHLOROBENZENE, 1,3-",,,,0.2,N,V,Y,617.00,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
106-46-7,"DICHLOROBENZENE, 1,4-",0.000001,0.000001,0.000001,0.2,N,V,Y,375.30,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
91-94-1,"DICHLOROBENZIDINE, 3,3-",0.000001,0.000001,0.00001,0.2,N,NV,Y,3190.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
72-54-8,DICHLORODIPHENYLDICHLOROETHANE (DDD),0.000001,0.000001,0.00001,0.2,N,NV,Y,117500.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
72-55-9,DICHLORODIPHENYLDICHLOROETHYLENE (DDE),0.000001,0.000001,0.00001,0.2,N,NV,Y,117500.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
50-29-3,DICHLORODIPHENYLTRICHLOROETHANE (DDT),0.000001,0.000001,0.00001,0.2,N,NV,Y,168600.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
75-34-3,"DICHLOROETHANE, 1,1-",0.000001,0.000001,0.000001,0.2,N,V,Y,31.82,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
107-06-2,"DICHLOROETHANE, 1,2-",0.000001,0.000001,0.000001,0.2,N,V,Y,39.60,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
75-35-4,"DICHLOROETHYLENE, 1,1-",,,,0.2,N,V,Y,31.82,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
156-59-2,"DICHLOROETHYLENE, Cis 1,2-",,,,0.2,N,V,Y,39.60,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
156-60-5,"DICHLOROETHYLENE, Trans 1,2-",,,,0.2,N,V,Y,39.60,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
120-83-2,"DICHLOROPHENOL, 2,4-",,,,0.2,N,NV,Y,147.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
94-75-7,"DICHLOROPHENOXYACETIC ACID (2,4-D)",,,,0.2,N,NV,Y,29.63,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
78-87-5,"DICHLOROPROPANE, 1,2-",0.000001,0.000001,0.000001,0.2,N,V,Y,60.70,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
542-75-6,"DICHLOROPROPENE, 1,3-",0.000001,0.000001,0.000001,0.2,N,V,Y,72.17,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
60-57-1,DIELDRIN,0.0001,0.0001,0.0001,0.5,N,NV,Y,20090.00,5,"Breakdown product of aldin, a termiticide.  Soil Direct Exposure action level based on noncancer HQ of 0.5.  Evaluate cumulative risk if contaminants other than dieldrin present. Run SPLP batch test if soil leaching action level exceeded."
84-66-2,DIETHYLPHTHALATE,,,,0.2,N,NV,Y,104.90,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
105-67-9,"DIMETHYLPHENOL, 2,4-",,,,0.2,N,V,Y,491.80,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
131-11-3,DIMETHYLPHTHALATE,,,,0.2,N,NV,Y,140.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
99-65-0,"DINITROBENZENE, 1,3-",,,,0.2,N,NV,Y,351.60,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
51-28-5,"DINITROPHENOL, 2,4-",,,,0.2,N,NV,Y,460.80,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
121-14-2,"DINITROTOLUENE, 2,4- (2,4-DNT)",0.000001,0.000001,0.00001,0.2,N,NV,Y,575.60,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
606-20-2,"DINITROTOLUENE, 2,6- (2,6-DNT)",0.000001,0.000001,0.00001,0.2,N,NV,Y,587.40,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
123-91-1,"DIOXANE, 1,4-",0.000001,0.000001,0.00001,0.2,N,NV,Y,2.60,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
1746-01-6,DIOXINS (TEQ),0.0001,0.0001,0.0001,1.0,N,NV,Y,249100.00,2,Naturally occurring at trace levels (assumed <20 ng/kg but may be higher).  Refer to June 2010 HEER technical memo for additional guidance on dioxin-contaminated soils (HDOH 2010).
330-54-1,DIURON,,,,0.2,N,NV,Y,109.10,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
115-29-7,ENDOSULFAN,,,,0.2,N,NV,Y,6761.00,5,Sum all forms of endosulfan for comparison to action levels.  Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
72-20-8,ENDRIN,,,,0.2,N,NV,Y,20090.00,5,Sum all forms of endrin for comparison to action levels.  Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
64-17-5,ETHANOL,,,,0.2,N,NV,N,0.31,4,"Toxicity factors for ethanol not developed. Assumed to primarily pose gross contamination hazards in soil and water (odors, taste, etc.).  Vapors in heavily contaminated soil could pose explosive hazards."
100-41-4,ETHYLBENZENE,0.00001,0.00001,0.000001,0.2,N,V,N,446.10,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
206-44-0,FLUORANTHENE,,,,0.2,N,NV,Y,55450.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
86-73-7,FLUORENE,,,,0.2,N,V,N,9160.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
1071-83-6,GLYPHOSATE,,,,0.2,N,NV,N,2100.00,4,Non-persistent contaminant with relatively low mobility potential.  Consider natural attenuation over time in final remedial actions.  See Advanced EHE Options tab of Surfer.
76-44-8,HEPTACHLOR,0.000001,0.000001,0.00001,0.2,N,NV,Y,41260.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
1024-57-3,HEPTACHLOR EPOXIDE,0.000001,0.000001,0.00001,0.2,N,NV,Y,10110.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
118-74-1,HEXACHLOROBENZENE,0.000001,0.000001,0.00001,0.2,N,NV,Y,6195.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
87-68-3,HEXACHLOROBUTADIENE,0.000001,0.000001,0.00001,0.2,N,NV,Y,845.20,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
58-89-9,HEXACHLOROCYCLOHEXANE (gamma) LINDANE,0.000001,0.000001,0.00001,0.2,N,NV,Y,2807.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
67-72-1,HEXACHLOROETHANE,0.000001,0.000001,0.00001,0.2,N,NV,Y,196.80,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
51235-04-2,HEXAZINONE,,,,0.2,N,NV,Y,129.40,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
193-39-5,"INDENO(1,2,3-cd)PYRENE",0.0001,0.00001,0.00001,0.2,N,NV,Y,1951000.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
78-59-1,ISOPHORONE,0.000001,0.000001,0.00001,0.2,N,NV,Y,65.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
7439-92-1,LEAD,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
7487-94-7,MERCURY,,,,0.2,Y,V,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
72-43-5,METHOXYCHLOR,,,,0.2,N,NV,Y,26890.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
78-93-3,METHYL ETHYL KETONE,,,,0.2,N,V,Y,4.51,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
108-10-1,METHYL ISOBUTYL KETONE,,,,0.2,N,V,Y,12.60,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
22967-92-6,METHYL MERCURY,,,,0.2,Y,NV,Y, ,2,Naturally present at trace levels; primarily formed in anoxic soils and sediments.
1634-04-4,METHYL TERT BUTYL ETHER,0.000001,0.000001,0.000001,0.2,N,V,Y,11.56,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
75-09-2,METHYLENE CHLORIDE,0.000001,0.000001,0.000001,0.2,N,V,Y,21.73,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
90-12-0,"METHYLNAPHTHALENE, 1-",0.00001,0.00001,0.000001,0.2,N,V,Y,2528.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
91-57-6,"METHYLNAPHTHALENE, 2-",0.00001,0.00001,0.000001,0.2,N,V,Y,2478.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
7439-98-7,MOLYBDENUM,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
91-20-3,NAPHTHALENE,0.00001,0.00001,0.000001,0.2,N,V,N,1544.00,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
7440-02-0,NICKEL,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
98-95-3,NITROBENZENE,0.000001,0.000001,0.000001,0.2,N,V,Y,226.40,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
55-63-0,NITROGLYCERIN,0.000001,0.000001,0.00001,0.2,N,NV,Y,115.80,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
