"TABLE D.  ENVIRONMENTAL ACTION LEVELS (EALs)
1Surface Water Bodies",,,,,
"TETRACHLOROETHANE, 1,1,2,2-",7.8E-02,3.5E+00,3.5E+00,,
TETRACHLOROETHYLENE,2.9E+00,2.9E+00,2.9E+00,,
"TETRACHLOROPHENOL, 2,3,4,6-",1.2E+00,1.2E+00,1.2E+00,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",2.2E+02,3.3E+02,2.2E+02,,
THALLIUM,2.0E+00,1.2E+01,6.0E+00,,
TOLUENE,4.0E+01,9.8E+00,9.8E+00,,
TOXAPHENE,2.0E-04,2.0E-04,2.0E-04,,
TPH (gasolines),1.0E+02,3.7E+03,5.0E+02,,
TPH (middle distillates),1.0E+02,6.4E+02,6.4E+02,,
TPH (residual fuels),1.0E+02,6.4E+02,6.4E+02,,
"TRICHLOROBENZENE, 1,2,4-",7.0E+01,1.1E+02,1.1E+02,,
"TRICHLOROETHANE, 1,1,1-",7.6E+01,1.1E+01,1.1E+01,,
"TRICHLOROETHANE, 1,1,2-",5.0E+00,1.4E+01,1.4E+01,,
TRICHLOROETHYLENE,5.0E+00,2.6E+01,2.6E+01,,
"TRICHLOROPHENOL, 2,4,5-",1.9E+00,1.2E+01,1.9E+00,,
"TRICHLOROPHENOL, 2,4,6-",1.2E+00,1.2E+00,1.2E+00,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",2.0E+02,6.9E+02,6.9E+02,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",3.0E+01,5.0E+01,3.0E+01,,
"TRICHLOROPROPANE, 1,2,3-",6.0E-01,1.4E+01,1.4E+01,,
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,6.2E-01,6.2E-01,,
TRIFLURALIN,1.1E+00,1.1E+00,1.1E+00,,
"TRINITROBENZENE, 1,3,5-",1.1E+01,1.0E+01,1.0E+01,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,4.0E+01,4.0E+01,,
"TRINITROTOLUENE, 2,4,6- (TNT)",2.6E+00,2.0E+01,1.3E+01,,
VANADIUM,2.7E+01,8.1E+01,2.7E+01,,
VINYL CHLORIDE,2.0E+00,1.7E+02,1.7E+02,,
XYLENES,2.0E+01,1.3E+01,1.3E+01,,
ZINC,2.2E+01,8.6E+01,2.2E+01,,
"Electrical Conductivity
(mS/cm, USEPA Method 120.1 MOD)",not applicable,not applicable,not applicable,,
Sodium Adsorption Ratio,not applicable,not applicable,not applicable,,
Notes:,,,,,
1. Compiled for screening of contaminated groundwater that could discharge to surface water.  Check with agency overseeing surface water quality for application to aquatic habitats.,,,,,
"2. Source of Freshwater EALs: Refer to Appendix 1, Table D-2a for basis.  Includes consideration of drinking water action levels.",,,,,
,,,,,
"3. Source of Marine EALs: Refer to Appendix 1, Table D-2b for basis.",,,,,
"4. Source of Estuarine EALs: Refer to Appendix 1, Table D-2c for basis.",,,,,
,,,,,
"Surface water action levels lowest of drinking water goal (freshwater only), chronic aquatic habitat goal, goal to address bioaccumulation in aquatic organisms and subsequent consumption by humans, and general nuisance goal (odors, etc.).  Refer to Chapter 2 of text and Appendix 1 for details.",,,,,
Estuarine action levels lowest of freshwater and marine action levels.,,,,,
"Water EALs for ethanol based on gross contamination concerns (see Appendix 1, Chapter 5 and related tables).",,,,,
"TPH -Total Petroleum Hydrocarbons.  TPH EALs must be used in conjunction with EALs for related chemicals (e.g., BTEX, PAHs, oxidizers, etc.).  See Section 2.6 and Appendix 1, Chapter 5, and HEER office Technical Guidance Manual.",,,,,
,,,,,
