"TABLE B-1.  SOIL ACTION LEVELS
(Potentially impacted groundwater IS NOT a current or potential drinking water resource;
"BENZO(g,h,i)PERYLENE",3.5E+01,Groundwater Protection,5.0E+02,site-specific,,4.8E+02,,3.5E+01,
BENZO(k)FLUORANTHENE,3.9E+01,Groundwater Protection,5.0E+02,site-specific,,1.6E+02,,3.9E+01,
BERYLLIUM,3.1E+01,Direct Exposure,1.0E+03,site-specific,3.0E+00,3.1E+01,,(Use batch test),
"BIPHENYL, 1,1-",1.0E+01,Direct Exposure,5.0E+02,site-specific,,1.0E+01,(Use soil gas),2.3E+02,
BIS(2-CHLOROETHYL)ETHER,7.9E-03,Vapor Intrusion,5.0E+02,site-specific,,2.4E-01,7.9E-03,9.6E-01,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,4.0E-03,Groundwater Protection,5.0E+02,site-specific,,3.8E+00,(Use soil gas),4.0E-03,
BIS(2-ETHYLHEXYL)PHTHALATE,3.9E+01,Direct Exposure,5.0E+02,site-specific,,3.9E+01,,5.4E+02,
BORON,1.0E+03,Ceiling Value,1.0E+03,site-specific,,3.1E+03,,(Use batch test),
BROMODICHLOROMETHANE,1.6E-02,Vapor Intrusion,9.3E+02,site-specific,,3.2E-01,1.6E-02,2.1E+00,
BROMOFORM,9.5E+00,Groundwater Protection,5.0E+02,site-specific,,2.0E+01,,9.5E+00,
BROMOMETHANE,2.2E-01,Vapor Intrusion,5.0E+02,site-specific,,1.5E+00,2.2E-01,1.8E+00,
CADMIUM,1.4E+01,Direct Exposure,1.0E+03,site-specific,2.3E+00,1.4E+01,,(Use batch test),
CARBON TETRACHLORIDE,1.0E-01,Vapor Intrusion,4.5E+02,site-specific,,7.1E-01,1.0E-01,2.0E+01,
CHLORDANE (TECHNICAL),1.7E+01,Direct Exposure,1.0E+03,site-specific,,1.7E+01,,2.3E+01,
"CHLOROANILINE, p-",2.7E+00,Direct Exposure,1.0E+03,site-specific,,2.7E+00,,8.6E+00,
CHLOROBENZENE,2.2E+00,Vapor Intrusion,5.0E+02,site-specific,,5.9E+01,2.2E+00,1.3E+01,
CHLOROETHANE,1.2E+01,Groundwater Protection,5.0E+02,site-specific,,2.1E+03,4.5E+02,1.2E+01,
CHLOROFORM,2.6E-02,Vapor Intrusion,5.0E+02,site-specific,,3.4E-01,2.6E-02,3.1E+00,
CHLOROMETHANE,4.0E+00,Vapor Intrusion,1.0E+02,site-specific,,2.4E+01,4.0E+00,1.1E+01,
"CHLOROPHENOL, 2-",1.2E-01,Groundwater Protection,1.0E+02,site-specific,,7.0E+01,4.2E+01,1.2E-01,
CHROMIUM (Total),1.1E+03,Background,-,site-specific,1.1E+03,,,(Use batch test),
CHROMIUM III,1.0E+03,Ceiling Value,1.0E+03,site-specific,,2.3E+04,,(Use batch test),
CHROMIUM VI,3.0E+01,Direct Exposure,1.0E+03,site-specific,,3.0E+01,,(Use batch test),
CHRYSENE,3.0E+01,Groundwater Protection,1.0E+03,site-specific,,1.6E+03,,3.0E+01,
COBALT,8.0E+01,Background,1.0E+03,site-specific,8.0E+01,4.7E+00,,(Use batch test),
COPPER,6.3E+02,Direct Exposure,1.0E+03,site-specific,2.5E+02,6.3E+02,,(Use batch test),
CYANIDE (Free),4.8E+00,Direct Exposure,1.0E+02,site-specific,,4.8E+00,(Use soil gas),(Use batch test),
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",6.1E+00,Direct Exposure,5.0E+02,site-specific,,6.1E+00,,7.7E+00,
DALAPON,1.6E+00,Groundwater Protection,5.0E+02,site-specific,,3.8E+02,,1.6E+00,
"DIBENZO(a,h)ANTHTRACENE",1.6E+00,Direct Exposure,5.0E+02,site-specific,,1.6E+00,,4.0E+02,
"DIBROMO,1,2- CHLOROPROPANE,3-",8.1E-04,Groundwater Protection,5.0E+02,site-specific,,5.7E-03,(Use soil gas),8.1E-04,
DIBROMOCHLOROMETHANE,2.9E-02,Vapor Intrusion,1.0E+02,site-specific,,1.0E+00,2.9E-02,4.6E+00,
"DIBROMOETHANE, 1,2-",1.0E-03,Vapor Intrusion,5.0E+02,site-specific,,3.9E-02,1.0E-03,2.0E-01,
"DICHLOROBENZENE, 1,2-",7.5E+00,Groundwater Protection,3.8E+02,site-specific,,3.8E+02,8.9E+00,7.5E+00,
"DICHLOROBENZENE, 1,3-",4.2E+01,Groundwater Protection,1.0E+02,site-specific,,2.0E+02,(Use soil gas),4.2E+01,
"DICHLOROBENZENE, 1,4-",5.5E-02,Vapor Intrusion,5.0E+02,site-specific,,2.8E+00,5.5E-02,8.5E+00,
"DICHLOROBENZIDINE, 3,3-",1.2E+00,Direct Exposure,5.0E+02,site-specific,,1.2E+00,,2.2E+01,
DICHLORODIPHENYLDICHLOROETHANE (DDD),2.3E+00,Direct Exposure,5.0E+02,site-specific,,2.3E+00,,6.3E+01,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.0E+00,Direct Exposure,5.0E+02,site-specific,,2.0E+00,,1.4E+02,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.9E+00,Direct Exposure,1.0E+03,site-specific,,1.9E+00,,5.6E+00,
"DICHLOROETHANE, 1,1-",3.8E-01,Vapor Intrusion,5.0E+02,site-specific,,3.8E+00,3.8E-01,3.3E+01,
"DICHLOROETHANE, 1,2-",2.3E-02,Vapor Intrusion,5.0E+02,site-specific,,5.0E-01,2.3E-02,2.6E+00,
"DICHLOROETHYLENE, 1,1-",8.9E+00,Vapor Intrusion,5.0E+02,site-specific,,4.9E+01,8.9E+00,6.5E+02,
"DICHLOROETHYLENE, Cis 1,2-",3.6E-01,Vapor Intrusion,1.0E+02,site-specific,,3.9E+00,3.6E-01,4.1E+01,
"DICHLOROETHYLENE, Trans 1,2-",3.6E+00,Vapor Intrusion,5.0E+02,site-specific,,2.9E+01,3.6E+00,1.7E+02,
"DICHLOROPHENOL, 2,4-",7.3E-02,Groundwater Protection,5.0E+02,site-specific,,3.8E+01,,7.3E-02,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",6.4E-01,Groundwater Protection,5.0E+02,site-specific,,1.4E+02,,6.4E-01,
"DICHLOROPROPANE, 1,2-",6.0E-02,Vapor Intrusion,1.0E+02,site-specific,,1.1E+00,6.0E-02,2.7E+00,
"DICHLOROPROPENE, 1,3-",1.5E-01,Vapor Intrusion,5.0E+02,site-specific,,1.9E+00,1.5E-01,8.9E+00,
DIELDRIN,2.5E+00,Direct Exposure,1.0E+03,site-specific,,2.5E+00,,2.4E+01,
DIETHYLPHTHALATE,1.7E+01,Groundwater Protection,5.0E+02,site-specific,,1.0E+04,,1.7E+01,
"DIMETHYLPHENOL, 2,4-",5.7E+01,Groundwater Protection,1.0E+02,site-specific,,2.5E+02,,5.7E+01,
DIMETHYLPHTHALATE,7.4E+01,Groundwater Protection,5.0E+02,site-specific,,1.3E+05,,7.4E+01,
"DINITROBENZENE, 1,3-",1.3E+00,Direct Exposure,5.0E+02,site-specific,,1.3E+00,,5.8E+00,
"DINITROPHENOL, 2,4-",2.5E+01,Direct Exposure,5.0E+02,site-specific,,2.5E+01,,2.9E+01,
"DINITROTOLUENE, 2,4- (2,4-DNT)",1.7E+00,Direct Exposure,5.0E+02,site-specific,,1.7E+00,,1.1E+01,
"DINITROTOLUENE, 2,6- (2,6-DNT)",3.6E-01,Direct Exposure,5.0E+02,site-specific,,3.6E-01,,1.1E+01,
"DIOXANE, 1,4-",5.4E+00,Direct Exposure,5.0E+02,site-specific,,5.4E+00,(Use soil gas),2.3E+01,
DIOXINS (TEQ),2.4E-04,Direct Exposure,1.0E+03,site-specific,2.0E-05,2.4E-04,,3.0E-01,
DIURON,3.6E+00,Groundwater Protection,5.0E+02,site-specific,,2.5E+01,,3.6E+00,
ENDOSULFAN,1.3E+01,Groundwater Protection,5.0E+02,site-specific,,9.4E+01,,1.3E+01,
ENDRIN,3.8E+00,Direct Exposure,5.0E+02,site-specific,,3.8E+00,,3.0E+01,
ETHANOL,4.5E+00,Groundwater Protection,5.0E+02,site-specific,,,(Use soil gas),4.5E+00,
ETHYLBENZENE,1.7E+01,Groundwater Protection,4.8E+02,site-specific,,6.3E+01,2.4E+01,1.7E+01,
FLUORANTHENE,1.2E+02,Groundwater Protection,5.0E+02,site-specific,,4.8E+02,,1.2E+02,
FLUORENE,9.3E+01,Vapor Intrusion,5.0E+02,site-specific,,4.6E+02,9.3E+01,4.6E+02,
GLYPHOSATE,5.0E+02,Ceiling Value,5.0E+02,site-specific,,1.3E+03,,7.5E+03,
HEPTACHLOR,1.4E-01,Direct Exposure,1.0E+03,site-specific,,1.4E-01,,4.5E+01,
HEPTACHLOR EPOXIDE,7.1E-02,Direct Exposure,1.0E+03,site-specific,,7.1E-02,,1.2E+01,
HEXACHLOROBENZENE,2.2E-01,Direct Exposure,5.0E+02,site-specific,,2.2E-01,,2.3E-01,
HEXACHLOROBUTADIENE,1.3E+00,Direct Exposure,5.0E+02,site-specific,,1.3E+00,,2.2E+00,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,7.5E-02,Groundwater Protection,5.0E+02,site-specific,,5.7E-01,,7.5E-02,
HEXACHLOROETHANE,2.0E+00,Direct Exposure,5.0E+02,site-specific,,2.0E+00,,5.7E+00,
HEXAZINONE,4.2E+02,Direct Exposure,5.0E+02,site-specific,,4.2E+02,,1.1E+03,
"INDENO(1,2,3-cd)PYRENE",1.6E+01,Direct Exposure,5.0E+02,site-specific,,1.6E+01,,3.1E+01,
ISOPHORONE,4.7E+01,Groundwater Protection,5.0E+02,site-specific,,5.7E+02,,4.7E+01,
LEAD,2.0E+02,Direct Exposure,1.0E+03,site-specific,7.3E+01,2.0E+02,,(Use batch test),
MERCURY,4.7E+00,Direct Exposure,5.0E+02,site-specific,7.2E-01,4.7E+00,,(Use batch test),
METHOXYCHLOR,1.6E+01,Groundwater Protection,5.0E+02,site-specific,,6.3E+01,,1.6E+01,
METHYL ETHYL KETONE,5.5E+01,Groundwater Protection,5.0E+02,site-specific,,5.6E+03,2.2E+03,5.5E+01,
METHYL ISOBUTYL KETONE,6.5E+00,Groundwater Protection,1.0E+02,site-specific,,3.4E+03,1.3E+03,6.5E+00,
METHYL MERCURY,1.6E+00,Direct Exposure,1.0E+02,site-specific,,1.6E+00,,(Use batch test),
METHYL TERT BUTYL ETHER,2.3E+00,Vapor Intrusion,1.0E+02,site-specific,,5.0E+01,2.3E+00,1.0E+01,
METHYLENE CHLORIDE,2.2E+01,Vapor Intrusion,5.0E+02,site-specific,,5.8E+01,2.2E+01,2.0E+02,
"METHYLNAPHTHALENE, 1-",1.6E+01,Groundwater Protection,5.0E+02,site-specific,,1.0E+02,5.9E+01,1.6E+01,
"METHYLNAPHTHALENE, 2-",1.7E+01,Groundwater Protection,5.0E+02,site-specific,,3.9E+01,5.0E+01,1.7E+01,
MOLYBDENUM,7.8E+01,Direct Exposure,1.0E+03,site-specific,4.0E+00,7.8E+01,,(Use batch test),
NAPHTHALENE,7.0E+00,Vapor Intrusion,5.0E+02,site-specific,,2.8E+01,7.0E+00,5.4E+01,
NICKEL,4.1E+02,Background,1.0E+03,site-specific,4.1E+02,3.1E+02,,(Use batch test),
NITROBENZENE,5.6E+00,Direct Exposure,5.0E+02,site-specific,,5.6E+00,(Use soil gas),7.5E+01,
NITROGLYCERIN,1.3E+00,Direct Exposure,5.0E+02,site-specific,,1.3E+00,,3.1E+00,
"NITROTOLUENE, 2-",2.2E+00,Direct Exposure,5.0E+02,site-specific,,2.2E+00,(Use soil gas),3.9E+01,
"NITROTOLUENE, 3-",1.3E+00,Direct Exposure,5.0E+02,site-specific,,1.3E+00,,2.3E+01,
"NITROTOLUENE, 4-",2.5E+01,Groundwater Protection,5.0E+02,site-specific,,3.4E+01,,2.5E+01,
PENTACHLOROPHENOL,1.0E+00,Direct Exposure,5.0E+02,site-specific,,1.0E+00,,1.3E+00,
PENTAERYTHRITOLTETRANITRATE (PETN),2.5E+01,Direct Exposure,5.0E+02,site-specific,,2.5E+01,,2.3E+03,
PERCHLORATE,1.2E+00,Groundwater Protection,1.0E+03,site-specific,,1.1E+01,,1.2E+00,
PHENANTHRENE,4.6E+02,Direct Exposure,5.0E+02,site-specific,,4.6E+02,(Use soil gas),7.0E+02,
PHENOL,9.3E+00,Groundwater Protection,5.0E+02,site-specific,,3.8E+03,,9.3E+00,
POLYCHLORINATED BIPHENYLS (PCBs),1.2E+00,Direct Exposure,5.0E+02,site-specific,,1.2E+00,,4.3E+01,
PROPICONAZOLE,1.1E+02,Groundwater Protection,5.0E+02,site-specific,,1.6E+02,,1.1E+02,
PYRENE,4.4E+01,Vapor Intrusion,5.0E+02,site-specific,,3.6E+02,4.4E+01,6.1E+02,
SELENIUM,7.8E+01,Direct Exposure,1.0E+03,site-specific,7.1E+00,7.8E+01,,(Use batch test),
SILVER,7.8E+01,Direct Exposure,1.0E+03,site-specific,1.5E+00,7.8E+01,,(Use batch test),
SIMAZINE,1.9E+00,Groundwater Protection,5.0E+02,site-specific,,4.5E+00,,1.9E+00,
STYRENE,1.0E+01,Groundwater Protection,5.0E+02,site-specific,,8.7E+02,4.5E+02,1.0E+01,
TERBACIL,2.2E+00,Groundwater Protection,5.0E+02,site-specific,,1.6E+02,,2.2E+00,
tert-BUTYL ALCOHOL,9.9E+01,Direct Exposure,1.0E+02,site-specific,,9.9E+01,(Use soil gas),3.1E+02,
"TETRACHLOROETHANE, 1,1,1,2-",2.2E+00,Direct Exposure,1.0E+02,site-specific,,2.2E+00,(Use soil gas),2.3E+01,
"TETRACHLOROETHANE, 1,1,2,2-",1.0E-02,Vapor Intrusion,5.0E+02,site-specific,,6.5E-01,1.0E-02,4.3E+00,
TETRACHLOROETHYLENE,9.8E-02,Vapor Intrusion,1.7E+02,site-specific,,1.1E+00,9.8E-02,2.5E+01,
"TETRACHLOROPHENOL, 2,3,4,6-",5.1E-01,Groundwater Protection,5.0E+02,site-specific,,3.8E+02,,5.1E-01,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",1.1E+02,Groundwater Protection,5.0E+02,site-specific,,7.7E+02,,1.1E+02,
THALLIUM,7.8E-01,Direct Exposure,1.0E+03,site-specific,2.5E-01,7.8E-01,,(Use batch test),
TOLUENE,3.2E+01,Groundwater Protection,5.0E+02,site-specific,,8.2E+02,8.2E+02,3.2E+01,
TOXAPHENE,4.9E-01,Direct Exposure,5.0E+02,site-specific,,4.9E-01,,2.5E+02,
TPH (gasolines),1.0E+02,Ceiling Value,1.0E+02,site-specific,,4.8E+02,(Use soil gas),2.0E+03,
TPH (middle distillates),2.6E+02,Direct Exposure,5.0E+02,site-specific,,2.6E+02,(Use soil gas),5.0E+03,
TPH (residual fuels),5.0E+02,Ceiling Value,5.0E+02,site-specific,,9.4E+03,,5.0E+03,
"TRICHLOROBENZENE, 1,2,4-",1.6E-01,Vapor Intrusion,5.0E+02,site-specific,,8.2E+00,1.6E-01,9.8E+01,
"TRICHLOROETHANE, 1,1,1-",2.2E+02,Vapor Intrusion,5.0E+02,site-specific,,6.4E+02,2.2E+02,6.8E+02,
"TRICHLOROETHANE, 1,1,2-",8.9E-03,Vapor Intrusion,1.0E+02,site-specific,,3.2E-01,8.9E-03,1.6E+00,
TRICHLOROETHYLENE,8.9E-02,Vapor Intrusion,5.0E+02,site-specific,,8.9E-01,8.9E-02,1.5E+01,
"TRICHLOROPHENOL, 2,4,5-",4.5E+00,Groundwater Protection,1.0E+02,site-specific,,1.3E+03,,4.5E+00,
"TRICHLOROPHENOL, 2,4,6-",2.5E+00,Groundwater Protection,5.0E+02,site-specific,,1.3E+01,,2.5E+00,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",1.2E+01,Groundwater Protection,1.0E+03,site-specific,,1.3E+02,,1.2E+01,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",7.9E+00,Groundwater Protection,5.0E+02,site-specific,,1.0E+02,,7.9E+00,
"TRICHLOROPROPANE, 1,2,3-",1.6E-03,Direct Exposure,1.0E+02,site-specific,,1.6E-03,(Use soil gas),3.0E+00,
"TRICHLOROPROPENE, 1,2,3-",8.1E-02,Groundwater Protection,1.0E+02,site-specific,,1.6E-01,(Use soil gas),8.1E-02,
TRIFLURALIN,5.6E+01,Groundwater Protection,1.0E+02,site-specific,,9.0E+01,,5.6E+01,
"TRINITROBENZENE, 1,3,5-",7.5E+00,Groundwater Protection,5.0E+02,site-specific,,4.5E+02,,7.5E+00,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",3.1E+01,Groundwater Protection,5.0E+02,site-specific,,3.1E+01,,3.1E+01,
"TRINITROTOLUENE, 2,4,6- (TNT)",7.3E+00,Direct Exposure,5.0E+02,site-specific,,7.3E+00,,9.8E+01,
VANADIUM,7.7E+02,Background,1.0E+03,site-specific,7.7E+02,7.8E+01,,(Use batch test),
VINYL CHLORIDE,3.6E-02,Vapor Intrusion,5.0E+02,site-specific,,5.9E-02,3.6E-02,3.3E+00,
XYLENES,2.4E+01,Groundwater Protection,2.6E+02,site-specific,,1.2E+02,4.5E+01,2.4E+01,
ZINC,1.0E+03,Ceiling Value,1.0E+03,site-specific,3.5E+02,4.7E+03,,(Use batch test),
"Electrical Conductivity
(mS/cm, USEPA Method 120.1 MOD)",2.0,-,-,-,-,-,-,-,
Sodium Adsorption Ratio,5.0,-,-,-,-,-,-,-,
Notes:,,,,,,,,,
"1. Based on unrestricted current or future land use.  Considered adequate for residential housing, schools, medical facilities, day-care centers, parks and other sensitive uses.",,,,,,,,,
,,,,,,,,,
"Final Environmental Action Level is lowest of gross contamination, ecotoxicity, direct-exposure, vapor intrusion and leaching action levels.",,,,,,,,,
Assumes soil pH 5.0 to 9.0.,,,,,,,,,
Soil data should be reported on dry-weight basis (see Chapter 7).,,,,,,,,,
TPH -Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
