"TABLE G-3. SURFACE WATER GROSS CONTAMINATION ACTION LEVELS
(surface water IS a current or potential source of drinking water)
CHROMIUM VI,5.0E+04,Upper Limit,8.5E+08,-,-,5.0E+04
CHRYSENE,1.0E+00,Solubility,1.0E+00,-,-,5.0E+04
COBALT,5.0E+04,Upper Limit,,-,-,5.0E+04
COPPER,1.0E+03,Taste & Odors,,1.0E+03,CalDHS 2nd MCL,5.0E+04
CYANIDE (Free),1.7E+02,Taste & Odors,4.8E+07,1.7E+02,Amoore & Hautala,5.0E+04
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",3.0E+04,Solubility,3.0E+04,-,-,5.0E+04
DALAPON,5.0E+04,Upper Limit,2.5E+08,-,-,5.0E+04
"DIBENZO(a,h)ANTHTRACENE",1.3E+00,Solubility,1.3E+00,-,-,5.0E+04
"DIBROMO,1,2- CHLOROPROPANE,3-",1.0E+01,Taste & Odors,6.2E+05,1.0E+01,Amoore & Hautala,5.0E+04
DIBROMOCHLOROMETHANE,5.0E+04,Upper Limit,1.4E+06,-,-,5.0E+04
"DIBROMOETHANE, 1,2-",5.0E+04,Upper Limit,2.0E+06,-,-,5.0E+04
"DICHLOROBENZENE, 1,2-",1.0E+01,Taste & Odors,7.8E+04,1.0E+01,USEPA 2nd MCL,5.0E+04
"DICHLOROBENZENE, 1,3-",5.0E+04,Upper Limit,7.8E+04,-,-,5.0E+04
"DICHLOROBENZENE, 1,4-",5.0E+00,Taste & Odors,4.1E+04,5.0E+00,USEPA 2nd MCL,5.0E+04
"DICHLOROBENZIDINE, 3,3-",1.6E+03,Solubility,1.6E+03,-,-,5.0E+04
DICHLORODIPHENYLDICHLOROETHANE (DDD),4.5E+01,Solubility,4.5E+01,-,-,5.0E+04
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.0E+01,Solubility,2.0E+01,-,-,5.0E+04
DICHLORODIPHENYLTRICHLOROETHANE (DDT),2.8E+00,Solubility,2.8E+00,3.5E+02,Ontario MOEE,5.0E+04
"DICHLOROETHANE, 1,1-",5.0E+04,Upper Limit,2.5E+06,-,-,5.0E+04
"DICHLOROETHANE, 1,2-",7.0E+03,Taste & Odors,4.3E+06,7.0E+03,Amoore & Hautala,5.0E+04
"DICHLOROETHYLENE, 1,1-",1.5E+03,Taste & Odors,1.2E+06,1.5E+03,Amoore & Hautala,5.0E+04
"DICHLOROETHYLENE, Cis 1,2-",5.0E+04,Upper Limit,3.2E+06,-,-,5.0E+04
"DICHLOROETHYLENE, Trans 1,2-",2.6E+02,Taste & Odors,2.3E+06,2.6E+02,Amoore & Hautala,5.0E+04
"DICHLOROPHENOL, 2,4-",3.0E-01,Taste & Odors,2.8E+06,3.0E-01,Ontario MOEE,5.0E+04
"DICHLOROPHENOXYACETIC ACID (2,4-D)",5.0E+04,Upper Limit,3.4E+05,-,-,5.0E+04
"DICHLOROPROPANE, 1,2-",1.0E+01,Taste & Odors,1.4E+06,1.0E+01,Ontario MOEE,5.0E+04
"DICHLOROPROPENE, 1,3-",5.0E+04,Upper Limit,1.4E+06,-,-,5.0E+04
DIELDRIN,4.1E+01,Taste & Odors,9.8E+01,4.1E+01,Ontario MOEE,5.0E+04
DIETHYLPHTHALATE,5.0E+04,Upper Limit,5.4E+05,-,-,5.0E+04
"DIMETHYLPHENOL, 2,4-",4.0E+02,Taste & Odors,3.9E+06,4.0E+02,Cal DHS AL,5.0E+04
DIMETHYLPHTHALATE,5.0E+04,Upper Limit,2.5E+06,-,-,5.0E+04
"DINITROBENZENE, 1,3-",5.0E+04,Upper Limit,2.7E+05,-,-,5.0E+04
"DINITROPHENOL, 2,4-",5.0E+04,Upper Limit,1.4E+06,-,-,5.0E+04
"DINITROTOLUENE, 2,4- (2,4-DNT)",5.0E+04,Upper Limit,1.0E+05,-,-,5.0E+04
"DINITROTOLUENE, 2,6- (2,6-DNT)",5.0E+04,Upper Limit,9.1E+04,-,-,5.0E+04
"DIOXANE, 1,4-",5.0E+04,Upper Limit,5.0E+08,2.3E+05,Amoore & Hautala,5.0E+04
DIOXINS (TEQ),1.0E-01,Solubility,1.0E-01,-,-,5.0E+04
DIURON,2.1E+04,Solubility,2.1E+04,-,-,5.0E+04
ENDOSULFAN,1.6E+02,Solubility,1.6E+02,-,-,5.0E+04
ENDRIN,4.1E+01,Taste & Odors,1.3E+02,4.1E+01,Ontario MOEE,5.0E+04
ETHANOL,5.0E+04,Upper Limit,5.0E+08,7.6E+05,Amoore & Hautala,5.0E+04
ETHYLBENZENE,3.0E+01,Taste & Odors,8.5E+04,3.0E+01,USEPA 2nd MCL,5.0E+04
FLUORANTHENE,1.3E+02,Solubility,1.3E+02,-,-,5.0E+04
FLUORENE,8.5E+02,Solubility,8.5E+02,-,-,5.0E+04
GLYPHOSATE,5.0E+04,Upper Limit,5.3E+06,-,-,5.0E+04
HEPTACHLOR,2.0E+01,Taste & Odors,9.0E+01,2.0E+01,Ontario MOEE,5.0E+04
HEPTACHLOR EPOXIDE,1.0E+02,Solubility,1.0E+02,-,-,5.0E+04
HEXACHLOROBENZENE,3.1E+00,Solubility,3.1E+00,3.0E+03,Ontario MOEE,5.0E+04
HEXACHLOROBUTADIENE,6.0E+00,Taste & Odors,1.6E+03,6.0E+00,Ontario MOEE,5.0E+04
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,3.7E+03,Solubility,3.7E+03,1.2E+04,Ontario MOEE,5.0E+04
HEXACHLOROETHANE,1.0E+01,Taste & Odors,2.5E+04,1.0E+01,Amoore & Hautala,5.0E+04
HEXAZINONE,5.0E+04,Upper Limit,1.7E+07,-,-,5.0E+04
"INDENO(1,2,3-cd)PYRENE",9.5E-02,Solubility,9.5E-02,-,-,5.0E+04
ISOPHORONE,5.0E+04,Upper Limit,6.0E+06,-,-,5.0E+04
LEAD,5.0E+04,Upper Limit,,-,-,5.0E+04
MERCURY,5.0E+04,Upper Limit,,-,-,5.0E+04
METHOXYCHLOR,5.0E+01,Solubility,5.0E+01,4.7E+03,Amoore & Hautala,5.0E+04
METHYL ETHYL KETONE,8.4E+03,Taste & Odors,1.1E+08,8.4E+03,Amoore & Hautala,5.0E+04
METHYL ISOBUTYL KETONE,1.3E+03,Taste & Odors,9.5E+06,1.3E+03,Amoore & Hautala,5.0E+04
METHYL MERCURY,5.0E+04,Upper Limit,,-,-,5.0E+04
METHYL TERT BUTYL ETHER,5.0E+00,Taste & Odors,2.6E+07,5.0E+00,Cal DHS 2nd MCL,5.0E+04
METHYLENE CHLORIDE,9.1E+03,Taste & Odors,6.5E+06,9.1E+03,Ontario MOEE,5.0E+04
"METHYLNAPHTHALENE, 1-",1.0E+01,Taste & Odors,1.3E+04,1.0E+01,Ontario MOEE,5.0E+04
"METHYLNAPHTHALENE, 2-",1.0E+01,Taste & Odors,1.2E+04,1.0E+01,Ontario MOEE,5.0E+04
MOLYBDENUM,5.0E+04,Upper Limit,,-,-,5.0E+04
NAPHTHALENE,2.1E+01,Taste & Odors,1.6E+04,2.1E+01,Amoore & Hautala,5.0E+04
NICKEL,5.0E+04,Upper Limit,,-,-,5.0E+04
NITROBENZENE,5.0E+04,Upper Limit,1.0E+06,-,-,5.0E+04
NITROGLYCERIN,5.0E+04,Upper Limit,6.9E+05,-,-,5.0E+04
"NITROTOLUENE, 2-",5.0E+04,Upper Limit,3.3E+05,-,-,5.0E+04
"NITROTOLUENE, 3-",5.0E+04,Upper Limit,2.5E+05,-,-,5.0E+04
"NITROTOLUENE, 4-",5.0E+04,Upper Limit,2.2E+05,-,-,5.0E+04
PENTACHLOROPHENOL,3.0E+01,Taste & Odors,7.0E+03,3.0E+01,Amoore & Hautala,5.0E+04
PENTAERYTHRITOLTETRANITRATE (PETN),2.2E+04,Solubility,2.2E+04,-,-,5.0E+04
PERCHLORATE,5.0E+04,Upper Limit,1.2E+08,-,-,5.0E+04
PHENANTHRENE,4.1E+02,Solubility,4.1E+02,1.0E+03,Ontario MOEE,5.0E+04
PHENOL,7.9E+03,Taste & Odors,4.1E+07,7.9E+03,Amoore & Hautala,5.0E+04
POLYCHLORINATED BIPHENYLS (PCBs),2.2E+01,Solubility,2.2E+01,-,-,5.0E+04
PROPICONAZOLE,5.0E+04,Upper Limit,5.5E+04,-,-,5.0E+04
PYRENE,6.8E+01,Solubility,6.8E+01,-,-,5.0E+04
SELENIUM,5.0E+04,Upper Limit,,-,-,5.0E+04
SILVER,1.0E+02,Taste & Odors,,1.0E+02,Cal DHS 2nd MCL,5.0E+04
SIMAZINE,3.1E+03,Solubility,3.1E+03,-,-,5.0E+04
STYRENE,1.0E+01,Taste & Odors,1.6E+05,1.0E+01,USEPA 2nd MCL,5.0E+04
TERBACIL,5.0E+04,Upper Limit,3.6E+05,-,-,5.0E+04
tert-BUTYL ALCOHOL,5.0E+04,Upper Limit,5.0E+08,-,-,5.0E+04
"TETRACHLOROETHANE, 1,1,1,2-",5.0E+04,Upper Limit,5.4E+05,-,-,5.0E+04
"TETRACHLOROETHANE, 1,1,2,2-",5.0E+02,Taste & Odors,1.4E+06,5.0E+02,Amoore & Hautala,5.0E+04
TETRACHLOROETHYLENE,1.7E+02,Taste & Odors,1.0E+05,1.7E+02,Amoore & Hautala,5.0E+04
"TETRACHLOROPHENOL, 2,3,4,6-",1.2E+04,Solubility,1.2E+04,-,-,5.0E+04
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",2.5E+03,Solubility,2.5E+03,-,-,5.0E+04
THALLIUM,5.0E+04,Upper Limit,,-,-,5.0E+04
TOLUENE,4.0E+01,Taste & Odors,2.6E+05,4.0E+01,USEPA 2nd MCL,5.0E+04
TOXAPHENE,1.4E+02,Taste & Odors,2.8E+02,1.4E+02,USEPA 2nd MCL,5.0E+04
TPH (gasolines),1.0E+02,Taste & Odors,7.5E+04,1.0E+02,USEPA SNARL,5.0E+04
TPH (middle distillates),1.0E+02,Taste & Odors,2.5E+03,1.0E+02,USEPA SNARL,5.0E+04
TPH (residual fuels),1.0E+02,Taste & Odors,2.5E+03,1.0E+02,USEPA SNARL,5.0E+04
"TRICHLOROBENZENE, 1,2,4-",3.0E+03,Taste & Odors,2.5E+04,3.0E+03,USEPA (1995),5.0E+04
"TRICHLOROETHANE, 1,1,1-",9.7E+02,Taste & Odors,6.5E+05,9.7E+02,Amoore & Hautala,5.0E+04
"TRICHLOROETHANE, 1,1,2-",5.0E+04,Upper Limit,2.3E+06,-,-,5.0E+04
TRICHLOROETHYLENE,3.1E+02,Taste & Odors,6.4E+05,3.1E+02,Amoore & Hautala,5.0E+04
"TRICHLOROPHENOL, 2,4,5-",2.0E+02,Taste & Odors,6.0E+05,2.0E+02,Ontario MOEE,5.0E+04
"TRICHLOROPHENOL, 2,4,6-",1.0E+02,Taste & Odors,4.0E+05,1.0E+02,Ontario MOEE,5.0E+04
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",5.0E+04,Upper Limit,1.4E+05,-,-,5.0E+04
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",3.6E+04,Solubility,3.6E+04,-,-,5.0E+04
"TRICHLOROPROPANE, 1,2,3-",5.0E+04,Upper Limit,8.8E+05,-,-,5.0E+04
"TRICHLOROPROPENE, 1,2,3-",5.0E+04,Upper Limit,1.7E+05,-,-,5.0E+04
TRIFLURALIN,9.0E+01,Solubility,9.0E+01,-,-,5.0E+04
"TRINITROBENZENE, 1,3,5-",5.0E+04,Upper Limit,1.4E+05,-,-,5.0E+04
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",3.7E+04,Solubility,3.7E+04,-,-,5.0E+04
"TRINITROTOLUENE, 2,4,6- (TNT)",5.0E+04,Upper Limit,5.8E+04,-,-,5.0E+04
VANADIUM,5.0E+04,Upper Limit,,-,-,5.0E+04
VINYL CHLORIDE,3.4E+03,Taste & Odors,4.4E+06,3.4E+03,Amoore & Hautala,5.0E+04
XYLENES,2.0E+01,Taste & Odors,5.3E+04,2.0E+01,USEPA 2nd MCL,5.0E+04
ZINC,5.0E+03,Taste & Odors,,5.0E+03,Cal DHS 2nd MCL,5.0E+04
,,,,,,
References:,,,,,,
"Unless otherwise noted, criteria for drinking water taste and odor threshold from summary in A Compilation of Water Quality Goals",,,,,,
(RWQCBCV 2007) or Ontario MOEE if not available (MOEE 1996).,,,,,,
Upper limit of 50000 ug/L intended to limit general groundwater resource degradation (MOEE 1996).,,,,,,
1/2 solubility based on solubility constants in USEPA RSL guidance (USEPA 2008a) or Ontario MOEE (MOEE 1996) if not available.,,,,,,
Notes:,,,,,,
"Ceiling Level: lowest of 1/2 solubility, taste and odor threshold and 50000 ug/L maximum level",,,,,,
TPH -Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,,
TPH ceiling levels after Massachusetts DEP (MADEP 1997a).,,,,,,
TPH Taste and Odor Thresholds based on USEPA Suggested-No-Adverse-reaction (SNARL) level for TPH diesel.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
