"TABLE B.  ENVIRONMENTAL ACTION LEVELS (EALs)
Groundwater IS NOT Current or Potential Source of Drinking Water",,,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",6.4E-01,1.3E+02,3.4E-01,7.0E+01,,
"DICHLOROPROPANE, 1,2-",6.0E-02,1.0E+02,6.0E-02,1.0E+02,,
"DICHLOROPROPENE, 1,3-",1.5E-01,2.6E+02,2.1E-03,6.0E-02,,
DIELDRIN,2.5E+00,7.1E-01,2.5E+00,1.9E-03,,
DIETHYLPHTHALATE,1.7E+01,9.8E+02,3.7E+00,2.1E+02,,
"DIMETHYLPHENOL, 2,4-",5.7E+01,7.0E+02,9.8E+00,1.2E+02,,
DIMETHYLPHTHALATE,7.4E+01,3.2E+03,2.6E+01,1.1E+03,,
"DINITROBENZENE, 1,3-",1.3E+00,1.0E+02,5.8E-01,1.0E+01,,
"DINITROPHENOL, 2,4-",2.5E+01,3.8E+02,1.1E+00,1.4E+01,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",1.7E+00,1.1E+02,8.7E-01,9.1E+00,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",3.6E-01,1.1E+02,3.6E-01,8.1E+01,,
"DIOXANE, 1,4-",5.4E+00,5.0E+04,5.4E+00,5.0E+04,,
DIOXINS (TEQ),2.4E-04,3.0E-03,2.4E-04,3.1E-09,,
DIURON,3.6E+00,2.0E+02,1.1E+00,6.0E+01,,
ENDOSULFAN,1.3E+01,3.4E-02,1.3E+01,8.7E-03,,
ENDRIN,3.8E+00,3.7E-02,3.8E+00,2.3E-03,,
ETHANOL,4.5E+00,5.0E+04,4.5E+00,5.0E+04,,
ETHYLBENZENE,1.7E+01,1.4E+02,9.0E-01,7.3E+00,,
FLUORANTHENE,1.2E+02,1.3E+01,8.7E+01,8.0E-01,,
FLUORENE,9.3E+01,3.0E+02,9.3E+01,3.9E+00,,
GLYPHOSATE,5.0E+02,2.2E+04,5.0E+02,1.8E+03,,
HEPTACHLOR,1.4E-01,5.3E-02,1.4E-01,3.6E-03,,
HEPTACHLOR EPOXIDE,7.1E-02,5.3E-02,7.1E-02,3.6E-03,,
HEXACHLOROBENZENE,2.2E-01,3.0E-04,2.2E-01,3.0E-04,,
HEXACHLOROBUTADIENE,1.3E+00,1.1E+01,6.1E-02,3.0E-01,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,7.5E-02,1.6E-01,2.9E-02,6.3E-02,,
HEXACHLOROETHANE,2.0E+00,1.0E+02,6.8E-01,1.2E+01,,
HEXAZINONE,4.2E+02,5.0E+04,3.7E+02,1.7E+04,,
"INDENO(1,2,3-cd)PYRENE",1.6E+01,9.5E-02,1.6E+01,9.5E-02,,
ISOPHORONE,4.7E+01,4.3E+03,1.0E+01,9.2E+02,,
LEAD,2.0E+02,2.9E+01,2.0E+02,5.6E+00,,
MERCURY,4.7E+00,2.1E+00,4.7E+00,2.5E-02,,
METHOXYCHLOR,1.6E+01,7.0E-01,1.6E+01,3.0E-02,,
METHYL ETHYL KETONE,5.5E+01,5.0E+04,1.5E+01,1.4E+04,,
METHYL ISOBUTYL KETONE,6.5E+00,2.2E+03,5.0E-01,1.7E+02,,
METHYL MERCURY,1.6E+00,9.9E-02,1.6E+00,2.8E-03,,
METHYL TERT BUTYL ETHER,2.3E+00,1.8E+03,2.3E+00,7.3E+02,,
METHYLENE CHLORIDE,2.2E+01,8.5E+03,2.2E+01,1.5E+03,,
"METHYLNAPHTHALENE, 1-",1.6E+01,3.7E+01,8.9E-01,2.1E+00,,
"METHYLNAPHTHALENE, 2-",1.7E+01,4.2E+01,1.9E+00,4.7E+00,,
MOLYBDENUM,7.8E+01,7.2E+03,7.8E+01,3.7E+02,,
NAPHTHALENE,7.0E+00,2.1E+02,3.1E+00,1.2E+01,,
NICKEL,4.1E+02,5.0E+00,4.1E+02,5.0E+00,,
NITROBENZENE,5.6E+00,2.0E+03,5.6E+00,3.8E+02,,
NITROGLYCERIN,1.3E+00,1.6E+02,3.5E-01,1.8E+01,,
"NITROTOLUENE, 2-",2.2E+00,6.4E+02,2.2E+00,7.1E+01,,
"NITROTOLUENE, 3-",1.3E+00,3.8E+02,1.3E+00,4.2E+01,,
"NITROTOLUENE, 4-",2.5E+01,4.1E+02,2.8E+00,4.6E+01,,
PENTACHLOROPHENOL,1.0E+00,1.3E+01,7.8E-01,7.9E+00,,
PENTAERYTHRITOLTETRANITRATE (PETN),2.5E+01,2.2E+04,2.5E+01,2.2E+04,,
PERCHLORATE,1.2E+00,5.0E+03,1.2E+00,6.0E+02,,
PHENANTHRENE,4.6E+02,3.0E+02,6.9E+01,2.3E+00,,
PHENOL,9.3E+00,3.0E+02,1.8E+00,5.8E+01,,
POLYCHLORINATED BIPHENYLS (PCBs),1.2E+00,2.0E+00,1.2E+00,1.4E-02,,
PROPICONAZOLE,1.1E+02,4.3E+02,2.5E+01,9.5E+01,,
PYRENE,4.4E+01,6.8E+01,4.4E+01,4.6E+00,,
SELENIUM,7.8E+01,2.0E+01,7.8E+01,5.0E+00,,
SILVER,7.8E+01,1.0E+00,7.8E+01,1.0E-01,,
SIMAZINE,1.9E+00,8.0E+01,2.2E-01,9.0E+00,,
STYRENE,1.0E+01,1.1E+02,2.9E+00,3.2E+01,,
TERBACIL,2.2E+00,2.6E+02,2.2E+00,2.6E+02,,
tert-BUTYL ALCOHOL,9.9E+01,5.0E+04,9.9E+01,1.8E+04,,
"TETRACHLOROETHANE, 1,1,1,2-",2.2E+00,7.7E+02,3.2E-01,1.1E+01,,
"TETRACHLOROETHANE, 1,1,2,2-",1.0E-02,2.4E+02,1.0E-02,2.0E+02,,
TETRACHLOROETHYLENE,9.8E-02,1.9E+02,9.8E-02,5.3E+01,,
"TETRACHLOROPHENOL, 2,3,4,6-",5.1E-01,1.1E+01,5.6E-02,1.2E+00,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",1.1E+02,1.2E+03,1.9E+01,2.2E+02,,
THALLIUM,7.8E-01,4.7E+02,7.8E-01,6.0E+00,,
TOLUENE,3.2E+01,4.0E+02,7.8E-01,9.8E+00,,
TOXAPHENE,4.9E-01,2.1E-01,4.9E-01,2.0E-04,,
TPH (gasolines),1.0E+02,5.0E+03,1.0E+02,5.0E+02,,
TPH (middle distillates),2.6E+02,2.5E+03,2.6E+02,6.4E+02,,
TPH (residual fuels),5.0E+02,2.5E+03,5.0E+02,6.4E+02,,
"TRICHLOROBENZENE, 1,2,4-",1.6E-01,4.2E+02,1.6E-01,1.1E+02,,
"TRICHLOROETHANE, 1,1,1-",2.2E+02,6.0E+03,1.2E+00,1.1E+01,,
"TRICHLOROETHANE, 1,1,2-",8.9E-03,1.1E+02,8.9E-03,1.1E+02,,
TRICHLOROETHYLENE,8.9E-02,2.1E+02,8.9E-02,4.7E+01,,
"TRICHLOROPHENOL, 2,4,5-",4.5E+00,1.7E+01,5.0E-01,1.9E+00,,
"TRICHLOROPHENOL, 2,4,6-",2.5E+00,3.9E+01,3.1E-01,4.9E+00,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",1.2E+01,6.9E+02,1.2E+01,6.9E+02,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",7.9E+00,2.7E+02,8.7E-01,3.0E+01,,
"TRICHLOROPROPANE, 1,2,3-",1.6E-03,1.4E+02,1.6E-03,1.4E+01,,
"TRICHLOROPROPENE, 1,2,3-",8.1E-02,6.2E-01,8.1E-02,6.2E-01,,
TRIFLURALIN,5.6E+01,2.1E+01,1.8E+01,1.1E+00,,
"TRINITROBENZENE, 1,3,5-",7.5E+00,2.7E+01,2.8E+00,1.0E+01,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",3.1E+01,4.0E+01,3.1E+01,4.0E+01,,
"TRINITROTOLUENE, 2,4,6- (TNT)",7.3E+00,2.1E+02,6.1E+00,1.3E+01,,
VANADIUM,7.7E+02,9.0E+01,7.7E+02,2.7E+01,,
VINYL CHLORIDE,3.6E-02,1.8E+01,3.6E-02,1.8E+01,,
XYLENES,2.4E+01,2.3E+02,1.4E+00,1.3E+01,,
ZINC,1.0E+03,2.2E+01,1.0E+03,2.2E+01,,
"Electrical Conductivity
(mS/cm, USEPA Method 120.1 MOD)",2.0,not applicable,2.0,not applicable,,
Sodium Adsorption Ratio,5.0,not applicable,5.0,not applicable,,
,,,,,,
Notes:,,,,,,
"1. Based on unrestricted current or future land use.  Considered adequate for residential housing, schools, medical facilities, day-care centers, parks and other sensitive uses.",,,,,,
"2. Assumes potential discharge of groundwater into a freshwater, marine or estuary surface water system. Compare to dissolved-phase concentration.",,,,,,
,,,,,,
"Source of Soil Action Levels: Refer to Appendix 1, Tables B-1 and B-2.",,,,,,
"Source of Groundwater Action Levels: Appendix 1, Table D-1c (<150m to Surface Water Body) and Table D-1d (>150m to Surface Water Body).",,,,,,
"Soil data should be reported on dry-weight basis (see Appendix 1, Section 6.2).",,,,,,
"Soil Action Levels intended to address direct-exposure, vapor intrusion, groundwater protection (leaching) and gross contamination hazards. Soil gas data should be collected for additional evaluation of potential vapor intrusion hazards at sites with significant areas of VOC-impacted soil.  See also Section 4.4 and Table C.  The need for a site-specific, ecological risk assessment should be evaluated if sensitive, terrestrial or aquatic habitats are within or nearby areas of contaminated soil.",,,,,,
"Groundwater Action Levels intended to address surface water impacts, vapor intrusion and nuisance hazards Use in conjunction with soil gas action levels to evaluate potential impacts to vapor intrusion hazards if groundwater action levels for this concern approached or exceeded (refer to Table C-1a in Appendix 1).  See also Section 4.4 and Table C.",,,,,,
Groundwater action levels should be compared to dissolved-phase chemical concentrations unless otherwise instructed by HDOH.,,,,,,
Groundwater ALs >150m to Surface Water Body: Groundwater screened with respect to acute surface water goals (See Table D-1d).,,,,,,
Groundwater ALs <150m to Surface Water Body: Groundwater screened with respect to chronic surface water goals (see Table D-1c).,,,,,,
"TPH -Total Petroleum Hydrocarbons: TPH Action Levels must be used in conjunction with Action Levels for related chemicals (e.g., BTEX, PAHs, ",,,,,,
"oxidizers, etc.).  See Section 2.6 in text.  ",,,,,,
"TPH soil action levels for gross contamination hazards in isolated soils may be used as final cleanup levels if soil situated >3m deep at residential site and >1m (or otherwise capped) at commercial sites AND site data indicate that remaining contamination will not pose leaching or vapor intrusion hazards (refer to Table F-3 in Appendix 1; TPHg = 4,500 mg/kg, TPHmd & TPHrf = 5,000 mg/kg). TPH soil action levels noted in above table should be applied at sites with elevated threats to drinking water resources or aquatic habitats.  Refer to Section 2.6 in text.",,,,,,
,,,,,,
