"TABLE C-2. 1SHALLOW SOIL VAPOR ACTION LEVELS
FOR EVALUATION OF POTENTIAL VAPOR INTRUSION HAZARDS
CHLOROFORM,V,L,2.4E+02,2.4E+02,4.1E+04,2.1E+03,2.1E+03,3.4E+05,,,,,
CHLOROMETHANE,V,G,3.8E+04,,3.8E+04,3.2E+05,,3.2E+05,,,,,
"CHLOROPHENOL, 2-",V,L,8.3E+03,,8.3E+03,7.0E+04,,7.0E+04,,,,,
CHROMIUM (Total),NV,S,,,,,,,,,,,
CHROMIUM III,NV,S,,,,,,,,,,,
CHROMIUM VI,NV,S,,,,,,,,,,,
CHRYSENE,NV,S,,,,,,,,,,,
COBALT,NV,S,,,,,,,,,,,
COPPER,NV,S,,,,,,,,,,,
CYANIDE (Free),V,S,3.3E+02,,3.3E+02,2.8E+03,,2.8E+03,,,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",NV,S,,,,,,,,,,,
DALAPON,NV,L,,,,,,,,,,,
"DIBENZO(a,h)ANTHTRACENE",NV,S,,,,,,,,,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",V,L,3.4E-01,3.4E-01,8.3E+01,8.2E+00,8.2E+00,7.0E+02,,,,,
DIBROMOCHLOROMETHANE,V,S,2.7E+02,2.7E+02,3.3E+04,2.3E+03,2.3E+03,2.8E+05,,,,,
"DIBROMOETHANE, 1,2-",V,S,9.4E+00,9.4E+00,3.8E+03,8.2E+01,8.2E+01,3.2E+04,,,,,
"DICHLOROBENZENE, 1,2-",V,L,8.3E+04,,8.3E+04,7.0E+05,,7.0E+05,,,,,
"DICHLOROBENZENE, 1,3-",V,L,5.0E+04,,5.0E+04,4.2E+05,,4.2E+05,,,,,
"DICHLOROBENZENE, 1,4-",V,S,5.1E+02,5.1E+02,3.3E+05,4.5E+03,4.5E+03,2.8E+06,,,,,
"DICHLOROBENZIDINE, 3,3-",NV,S,,,,,,,,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),NV,S,,,,,,,,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),SV,S,5.8E+01,5.8E+01,,5.1E+02,5.1E+02,,,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),NV,S,,,,,,,,,,,
"DICHLOROETHANE, 1,1-",V,L,3.5E+03,3.5E+03,3.3E+05,3.1E+04,3.1E+04,2.8E+06,,,,,
"DICHLOROETHANE, 1,2-",V,L,2.2E+02,2.2E+02,2.9E+03,1.9E+03,1.9E+03,2.5E+04,,,,,
"DICHLOROETHYLENE, 1,1-",V,L,8.3E+04,,8.3E+04,7.0E+05,,7.0E+05,,,,,
"DICHLOROETHYLENE, Cis 1,2-",V,L,3.3E+03,,3.3E+03,2.8E+04,,2.8E+04,,,,,
"DICHLOROETHYLENE, Trans 1,2-",V,L,3.3E+04,,3.3E+04,2.8E+05,,2.8E+05,,,,,
"DICHLOROPHENOL, 2,4-",NV,S,,,,,,,,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",NV,S,,,,,,,,,,,
"DICHLOROPROPANE, 1,2-",V,L,5.6E+02,5.6E+02,1.7E+03,4.9E+03,4.9E+03,1.4E+04,,,,,
"DICHLOROPROPENE, 1,3-",V,L,1.4E+03,1.4E+03,8.3E+03,1.2E+04,1.2E+04,7.0E+04,,,,,
DIELDRIN,NV,S,,,,,,,,,,,
DIETHYLPHTHALATE,NV,S,,,,,,,,,,,
"DIMETHYLPHENOL, 2,4-",NV,S,,,,,,,,,,,
DIMETHYLPHTHALATE,NV,S,,,,,,,,,,,
"DINITROBENZENE, 1,3-",NV,S,,,,,,,,,,,
"DINITROPHENOL, 2,4-",NV,S,,,,,,,,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",NV,S,,,,,,,,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",NV,S,,,,,,,,,,,
"DIOXANE, 1,4-",V,L,1.1E+03,1.1E+03,1.3E+04,9.8E+03,9.8E+03,1.1E+05,,,,,
DIOXINS (TEQ),SV,S,1.5E-02,1.5E-02,2.8E-02,1.3E-01,1.3E-01,2.3E-01,,,,,
DIURON,NV,S,,,,,,,,,,,
ENDOSULFAN,SV,S,,,,,,,,,,,
ENDRIN,NV,S,,,,,,,,,,,
ETHANOL,V,L,,,,,,,,,,,
ETHYLBENZENE,V,L,2.2E+04,2.2E+04,4.2E+05,2.0E+05,2.0E+05,3.5E+06,,,,,
FLUORANTHENE,NV,S,,,,,,,,,,,
FLUORENE,V,S,6.7E+04,,6.7E+04,5.6E+05,,5.6E+05,,,,,
GLYPHOSATE,NV,S,,,,,,,,,,,
HEPTACHLOR,SV,S,4.3E+00,4.3E+00,,3.8E+01,3.8E+01,,,,,,
HEPTACHLOR EPOXIDE,SV,S,2.2E+00,2.2E+00,,1.9E+01,1.9E+01,,,,,,
HEXACHLOROBENZENE,SV,S,1.2E+01,1.2E+01,,1.1E+02,1.1E+02,,,,,,
HEXACHLOROBUTADIENE,SV,S,2.6E+02,2.6E+02,,2.2E+03,2.2E+03,,,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,NV,S,,,,,,,,,,,
HEXACHLOROETHANE,SV,S,5.1E+02,5.1E+02,1.3E+04,4.5E+03,4.5E+03,1.1E+05,,,,,
HEXAZINONE,NV,S,,,,,,,,,,,
"INDENO(1,2,3-cd)PYRENE",NV,S,,,,,,,,,,,
ISOPHORONE,NV,L,,,,,,,,,,,
LEAD,NV,S,,,,,,,,,,,
MERCURY,NV,S,,,,,,,,,,,
METHOXYCHLOR,NV,S,,,,,,,,,,,
METHYL ETHYL KETONE,V,L,2.1E+06,,2.1E+06,1.8E+07,,1.8E+07,,,,,
METHYL ISOBUTYL KETONE,V,L,1.3E+06,,1.3E+06,1.1E+07,,1.1E+07,,,,,
METHYL MERCURY,NV,S,,,,,,,,,,,
METHYL TERT BUTYL ETHER,V,L,2.2E+04,2.2E+04,1.3E+06,1.9E+05,1.9E+05,1.1E+07,,,,,
METHYLENE CHLORIDE,V,L,2.0E+05,2.0E+05,2.5E+05,2.1E+06,4.9E+06,2.1E+06,,,,,
"METHYLNAPHTHALENE, 1-",V,S,7.7E+03,7.7E+03,1.2E+05,6.8E+04,6.8E+04,9.8E+05,,,,,
"METHYLNAPHTHALENE, 2-",V,S,6.7E+03,,6.7E+03,5.6E+04,,5.6E+04,,,,,
MOLYBDENUM,NV,S,,,,,,,,,,,
NAPHTHALENE,V,S,1.3E+03,1.7E+03,1.3E+03,1.1E+04,1.4E+04,1.1E+04,,,,,
NICKEL,NV,S,,,,,,,,,,,
NITROBENZENE,V,L,1.4E+02,1.4E+02,3.8E+03,1.2E+03,1.2E+03,3.2E+04,,,,,
NITROGLYCERIN,NV,L,,,,,,,,,,,
"NITROTOLUENE, 2-",V,S,1.0E+02,1.0E+02,1.5E+03,8.9E+02,8.9E+02,1.3E+04,,,,,
"NITROTOLUENE, 3-",NV,S,,,,,,,,,,,
"NITROTOLUENE, 4-",NV,S,,,,,,,,,,,
PENTACHLOROPHENOL,NV,S,,,,,,,,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),NV,S,,,,,,,,,,,
PERCHLORATE,NV,S,,,,,,,,,,,
PHENANTHRENE,V,S,6.7E+04,,6.7E+04,5.6E+05,,5.6E+05,,,,,
PHENOL,NV,S,,,,,,,,,,,
POLYCHLORINATED BIPHENYLS (PCBs),SV,S,9.9E+01,9.9E+01,,8.6E+02,8.6E+02,,,,,,
PROPICONAZOLE,NV,L,,,,,,,,,,,
PYRENE,V,S,5.0E+04,,5.0E+04,4.2E+05,,4.2E+05,,,,,
SELENIUM,NV,S,,,,,,,,,,,
SILVER,NV,S,,,,,,,,,,,
SIMAZINE,NV,S,,,,,,,,,,,
STYRENE,V,L,4.2E+05,,4.2E+05,3.5E+06,,3.5E+06,,,,,
TERBACIL,NV,S,,,,,,,,,,,
tert-BUTYL ALCOHOL,V,L,7.5E+03,7.5E+03,,6.5E+04,6.5E+04,,,,,,
"TETRACHLOROETHANE, 1,1,1,2-",V,L,7.6E+02,7.6E+02,5.0E+04,6.6E+03,6.6E+03,4.2E+05,,,,,
"TETRACHLOROETHANE, 1,1,2,2-",V,L,9.7E+01,9.7E+01,,8.5E+02,8.5E+02,,,,,,
TETRACHLOROETHYLENE,V,L,9.2E+02,9.2E+02,1.7E+04,8.0E+03,8.0E+03,1.4E+05,,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",NV,S,,,,,,,,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",NV,S,,,,,,,,,,,
THALLIUM,NV,S,,,,,,,,,,,
TOLUENE,V,L,2.1E+06,,2.1E+06,1.8E+07,,1.8E+07,,,,,
TOXAPHENE,NV,S,,,,,,,,,,,
TPH (gasolines),V,L,5.9E+05,,5.9E+05,4.9E+06,,4.9E+06,,,,,
TPH (middle distillates),V,L,2.6E+05,,2.6E+05,2.2E+06,,2.2E+06,,,,,
TPH (residual fuels),NV,L,,,,,,,,,,,
"TRICHLOROBENZENE, 1,2,4-",V,S,7.7E+02,7.7E+02,8.3E+02,6.8E+03,6.8E+03,7.0E+03,,,,,
"TRICHLOROETHANE, 1,1,1-",V,L,2.1E+06,,2.1E+06,1.8E+07,,1.8E+07,,,,,
"TRICHLOROETHANE, 1,1,2-",V,L,8.3E+01,3.5E+02,8.3E+01,7.0E+02,3.1E+03,7.0E+02,,,,,
TRICHLOROETHYLENE,V,L,8.3E+02,9.6E+02,8.3E+02,7.0E+03,1.2E+04,7.0E+03,,,,,
"TRICHLOROPHENOL, 2,4,5-",NV,S,,,,,,,,,,,
"TRICHLOROPHENOL, 2,4,6-",NV,S,,,,,,,,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",NV,S,,,,,,,,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",NV,S,,,,,,,,,,,
"TRICHLOROPROPANE, 1,2,3-",V,L,2.7E-01,2.7E-01,1.3E+02,6.5E+00,6.5E+00,1.1E+03,,,,,
"TRICHLOROPROPENE, 1,2,3-",V,L,1.3E+02,,1.3E+02,1.1E+03,,1.1E+03,,,,,
TRIFLURALIN,SV,S,,,,,,,,,,,
"TRINITROBENZENE, 1,3,5-",NV,S,,,,,,,,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",NV,S,,,,,,,,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",NV,S,,,,,,,,,,,
VANADIUM,NV,S,,,,,,,,,,,
VINYL CHLORIDE,V,G,3.4E+02,3.4E+02,4.2E+04,1.1E+04,1.1E+04,3.5E+05,,,,,
XYLENES,V,L,4.2E+04,,4.2E+04,3.5E+05,,3.5E+05,,,,,
ZINC,NV,S,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
"1. Shallow soil gas defined as soil gas sample data collected within 1.5 meters (five feet) from a building foundation or the ground surface.  Assumes very permeable (e.g., sandy) fill",,,,,,,,,,,,,
"material immediately beneath building slab or could be present below future buildings following redevelopment.  Evaluation of deeper soil gas data (e.g., >1.5m bgs) should be",,,,,,,,,,,,,
carried out on a site-specific basis.,,,,,,,,,,,,,
"2. Based on unrestricted current or future land use.  Considered adequate for residential housing, schools, medical facilities, day-care centers and other sensitive uses.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Soil gas action levels intended to be protective of indoor air quality, calculated for volatile chemicals only.",,,,,,,,,,,,,
"Physical state of chemical at ambient conditions (V - volatile, NV - nonvolatile, S - solid, L - liquid, G - gas).",,,,,,,,,,,,,
"Chemical considered to be ""volatile"" if Henry's number (atm m3/mole) >0.00001 and molecular weight <200.",,,,,,,,,,,,,
"Dibromochloromethane, dibromochloropropane and pyrene considered volatile for purposes of modeling (USEPA 2004, 2008).  ",,,,,,,,,,,,,
"Target cancer risk = 1E-06, Target Hazard Quotient = 0.2 for all chemicals except as noted.",,,,,,,,,,,,,
Target Hazard Quotient = 1.0 for TPH.,,,,,,,,,,,,,
Residential soil gas:indoor air attenuation factor = 0.001 (1/1000).  Commercial/industrial soil gas:indoor air attenuation factor = 0.0005 (1/2000).  Refer to Section 3.3. ,,,,,,,,,,,,,
Soil gas action levels for TPHgasolines based on action levels for TPHmiddle distillates due to potential for mixture of fuel types at release sites.,,,,,,,,,,,,,
Soil gas action levels do not address mass-balance issues.  May be overly conservative for sites with low permeability soils immediately beneath a building slab,,,,,,,,,,,,,
or limited soil impacts and no source of VOCs in groundwater.,,,,,,,,,,,,,
Indoor-air sampling and/or passive vapor mitigation measures may be prudent for sites where concentrations of,,,,,,,,,,,,,
chemicals in soil gas approach but do not exceed action levels.  Consider other sources of VOCs in all indoor air studies.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
