"TABLE D-5. CALIFORNIA AGRICULTURAL 
WATER QUALITY GOALS",,,,
(ug/l),,,,
GLYPHOSATE,-,,,
HEPTACHLOR,-,,,
HEPTACHLOR EPOXIDE,-,,,
HEXACHLOROBENZENE,-,,,
HEXACHLOROBUTADIENE,-,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,-,,,
HEXACHLOROETHANE,-,,,
HEXAZINONE,-,,,
"INDENO(1,2,3-cd)PYRENE",-,,,
ISOPHORONE,-,,,
LEAD,-,,,
MERCURY,-,,,
METHOXYCHLOR,-,,,
METHYL ETHYL KETONE,-,,,
METHYL ISOBUTYL KETONE,-,,,
METHYL MERCURY,-,,,
METHYL TERT BUTYL ETHER,-,,,
METHYLENE CHLORIDE,-,,,
"METHYLNAPHTHALENE, 1-",-,,,
"METHYLNAPHTHALENE, 2-",-,,,
MOLYBDENUM,1.0E+01,,,
NAPHTHALENE,-,,,
NICKEL,2.0E+02,,,
NITROBENZENE,-,,,
NITROGLYCERIN,-,,,
"NITROTOLUENE, 2-",-,,,
"NITROTOLUENE, 3-",-,,,
"NITROTOLUENE, 4-",-,,,
PENTACHLOROPHENOL,-,,,
PENTAERYTHRITOLTETRANITRATE (PETN),-,,,
PERCHLORATE,-,,,
PHENANTHRENE,-,,,
PHENOL,-,,,
POLYCHLORINATED BIPHENYLS (PCBs),-,,,
PROPICONAZOLE,-,,,
PYRENE,-,,,
SELENIUM,2.0E+01,,,
SILVER,-,,,
SIMAZINE,-,,,
STYRENE,-,,,
TERBACIL,-,,,
tert-BUTYL ALCOHOL,-,,,
"TETRACHLOROETHANE, 1,1,1,2-",-,,,
"TETRACHLOROETHANE, 1,1,2,2-",-,,,
TETRACHLOROETHYLENE,-,,,
"TETRACHLOROPHENOL, 2,3,4,6-",-,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",-,,,
THALLIUM,-,,,
TOLUENE,-,,,
TOXAPHENE,-,,,
TPH (gasolines),-,,,
TPH (middle distillates),-,,,
TPH (residual fuels),-,,,
"TRICHLOROBENZENE, 1,2,4-",-,,,
"TRICHLOROETHANE, 1,1,1-",-,,,
"TRICHLOROETHANE, 1,1,2-",-,,,
TRICHLOROETHYLENE,-,,,
"TRICHLOROPHENOL, 2,4,5-",-,,,
"TRICHLOROPHENOL, 2,4,6-",-,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",-,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",-,,,
"TRICHLOROPROPANE, 1,2,3-",-,,,
"TRICHLOROPROPENE, 1,2,3-",-,,,
TRIFLURALIN,-,,,
"TRINITROBENZENE, 1,3,5-",-,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",-,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",-,,,
VANADIUM,1.0E+02,,,
VINYL CHLORIDE,-,,,
XYLENES,-,,,
ZINC,2.0E+03,,,
References:,,,,
A Compiliation of Water Quality Goals (RWQCBCV 2007).,,,,
,,,,
Notes:,,,,
Addresses use of water (including groundwater) for,,,,
agricultural/irrigation purposes.,,,,
,,,,
