"TABLE D-2b. SURFACE WATER ACTION LEVELS
Marine Habitats",,,,,
(ug/l),,,,,
CHLOROBENZENE,5.0E+01,Ceiling Level,5.0E+01,6.4E+01,2.1E+04
CHLOROETHANE,1.6E+01,Ceiling Level,1.6E+01,2.1E+04,
CHLOROFORM,5.1E+00,Bioaccumulation/Human Consumption,2.4E+03,2.8E+01,5.1E+00
CHLOROMETHANE,1.9E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,1.9E+02,
"CHLOROPHENOL, 2-",1.8E-01,Ceiling Level,1.8E-01,4.0E+02,1.5E+02
CHROMIUM (Total),5.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,5.0E+01,
CHROMIUM III,2.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,2.0E+01,
CHROMIUM VI,5.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,5.0E+01,
CHRYSENE,1.8E-02,Bioaccumulation/Human Consumption,1.0E+00,2.0E+00,1.8E-02
COBALT,2.3E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,2.3E+01,
COPPER,2.9E+00,Aquatic Habitat Chronic Toxicity,5.0E+04,2.9E+00,
CYANIDE (Free),1.0E+00,Aquatic Habitat Chronic Toxicity,1.7E+02,1.0E+00,2.2E+05
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",1.9E+02,Aquatic Habitat Chronic Toxicity,3.0E+04,1.9E+02,
DALAPON,3.0E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,3.0E+02,
"DIBENZO(a,h)ANTHTRACENE",1.8E-02,Bioaccumulation/Human Consumption,1.3E+00,7.1E+00,1.8E-02
"DIBROMO,1,2- CHLOROPROPANE,3-",4.0E-02,Aquatic Habitat Chronic Toxicity,1.0E+01,4.0E-02,
DIBROMOCHLOROMETHANE,1.3E+01,Bioaccumulation/Human Consumption,5.0E+04,3.4E+01,1.3E+01
"DIBROMOETHANE, 1,2-",1.4E+03,Aquatic Habitat Chronic Toxicity,5.0E+04,1.4E+03,
"DICHLOROBENZENE, 1,2-",1.0E+01,Ceiling Level,1.0E+01,1.4E+01,8.5E+02
"DICHLOROBENZENE, 1,3-",7.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,7.1E+01,8.5E+02
"DICHLOROBENZENE, 1,4-",1.1E+01,Ceiling Level,1.1E+01,1.5E+01,8.5E+02
"DICHLOROBENZIDINE, 3,3-",7.0E-03,Bioaccumulation/Human Consumption,1.6E+03,4.5E+00,7.0E-03
DICHLORODIPHENYLDICHLOROETHANE (DDD),3.1E-04,Bioaccumulation/Human Consumption,4.5E+01,1.1E-02,3.1E-04
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.2E-04,Bioaccumulation/Human Consumption,2.0E+01,4.1E-01,2.2E-04
DICHLORODIPHENYLTRICHLOROETHANE (DDT),8.0E-06,Bioaccumulation/Human Consumption,2.8E+00,1.0E-03,8.0E-06
"DICHLOROETHANE, 1,1-",4.7E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,4.7E+01,
"DICHLOROETHANE, 1,2-",7.9E+01,Bioaccumulation/Human Consumption,2.0E+04,9.1E+02,7.9E+01
"DICHLOROETHYLENE, 1,1-",6.0E-01,Bioaccumulation/Human Consumption,1.5E+03,2.5E+01,6.0E-01
"DICHLOROETHYLENE, Cis 1,2-",6.2E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,6.2E+02,
"DICHLOROETHYLENE, Trans 1,2-",2.6E+02,Ceiling Level,2.6E+02,5.6E+02,140000
"DICHLOROPHENOL, 2,4-",3.0E-01,Ceiling Level,3.0E-01,7.9E+02,2.9E+02
"DICHLOROPHENOXYACETIC ACID (2,4-D)",7.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,7.0E+01,
"DICHLOROPROPANE, 1,2-",1.0E+01,Ceiling Level,1.0E+01,5.2E+02,1.5E+01
"DICHLOROPROPENE, 1,3-",6.0E-02,Aquatic Habitat Chronic Toxicity,5.0E+04,6.0E-02,4.6E+00
DIELDRIN,2.5E-05,Bioaccumulation/Human Consumption,4.1E+01,1.9E-03,2.5E-05
DIETHYLPHTHALATE,2.1E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,2.1E+02,4.4E+04
"DIMETHYLPHENOL, 2,4-",1.2E+02,Aquatic Habitat Chronic Toxicity,4.0E+02,1.2E+02,8.5E+02
DIMETHYLPHTHALATE,2.9E+03,Aquatic Habitat Chronic Toxicity,5.0E+04,2.9E+03,1.1E+06
"DINITROBENZENE, 1,3-",1.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.0E+01,
"DINITROPHENOL, 2,4-",1.4E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.4E+01,5.3E+03
"DINITROTOLUENE, 2,4- (2,4-DNT)",3.0E+00,Bioaccumulation/Human Consumption,5.0E+04,9.1E+00,3.0E+00
"DINITROTOLUENE, 2,6- (2,6-DNT)",8.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,8.1E+01,
"DIOXANE, 1,4-",5.0E+04,Ceiling Level,5.0E+04,5.0E+05,
DIOXINS (TEQ),3.1E-09,Aquatic Habitat Chronic Toxicity,1.0E-01,3.1E-09,5.0E-09
DIURON,6.0E+01,Aquatic Habitat Chronic Toxicity,2.1E+04,6.0E+01,
ENDOSULFAN,8.7E-03,Aquatic Habitat Chronic Toxicity,1.6E+02,8.7E-03,5.2E+01
ENDRIN,2.3E-03,Aquatic Habitat Chronic Toxicity,4.1E+01,2.3E-03,8.1E-01
ETHANOL,5.0E+04,Ceiling Level,5.0E+04,,
ETHYLBENZENE,7.3E+00,Aquatic Habitat Chronic Toxicity,3.0E+01,7.3E+00,1.1E+03
FLUORANTHENE,7.1E+00,Aquatic Habitat Chronic Toxicity,1.3E+02,7.1E+00,1.8E+01
FLUORENE,3.9E+00,Aquatic Habitat Chronic Toxicity,8.5E+02,3.9E+00,5.3E+03
GLYPHOSATE,1.8E+03,Aquatic Habitat Chronic Toxicity,5.0E+04,1.8E+03,
HEPTACHLOR,9.0E-05,Bioaccumulation/Human Consumption,2.0E+01,3.6E-03,9.0E-05
HEPTACHLOR EPOXIDE,3.9E-05,Bioaccumulation/Human Consumption,1.0E+02,3.6E-03,3.9E-05
HEXACHLOROBENZENE,2.4E-04,Bioaccumulation/Human Consumption,3.1E+00,3.0E-04,2.4E-04
HEXACHLOROBUTADIENE,3.0E-01,Aquatic Habitat Chronic Toxicity,6.0E+00,3.0E-01,1.6E+01
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,2.0E-02,Bioaccumulation/Human Consumption,3.7E+03,6.3E-02,2.0E-02
HEXACHLOROETHANE,2.9E+00,Bioaccumulation/Human Consumption,1.0E+01,1.2E+01,2.9E+00
HEXAZINONE,1.7E+04,Aquatic Habitat Chronic Toxicity,5.0E+04,1.7E+04,
"INDENO(1,2,3-cd)PYRENE",1.8E-02,Bioaccumulation/Human Consumption,9.5E-02,2.8E-01,1.8E-02
ISOPHORONE,9.2E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,9.2E+02,1.7E+05
LEAD,5.6E+00,Aquatic Habitat Chronic Toxicity,5.0E+04,5.6E+00,
MERCURY,2.5E-02,Aquatic Habitat Chronic Toxicity,5.0E+04,2.5E-02,4.7E-02
METHOXYCHLOR,3.0E-02,Aquatic Habitat Chronic Toxicity,5.0E+01,3.0E-02,
METHYL ETHYL KETONE,8.4E+03,Ceiling Level,8.4E+03,1.4E+04,
METHYL ISOBUTYL KETONE,1.7E+02,Aquatic Habitat Chronic Toxicity,1.3E+03,1.7E+02,
METHYL MERCURY,2.8E-03,Aquatic Habitat Chronic Toxicity,5.0E+04,2.8E-03,
METHYL TERT BUTYL ETHER,1.8E+02,Ceiling Level,1.8E+02,1.8E+04,
METHYLENE CHLORIDE,5.9E+02,Bioaccumulation/Human Consumption,9.1E+03,2.2E+03,5.9E+02
"METHYLNAPHTHALENE, 1-",2.1E+00,Aquatic Habitat Chronic Toxicity,1.0E+01,2.1E+00,
"METHYLNAPHTHALENE, 2-",1.0E+01,Ceiling Level,1.0E+01,7.2E+01,
MOLYBDENUM,3.7E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,3.7E+02,
NAPHTHALENE,1.2E+01,Aquatic Habitat Chronic Toxicity,2.1E+01,1.2E+01,
NICKEL,8.3E+00,Aquatic Habitat Chronic Toxicity,5.0E+04,8.3E+00,3.3E+01
NITROBENZENE,3.8E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,3.8E+02,
NITROGLYCERIN,1.8E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.8E+01,
"NITROTOLUENE, 2-",7.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,7.1E+01,
"NITROTOLUENE, 3-",4.2E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,4.2E+01,
"NITROTOLUENE, 4-",4.6E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,4.6E+01,
PENTACHLOROPHENOL,3.0E+00,Bioaccumulation/Human Consumption,5.9E+02,7.9E+00,3.0E+00
PENTAERYTHRITOLTETRANITRATE (PETN),2.2E+04,Ceiling Level,2.2E+04,8.5E+05,
PERCHLORATE,6.0E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,6.0E+02,
PHENANTHRENE,4.6E+00,Aquatic Habitat Chronic Toxicity,4.1E+02,4.6E+00,
PHENOL,5.8E+01,Aquatic Habitat Chronic Toxicity,7.9E+03,5.8E+01,1.7E+06
POLYCHLORINATED BIPHENYLS (PCBs),7.9E-05,Bioaccumulation/Human Consumption,2.2E+01,3.0E-02,7.9E-05
PROPICONAZOLE,9.5E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,9.5E+01,
PYRENE,1.0E+01,Aquatic Habitat Chronic Toxicity,6.8E+01,1.0E+01,4.0E+03
SELENIUM,7.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,7.1E+01,
SILVER,1.0E-01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.0E-01,
SIMAZINE,9.0E+00,Aquatic Habitat Chronic Toxicity,3.1E+03,9.0E+00,
STYRENE,1.1E+01,Ceiling Level,1.1E+01,3.2E+01,
TERBACIL,2.6E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,2.6E+02,
tert-BUTYL ALCOHOL,1.8E+04,Aquatic Habitat Chronic Toxicity,5.0E+04,1.8E+04,
"TETRACHLOROETHANE, 1,1,1,2-",1.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.1E+01,
"TETRACHLOROETHANE, 1,1,2,2-",3.5E+00,Bioaccumulation/Human Consumption,5.0E+02,6.1E+02,3.5E+00
TETRACHLOROETHYLENE,2.9E+00,Bioaccumulation/Human Consumption,3.0E+02,1.5E+02,2.9E+00
"TETRACHLOROPHENOL, 2,3,4,6-",1.2E+00,Aquatic Habitat Chronic Toxicity,1.2E+04,1.2E+00,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",3.3E+02,Aquatic Habitat Chronic Toxicity,2.5E+03,3.3E+02,
THALLIUM,1.2E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.2E+01,1.6E+01
TOLUENE,9.8E+00,Aquatic Habitat Chronic Toxicity,4.0E+01,9.8E+00,1.4E+05
TOXAPHENE,2.0E-04,Aquatic Habitat Chronic Toxicity,1.4E+02,2.0E-04,2.4E-04
TPH (gasolines),3.7E+03,Aquatic Habitat Chronic Toxicity,5.0E+03,3.7E+03,
TPH (middle distillates),6.4E+02,Aquatic Habitat Chronic Toxicity,2.5E+03,6.4E+02,
TPH (residual fuels),6.4E+02,Aquatic Habitat Chronic Toxicity,2.5E+03,6.4E+02,
"TRICHLOROBENZENE, 1,2,4-",1.1E+02,Aquatic Habitat Chronic Toxicity,3.0E+03,1.1E+02,
"TRICHLOROETHANE, 1,1,1-",1.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.1E+01,3.4E+05
"TRICHLOROETHANE, 1,1,2-",1.4E+01,Bioaccumulation/Human Consumption,5.0E+04,1.2E+03,1.4E+01
TRICHLOROETHYLENE,2.6E+01,Bioaccumulation/Human Consumption,1.0E+04,4.7E+01,2.6E+01
"TRICHLOROPHENOL, 2,4,5-",1.2E+01,Aquatic Habitat Chronic Toxicity,2.0E+02,1.2E+01,3.6E+03
"TRICHLOROPHENOL, 2,4,6-",1.2E+00,Bioaccumulation/Human Consumption,1.0E+02,6.5E+00,1.2E+00
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",6.9E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,6.9E+02,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",5.0E+01,Aquatic Habitat Chronic Toxicity,3.6E+04,5.0E+01,
"TRICHLOROPROPANE, 1,2,3-",1.4E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.4E+01,
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,Aquatic Habitat Chronic Toxicity,5.0E+04,6.2E-01,
TRIFLURALIN,1.1E+00,Aquatic Habitat Chronic Toxicity,9.0E+01,1.1E+00,
"TRINITROBENZENE, 1,3,5-",1.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.0E+01,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,Aquatic Habitat Chronic Toxicity,3.7E+04,4.0E+01,
"TRINITROTOLUENE, 2,4,6- (TNT)",2.0E+01,Ceiling Level,2.0E+01,9.0E+01,
VANADIUM,8.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,8.1E+01,
VINYL CHLORIDE,1.7E+02,Bioaccumulation/Human Consumption,3.4E+03,9.3E+02,1.7E+02
XYLENES,1.3E+01,Aquatic Habitat Chronic Toxicity,5.3E+02,1.3E+01,
ZINC,8.6E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,8.6E+01,
Notes:,,,,,
"1.  Lowest of gross contamination, aquatic habitat and bioaccumulation action levels.",,,,,
,,,,,
TPH -Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,
"Ceiling Level: Odor threshold, 1/2 solubility or 50000 ug/L maximum, whichever is lower. Intended to limit",,,,,
nuisances and general resource degradation.,,,,,
"Review of aquatic ecotoxicity data for ethanol underway.  Based on preliminary review of available data, chronic toxicity screening levels likely to be",,,,,
"significantly greater than ceiling level of 50,000 ug/L (refer to USEPA 2003b, ECOTOX database).",,,,,
Method reporting limits and background concentrations replace final screening level as appropriate.,,,,,
,,,,,
