"TABLE C.  ENVIRONMENTAL ACTION LEVELS (EALs)
Indoor Air and Soil Vapor
CHLOROFORM,V,L,1.2E-01,5.3E-01,2.4E+02,2.1E+03
CHLOROMETHANE,V,G,1.9E+01,7.9E+01,3.8E+04,3.2E+05
"CHLOROPHENOL, 2-",V,L,4.2E+00,1.8E+01,8.3E+03,7.0E+04
CHROMIUM (Total),NV,S,,,,
CHROMIUM III,NV,S,,,,
CHROMIUM VI,NV,S,,,,
CHRYSENE,NV,S,,,,
COBALT,NV,S,,,,
COPPER,NV,S,,,,
CYANIDE (Free),V,S,1.7E-01,7.0E-01,3.3E+02,2.8E+03
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",NV,S,,,,
DALAPON,NV,L,,,,
"DIBENZO(a,h)ANTHTRACENE",NV,S,,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",V,L,1.7E-04,2.0E-03,3.4E-01,8.2E+00
DIBROMOCHLOROMETHANE,V,S,1.3E-01,5.8E-01,2.7E+02,2.3E+03
"DIBROMOETHANE, 1,2-",V,S,4.7E-03,2.0E-02,9.4E+00,8.2E+01
"DICHLOROBENZENE, 1,2-",V,L,4.2E+01,1.8E+02,8.3E+04,7.0E+05
"DICHLOROBENZENE, 1,3-",V,L,2.5E+01,1.1E+02,5.0E+04,4.2E+05
"DICHLOROBENZENE, 1,4-",V,S,2.6E-01,1.1E+00,5.1E+02,4.5E+03
"DICHLOROBENZIDINE, 3,3-",NV,S,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),NV,S,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),SV,S,2.9E-02,1.3E-01,5.8E+01,5.1E+02
DICHLORODIPHENYLTRICHLOROETHANE (DDT),NV,S,,,,
"DICHLOROETHANE, 1,1-",V,L,1.8E+00,7.7E+00,3.5E+03,3.1E+04
"DICHLOROETHANE, 1,2-",V,L,1.1E-01,4.7E-01,2.2E+02,1.9E+03
"DICHLOROETHYLENE, 1,1-",V,L,4.2E+01,1.8E+02,8.3E+04,7.0E+05
"DICHLOROETHYLENE, Cis 1,2-",V,L,1.7E+00,7.0E+00,3.3E+03,2.8E+04
"DICHLOROETHYLENE, Trans 1,2-",V,L,1.7E+01,7.0E+01,3.3E+04,2.8E+05
"DICHLOROPHENOL, 2,4-",NV,S,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",NV,S,,,,
"DICHLOROPROPANE, 1,2-",V,L,2.8E-01,1.2E+00,5.6E+02,4.9E+03
"DICHLOROPROPENE, 1,3-",V,L,7.0E-01,3.1E+00,1.4E+03,1.2E+04
DIELDRIN,NV,S,,,,
DIETHYLPHTHALATE,NV,S,,,,
"DIMETHYLPHENOL, 2,4-",NV,S,,,,
DIMETHYLPHTHALATE,NV,S,,,,
"DINITROBENZENE, 1,3-",NV,S,,,,
"DINITROPHENOL, 2,4-",NV,S,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",NV,S,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",NV,S,,,,
"DIOXANE, 1,4-",V,L,5.6E-01,2.5E+00,1.1E+03,9.8E+03
DIOXINS (TEQ),SV,S,7.4E-06,3.2E-05,1.5E-02,1.3E-01
DIURON,NV,S,,,,
ENDOSULFAN,SV,S,,,,
ENDRIN,NV,S,,,,
ETHANOL,V,L,,,,
ETHYLBENZENE,V,L,1.1E+01,4.9E+01,2.2E+04,2.0E+05
FLUORANTHENE,NV,S,,,,
FLUORENE,V,S,3.3E+01,1.4E+02,6.7E+04,5.6E+05
GLYPHOSATE,NV,S,,,,
HEPTACHLOR,SV,S,2.2E-03,9.4E-03,4.3E+00,3.8E+01
HEPTACHLOR EPOXIDE,SV,S,1.1E-03,4.7E-03,2.2E+00,1.9E+01
HEXACHLOROBENZENE,SV,S,6.1E-03,2.7E-02,1.2E+01,1.1E+02
HEXACHLOROBUTADIENE,SV,S,1.3E-01,5.6E-01,2.6E+02,2.2E+03
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,NV,S,,,,
HEXACHLOROETHANE,SV,S,2.6E-01,1.1E+00,5.1E+02,4.5E+03
HEXAZINONE,NV,S,,,,
"INDENO(1,2,3-cd)PYRENE",NV,S,,,,
ISOPHORONE,NV,L,,,,
LEAD,NV,S,,,,
MERCURY,NV,S,,,,
METHOXYCHLOR,NV,S,,,,
METHYL ETHYL KETONE,V,L,1.0E+03,4.4E+03,2.1E+06,1.8E+07
METHYL ISOBUTYL KETONE,V,L,6.3E+02,2.6E+03,1.3E+06,1.1E+07
METHYL MERCURY,NV,S,,,,
METHYL TERT BUTYL ETHER,V,L,1.1E+01,4.7E+01,2.2E+04,1.9E+05
METHYLENE CHLORIDE,V,L,1.0E+02,5.3E+02,2.0E+05,2.1E+06
"METHYLNAPHTHALENE, 1-",V,S,3.9E+00,1.7E+01,7.7E+03,6.8E+04
"METHYLNAPHTHALENE, 2-",V,S,3.3E+00,1.4E+01,6.7E+03,5.6E+04
MOLYBDENUM,NV,S,,,,
NAPHTHALENE,V,S,6.3E-01,2.6E+00,1.3E+03,1.1E+04
NICKEL,NV,S,,,,
NITROBENZENE,V,L,7.0E-02,3.1E-01,1.4E+02,1.2E+03
NITROGLYCERIN,NV,L,,,,
"NITROTOLUENE, 2-",V,S,5.1E-02,2.2E-01,1.0E+02,8.9E+02
"NITROTOLUENE, 3-",NV,S,,,,
"NITROTOLUENE, 4-",NV,S,,,,
PENTACHLOROPHENOL,NV,S,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),NV,S,,,,
PERCHLORATE,NV,S,,,,
PHENANTHRENE,V,S,3.3E+01,1.4E+02,6.7E+04,5.6E+05
PHENOL,NV,S,,,,
POLYCHLORINATED BIPHENYLS (PCBs),SV,S,4.9E-02,2.2E-01,9.9E+01,8.6E+02
PROPICONAZOLE,NV,L,,,,
PYRENE,V,S,2.5E+01,1.1E+02,5.0E+04,4.2E+05
SELENIUM,NV,S,,,,
SILVER,NV,S,,,,
SIMAZINE,NV,S,,,,
STYRENE,V,L,2.1E+02,8.8E+02,4.2E+05,3.5E+06
TERBACIL,NV,S,,,,
tert-BUTYL ALCOHOL,V,L,3.7E+00,1.6E+01,7.5E+03,6.5E+04
"TETRACHLOROETHANE, 1,1,1,2-",V,L,3.8E-01,1.7E+00,7.6E+02,6.6E+03
"TETRACHLOROETHANE, 1,1,2,2-",V,L,4.8E-02,2.1E-01,9.7E+01,8.5E+02
TETRACHLOROETHYLENE,V,L,4.6E-01,2.0E+00,9.2E+02,8.0E+03
"TETRACHLOROPHENOL, 2,3,4,6-",NV,S,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",NV,S,,,,
THALLIUM,NV,S,,,,
TOLUENE,V,L,1.0E+03,4.4E+03,2.1E+06,1.8E+07
TOXAPHENE,NV,S,,,,
TPH (gasolines),V,L,2.9E+02,1.2E+03,5.9E+05,4.9E+06
TPH (middle distillates),V,L,1.3E+02,5.5E+02,2.6E+05,2.2E+06
TPH (residual fuels),NV,L,,,,
"TRICHLOROBENZENE, 1,2,4-",V,S,3.9E-01,1.7E+00,7.7E+02,6.8E+03
"TRICHLOROETHANE, 1,1,1-",V,L,1.0E+03,4.4E+03,2.1E+06,1.8E+07
"TRICHLOROETHANE, 1,1,2-",V,L,4.2E-02,1.8E-01,8.3E+01,7.0E+02
TRICHLOROETHYLENE,V,L,4.2E-01,1.8E+00,8.3E+02,7.0E+03
"TRICHLOROPHENOL, 2,4,5-",NV,S,,,,
"TRICHLOROPHENOL, 2,4,6-",NV,S,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",NV,S,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",NV,S,,,,
"TRICHLOROPROPANE, 1,2,3-",V,L,1.4E-04,1.6E-03,2.7E-01,6.5E+00
"TRICHLOROPROPENE, 1,2,3-",V,L,6.3E-02,2.6E-01,1.3E+02,1.1E+03
TRIFLURALIN,SV,S,,,,
"TRINITROBENZENE, 1,3,5-",NV,S,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",NV,S,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",NV,S,,,,
VANADIUM,NV,S,,,,
VINYL CHLORIDE,V,G,1.7E-01,2.8E+00,3.4E+02,1.1E+04
XYLENES,V,L,2.1E+01,8.8E+01,4.2E+04,3.5E+05
ZINC,NV,S,,,,
"Electrical Conductivity
(mS/cm, USEPA Method 120.1 MOD)",,,not applicable,not applicable,not apploicable,not applicable
Sodium Adsorption Ratio,,,not applicable,not applicable,not applicable,not applicable
Notes:,,,,,,
"1. Category ""Residential"" considered adequate for other sensitive uses (e.g., day-care centers, hospitals, etc.)",,,,,,
2. Soil Vapor:  Screening levels based on soil vapor data collected immediately beneath a building slab or within 1.5 meters (five feet) ground surface in open areas.  Intended for evaluation of potential vapor intrusion hazards.,,,,,,
    ,,,,,,
Soil vapor action levels apply to areas that overlie contaminated soil and/or contaminated groundwater.,,,,,,
,,,,,,
"TPH -Total Petroleum Hydrocarbons.  TPH (or equivalent) must be included in analyses for soil vapor collected at petroleum release sites, in addition to individual, targeted VOCs (e.g., BTEX, etc.).  See Volume 1, Section 2.6 and Appendix 1, Chapter 5.",,,,,,
,,,,,,
